mother_ID,brood_ID,mom_index,ndufs5,ndufa13,ScyDAA6-5984-HRSCAF-6694:3367085,mitotype
CALL-III-20-F-1,CALL_III_20_F01,0.364439838,birchmanni,NA,birchmanni,birchmanni
CALL-III-20-F-10,CALL_III_20_F10,0.370147317,birchmanni,birchmanni,birchmanni,birchmanni
CALL-III-20-F-11,CALL_III_20_F11,0.463013361,birchmanni,malinche,heterozygous,birchmanni
CALL-III-20-F-12,CALL_III_20_F12,0.373526735,birchmanni,heterozygous,birchmanni,birchmanni
CALL-III-20-F-13,CALL_III_20_F13,0.3598275,birchmanni,heterozygous,birchmanni,birchmanni
CALL-III-20-F-14,CALL_III_20_F14,0.3577891,birchmanni,heterozygous,birchmanni,birchmanni
CALL-III-20-F-15,CALL_III_20_F15,0.361972384,birchmanni,malinche,birchmanni,birchmanni
CALL-III-20-F-16,CALL_III_20_F16,0.34585713,birchmanni,birchmanni,birchmanni,birchmanni
CALL-III-20-F-17,CALL_III_20_F17,0.428523457,birchmanni,heterozygous,birchmanni,birchmanni
CALL-III-20-F-18,CALL_III_20_F18,0.333456001,birchmanni,birchmanni,heterozygous,birchmanni
CALL-III-20-F-19,CALL_III_20_F19,0.300999762,birchmanni,heterozygous,birchmanni,birchmanni
CALL-III-20-F-2,CALL_III_20_F02,0.373662962,birchmanni,birchmanni,birchmanni,birchmanni
CALL-III-20-F-20,CALL_III_20_F20,0.376419881,birchmanni,heterozygous,heterozygous,birchmanni
CALL-III-20-F-21,CALL_III_20_F21,0.322418335,birchmanni,heterozygous,birchmanni,birchmanni
CALL-III-20-F-22,CALL_III_20_F22,0.435696989,heterozygous,heterozygous,NA,birchmanni
CALL-III-20-F-24,CALL_III_20_F24,0.357640428,birchmanni,birchmanni,heterozygous,birchmanni
CALL-III-20-F-25,CALL_III_20_F25,0.432751695,NA,heterozygous,birchmanni,birchmanni
CALL-III-20-F-27,CALL_III_20_F27,0.38159196,birchmanni,malinche,birchmanni,birchmanni
CALL-III-20-F-28,CALL_III_20_F28,0.402425917,birchmanni,heterozygous,birchmanni,birchmanni
CALL-III-20-F-29,CALL_III_20_F29,0.348589071,heterozygous,heterozygous,heterozygous,birchmanni
CALL-III-20-F-3,CALL_III_20_F03,0.355268889,birchmanni,heterozygous,birchmanni,birchmanni
CALL-III-20-F-30,CALL_III_20_F30,0.924124833,malinche,malinche,malinche,malinche
CALL-III-20-F-31,CALL_III_20_F31,0.653949192,heterozygous,malinche,heterozygous,malinche
CALL-III-20-F-32,CALL_III_20_F32,0.706839239,heterozygous,malinche,NA,malinche
CALL-III-20-F-33,CALL_III_20_F33,0.491671567,birchmanni,malinche,malinche,birchmanni
CALL-III-20-F-34,CALL_III_20_F34,0.356679924,birchmanni,malinche,birchmanni,birchmanni
CALL-III-20-F-35,CALL_III_20_F35,0.330714065,birchmanni,birchmanni,birchmanni,birchmanni
CALL-III-20-F-36,CALL_III_20_F36,NA,birchmanni,birchmanni,birchmanni,birchmanni
CALL-III-20-F-37,CALL_III_20_F37,0.343943945,birchmanni,birchmanni,birchmanni,birchmanni
CALL-III-20-F-38,CALL_III_20_F38,0.368121171,birchmanni,birchmanni,birchmanni,birchmanni
CALL-III-20-F-39,CALL_III_20_F39,0.284762911,birchmanni,birchmanni,birchmanni,birchmanni
CALL-III-20-F-40,CALL_III_20_F40,0.413975831,birchmanni,heterozygous,birchmanni,birchmanni
CALL-III-20-F-41,CALL_III_20_F41,0.776871938,NA,heterozygous,malinche,malinche
CALL-III-20-F-5,CALL_III_20_F05,0.341174647,birchmanni,birchmanni,birchmanni,birchmanni
CALL-III-20-F-6,CALL_III_20_F06,0.587930765,heterozygous,heterozygous,NA,malinche
CALL-III-20-F-7,CALL_III_20_F07,0.570577709,malinche,heterozygous,birchmanni,malinche
CALL-III-20-F-8,CALL_III_20_F08,0.638693352,malinche,malinche,heterozygous,malinche
CALL-III-20-F-9,CALL_III_20_F09,0.466795202,heterozygous,heterozygous,NA,birchmanni
