brood_ID,species,population,collection,female_ID,fresh_or_etoh.preserved,brood_size,sample_storage,embryo_ID,stage,embryo_dry_weight_g,ovarian_tissue_dry_weight_g,Comments,mother_std_length
CHIC-UP_V-2022_F2,Xmalinche,CHIC-UP,V-2022,2,fresh,7,2ml etoh,1,0,0.0032,0.0013,"white yolk, even lipid distribution",4.4
CHIC-UP_V-2022_F2,Xmalinche,CHIC-UP,V-2022,2,fresh,7,2ml etoh,2,0,0.0037,0.0013,"white yolk, even lipid distribution",4.4
CHIC-UP_V-2022_F2,Xmalinche,CHIC-UP,V-2022,2,fresh,7,2ml etoh,3,0,0.0034,0.0013,"white yolk, even lipid distribution",4.4
CHIC-UP_V-2022_F2,Xmalinche,CHIC-UP,V-2022,2,fresh,7,2ml etoh,4,0,0.0036,0.0013,"white yolk, even lipid distribution",4.4
CHIC-UP_V-2022_F2,Xmalinche,CHIC-UP,V-2022,2,fresh,7,2ml etoh,5,0,0.0035,0.0013,"white yolk, even lipid distribution",4.4
CHIC-UP_V-2022_F2,Xmalinche,CHIC-UP,V-2022,2,fresh,7,2ml etoh,6,0,0.0031,0.0013,"white yolk, even lipid distribution",4.4
CHIC-UP_V-2022_F2,Xmalinche,CHIC-UP,V-2022,2,fresh,7,2ml etoh,7,0,0.0035,0.0013,"white yolk, even lipid distribution",4.4
CHIC-UP_V-2022_F3,Xmalinche,CHIC-UP,V-2022,3,fresh,8,2ml etoh,1,0,0.0029,0.0011,"even lipid distribution, white yolk",4.6
CHIC-UP_V-2022_F7,Xmalinche,CHIC-UP,V-2022,7,fresh,10,2ml etoh,3,0,0.0039,8.00E-04,even lipid distribution,4.5
CHIC-UP_V-2022_F7,Xmalinche,CHIC-UP,V-2022,7,fresh,10,2ml etoh,4,0,0.0046,8.00E-04,even lipid distribution,4.5
CHIC-UP_V-2022_F7,Xmalinche,CHIC-UP,V-2022,7,fresh,10,2ml etoh,5,0,0.0045,8.00E-04,even lipid distribution,4.5
CHIC-UP_V-2022_F8,Xmalinche,CHIC-UP,V-2022,8,fresh,12,2ml etoh,5,0,0.005,0.0028,even lipid distribution,4.9
CHIC-UP_V-2022_F8,Xmalinche,CHIC-UP,V-2022,8,fresh,12,2ml etoh,6,0,0.0049,0.0028,even lipid distribution,4.9
CHIC-UP_V-2022_F8,Xmalinche,CHIC-UP,V-2022,8,fresh,12,2ml etoh,11,0,0.0048,0.0028,even lipid distribution,4.9
CHIC-UP_V-2022_F8,Xmalinche,CHIC-UP,V-2022,8,fresh,12,2ml etoh,12,0,0.005,0.0028,even lipid distribution,4.9
CHIC-UP_V-2022_F13,Xmalinche,CHIC-UP,V-2022,13,fresh,13,2ml 10% formalin,5,0,0.0032,0.0028,even lipid distribution,4.4
CHIC-UP_V-2022_F13,Xmalinche,CHIC-UP,V-2022,13,fresh,13,2ml 10% formalin,8,0,0.0035,0.0028,even lipid distribution,4.4
CHIC-UP_V-2022_F13,Xmalinche,CHIC-UP,V-2022,13,fresh,13,2ml 10% formalin,9,0,0.0035,0.0028,even lipid distribution,4.4
CHIC-UP_V-2022_F13,Xmalinche,CHIC-UP,V-2022,13,fresh,13,2ml 10% formalin,13,0,0.0031,0.0028,even lipid distribution,4.4
CHIC-UP_V-2022_F15,Xmalinche,CHIC-UP,V-2022,15,fresh,5,2ml etoh,1,0,0.0032,0.0013,even lipid distribution,4.1
CHIC-UP_V-2022_F15,Xmalinche,CHIC-UP,V-2022,15,fresh,5,2ml etoh,2,0,0.0032,0.0013,even lipid distribution,4.1
CHIC-UP_V-2022_F15,Xmalinche,CHIC-UP,V-2022,15,fresh,5,2ml etoh,3,0,0.0021,0.0013,even lipid distribution,4.1
CHIC-UP_V-2022_F15,Xmalinche,CHIC-UP,V-2022,15,fresh,5,2ml etoh,4,0,2.00E-04,0.0013,"small, even lipid distribution",4.1
CHIC-UP_V-2022_F15,Xmalinche,CHIC-UP,V-2022,15,fresh,5,2ml etoh,5,0,6.00E-04,0.0013,"small, even lipid distribution",4.1
CHIC-UP_V-2022_F19,Xmalinche,CHIC-UP,V-2022,19,fresh,6,2ml etoh,1,0,0.0019,0.0018,even lipid distribution,4
