newborn_ID,species,trial_date,trial_number,fish_number,CTmin_C,CTmin_Time,start_temp_C,born_on_date,species,CTmin_trial,individual,sl(mm),hw(mm),hw/sl
Xmal-2.1,Xmal,,2,1,12.1,48.04,24.6,12-XIII-22,Xmal,2,1,10.46,2.121,0.202772467
Xmal-2.2,Xmal,,2,2,11.9,48.24,24.6,12-XIII-22,Xmal,2,2,9.674,1.603,0.165701881
Xmal-2.3,Xmal,,2,3,11.2,50.19,24.6,12-XIII-22,Xmal,2,3,10.905,2.212,0.202842733
Xmal-2.4,Xmal,,2,4,10.3,53.07,24.6,12-XIII-22,Xmal,2,4,10.474,2.23,0.212908154
Xmal-2.5,Xmal,,2,5,9,58.28,24.6,12-XIII-22,Xmal,2,5,10.074,2.039,0.202402224
Xmal-2.6,Xmal,,2,6,8.2,62.32,24.6,12-XIII-22,Xmal,2,6,13.369,2.669,0.19964096
Xbir-2.1,Xbir,,2,1,9.2,60.42,24.6,12-XIII-22,Xbir,2,1,10.634,2.156,0.202745909
Xbir-2.2,Xbir,,2,2,9.1,61.55,24.6,12-XIII-22,Xbir,2,2,10.728,2.273,0.211875466
Xbir-2.3,Xbir,,2,3,9.1,62.24,24.6,12-XIII-22,Xbir,2,3,9.42,1.902,0.201910828
Xbir-2.4,Xbir,,2,4,8.9,63.02,24.6,12-XIII-22,Xbir,2,4,11.527,2.137,0.185390822
Xbir-2.5,Xbir,,2,5,8.7,63.52,24.6,12-XIII-22,Xbir,2,5,12.076,2.376,0.196753892
Xbir-2.6,Xbir,,2,6,8.6,64.08,24.6,12-XIII-22,Xbir,2,6,12.809,2.453,0.191505972
Xmal-3.1,Xmal,,3,1,10.9,44.41,24.9,19-XIII-22,Xmal,3,1,9.99,2.127,0.212912913
Xmal-3.2,Xmal,,3,2,10.5,45.27,24.9,19-XIII-22,Xmal,3,2,10.105,2.184,0.216130628
Xmal-3.3,Xmal,,3,3,10.3,47.13,24.9,19-XIII-22,Xmal,3,3,11.608,2.179,0.187715369
Xmal-3.4,Xmal,,3,4,9.7,49.21,24.9,19-XIII-22,Xmal,3,4,11.195,2.057,0.183742742
Xmal-3.5,Xmal,,3,5,9.3,50.04,24.9,19-XIII-22,Xmal,3,5,10.145,2.272,0.223952686
Xmal-3.6,Xmal,,3,6,9.1,50.43,24.9,19-XIII-22,Xmal,3,6,10.781,2.386,0.221315277
Xmal-3.7,Xmal,,3,7,9.1,51.15,24.9,19-XIII-22,Xmal,3,7,10.037,2.415,0.240609744
Xmal-3.8,Xmal,,3,8,8.9,51.47,24.9,19-XIII-22,Xmal,3,8,10.344,2.23,0.215583913
Xbir-3.1,Xbir,,3,1,10.3,45.54,24.8,19-XIII-22,Xbir,3,1,9.089,2.013,0.22147651
Xbir-3.2,Xbir,,3,2,9.4,48.4,24.8,19-XIII-22,Xbir,3,2,9.744,1.996,0.204844007
Xbir-3.3,Xbir,,3,3,9.4,48.4,24.8,19-XIII-22,Xbir,3,3,11.092,2.189,0.197349441
Xbir-3.4,Xbir,,3,4,8.5,52.08,24.8,19-XIII-22,Xbir,3,4,9.353,1.909,0.204105635
Xmal-4.1,Xmal,,4,1,10.8,51.01,24.8,25-XIII-22,Xmal,4,1,11.721,2.508,0.213974917
Xmal-4.2,Xmal,,4,2,10.7,51.51,24.8,25-XIII-22,Xmal,4,2,10.808,2.179,0.201609919
Xmal-4.3,Xmal,,4,3,10.7,51.52,24.8,25-XIII-22,Xmal,4,3,10.38,2.126,0.204816956
Xmal-4.4,Xmal,,4,4,10.7,51.55,24.8,25-XIII-22,Xmal,4,4,10.232,NA,NA
Xbir-4.1,Xbir,,4,1,10.8,52.45,24.8,25-XIII-22,Xbir,4,1,11.099,2.386,0.214974322
Xbir-4.2,Xbir,,4,2,10.6,52.57,24.8,25-XIII-22,Xbir,4,2,9.699,2.081,0.214558202
Xbir-4.3,Xbir,,4,3,9.9,60,24.8,25-XIII-22,Xbir,4,3,10.154,2.016,0.198542446
Xbir-4.4,Xbir,,4,4,9.8,60.32,24.8,25-XIII-22,Xbir,4,4,10.682,1.951,0.1826437
Xbir-4.5,Xbir,,4,5,9.6,63.17,24.8,25-XIII-22,Xbir,4,5,10.569,2.109,0.199545842
Xbir-4.6,Xbir,,4,6,9.4,63.4,24.8,25-XIII-22,Xbir,4,6,11.544,2.09,0.181046431
Xbir-4.7,Xbir,,4,7,9.2,65.01,24.8,25-XIII-22,Xbir,4,7,9.735,1.838,0.188803287
