brood_ID,species,population,collection,female_ID,fresh_or_etoh-preserved,brood_size,sample_storage,ovary_tissue_included,embryo_ID,stage,embryo_dry_weight_g,ovarian_tissue_dry_weight_g,comments,mother_std_length,mother_total_wet_mass,mother_no_ovary_wet_mass,mother_origin
TETIxCHIC_III-2023_F3,Xmalinche,TETIxCHIC,III-2023,3,fresh,7,2ml etoh,yes,1,35,0.0038,0.0028,"early 35, slight pectoral pigment",4,1.64,1.51,lab
TETIxCHIC_III-2023_F3,Xmalinche,TETIxCHIC,III-2023,3,fresh,7,2ml etoh,yes,2,35,0.0037,0.0028,"early 35, slight pectoral pigment",4,1.64,1.51,lab
TETIxCHIC_III-2023_F3,Xmalinche,TETIxCHIC,III-2023,3,fresh,7,2ml etoh,yes,3,0,0.0045,0.0028,even lipid distribution,4,1.64,1.51,lab
TETIxCHIC_III-2023_F3,Xmalinche,TETIxCHIC,III-2023,3,fresh,7,2ml etoh,yes,4,0,0.0043,0.0028,even lipid distribution,4,1.64,1.51,lab
TETIxCHIC_III-2023_F3,Xmalinche,TETIxCHIC,III-2023,3,fresh,7,2ml etoh,yes,5,0,0.005,0.0028,even lipid distribution,4,1.64,1.51,lab
TETIxCHIC_III-2023_F3,Xmalinche,TETIxCHIC,III-2023,3,fresh,7,2ml etoh,yes,6,0,0.0043,0.0028,even lipid distribution,4,1.64,1.51,lab
TETIxCHIC_III-2023_F3,Xmalinche,TETIxCHIC,III-2023,3,fresh,7,2ml etoh,yes,7,0,0.0047,0.0028,even lipid distribution,4,1.64,1.51,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,1,0,0.0048,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,2,0,0.0048,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,3,0,0.004,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,4,0,0.0044,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,5,0,0.005,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,6,0,0.0051,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,7,0,0.0026,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,8,0,0.0025,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,9,0,0.0032,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,10,0,0.0023,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,11,0,0.0032,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,12,0,0.0044,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,13,0,0.0043,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,14,0,0.0035,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,15,0,0.0032,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,16,0,0.0042,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,17,0,0.0035,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,18,0,0.0046,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,19,0,0.0051,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,20,0,0.0043,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,21,0,0.0042,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,22,0,0.0023,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F4,Xmalinche,TETIxCHIC,III-2023,4,fresh,23,2ml etoh,yes,23,0,0.0005,0.0111,even lipid distribution,4.3,2.14,1.83,lab
TETIxCHIC_III-2023_F5,Xmalinche,TETIxCHIC,III-2023,5,fresh,10,2ml etoh,yes,1,25,0.0055,0.0027,"early 25, head pigmentation",3.6,1.18,1,lab
TETIxCHIC_III-2023_F5,Xmalinche,TETIxCHIC,III-2023,5,fresh,10,2ml etoh,yes,2,25,0.0049,0.0027,"early 25, head pigmentation",3.6,1.18,1,lab
TETIxCHIC_III-2023_F5,Xmalinche,TETIxCHIC,III-2023,5,fresh,10,2ml etoh,yes,3,25,0.0051,0.0027,"early 25, head pigmentation",3.6,1.18,1,lab
TETIxCHIC_III-2023_F5,Xmalinche,TETIxCHIC,III-2023,5,fresh,10,2ml etoh,yes,4,25,0.0046,0.0027,"early 25, head pigmentation",3.6,1.18,1,lab
TETIxCHIC_III-2023_F5,Xmalinche,TETIxCHIC,III-2023,5,fresh,10,2ml etoh,yes,5,25,0.005,0.0027,"early 25, head pigmentation",3.6,1.18,1,lab
TETIxCHIC_III-2023_F5,Xmalinche,TETIxCHIC,III-2023,5,fresh,10,2ml etoh,yes,6,25,0.0049,0.0027,"early 25, head pigmentation",3.6,1.18,1,lab
TETIxCHIC_III-2023_F5,Xmalinche,TETIxCHIC,III-2023,5,fresh,10,2ml etoh,yes,7,25,0.0045,0.0027,"early 25, head pigmentation",3.6,1.18,1,lab
TETIxCHIC_III-2023_F5,Xmalinche,TETIxCHIC,III-2023,5,fresh,10,2ml etoh,yes,8,25,0.0048,0.0027,"early 25, head pigmentation",3.6,1.18,1,lab
TETIxCHIC_III-2023_F5,Xmalinche,TETIxCHIC,III-2023,5,fresh,10,2ml etoh,yes,9,25,0.0047,0.0027,"early 25, head pigmentation",3.6,1.18,1,lab
TETIxCHIC_III-2023_F5,Xmalinche,TETIxCHIC,III-2023,5,fresh,10,2ml etoh,yes,10,25,0.0045,0.0027,"early 25, head pigmentation",3.6,1.18,1,lab
TETIxCHIC_III-2023_F7,Xmalinche,TETIxCHIC,III-2023,7,fresh,10,2ml etoh,yes,1,0,0.0043,0.004,even lipid distribution,3.6,1.32,1.17,lab
TETIxCHIC_III-2023_F7,Xmalinche,TETIxCHIC,III-2023,7,fresh,10,2ml etoh,yes,2,0,0.0043,0.004,even lipid distribution,3.6,1.32,1.17,lab
TETIxCHIC_III-2023_F7,Xmalinche,TETIxCHIC,III-2023,7,fresh,10,2ml etoh,yes,3,0,0.0047,0.004,even lipid distribution,3.6,1.32,1.17,lab
TETIxCHIC_III-2023_F7,Xmalinche,TETIxCHIC,III-2023,7,fresh,10,2ml etoh,yes,4,0,0.0045,0.004,even lipid distribution,3.6,1.32,1.17,lab
TETIxCHIC_III-2023_F7,Xmalinche,TETIxCHIC,III-2023,7,fresh,10,2ml etoh,yes,5,0,0.004,0.004,even lipid distribution,3.6,1.32,1.17,lab
TETIxCHIC_III-2023_F7,Xmalinche,TETIxCHIC,III-2023,7,fresh,10,2ml etoh,yes,6,0,0.0048,0.004,even lipid distribution,3.6,1.32,1.17,lab
