"","brood_no","dissection_date","species","population","number","treatment","standard_length_cm","wet_mass","dry_mass_1","dry_mass_2","FC_percent","notes","X","X.1","condition","avg_initial_std_length_mm","standard_length_mm","std_length_normalized","std_length_growth_rate"
"1","2b","30-X-23","Xbir","COAC",1,"starved",0.968,0.0191,0.0029,0.0029,0,"",NA,NA,"Xbir_starved",8.83166666666667,9.68,1.09605585959615,0.282777777777778
"2","2b","30-X-23","Xbir","COAC",2,"starved",0.973,0.0189,0.0029,0.0028,3.44827586,"",NA,NA,"Xbir_starved",8.83166666666667,9.73,1.10171730515192,0.299444444444444
"3","2b","30-X-23","Xbir","COAC",3,"starved",0.855,0.0183,0.0031,0.0031,0,"",NA,NA,"Xbir_starved",8.83166666666667,8.55,0.968107190035856,-0.0938888888888888
"4","2b","30-X-23","Xbir","COAC",1,"control",1.181,0.0275,0.005,0.0045,10,"",NA,NA,"Xbir_control",8.83166666666667,11.81,1.33723344027175,0.992777777777778
"5","2b","30-X-23","Xbir","COAC",2,"control",1.177,0.0272,0.0049,0.0044,10.2040816,"",NA,NA,"Xbir_control",8.83166666666667,11.77,1.33270428382714,0.979444444444444
"6","2b","30-X-23","Xbir","COAC",3,"control",1.235,0.033,0.0056,0.0051,8.92857143,"",NA,NA,"Xbir_control",8.83166666666667,12.35,1.39837705227401,1.17277777777778
"7","2m","2-XI-23","Xmal","CHIC",1,"starved",1.132,NA,0.0038,0.0038,0,"",NA,NA,"Xmal_starved",10.545,11.32,1.07349454717876,0.258333333333333
"8","2m","2-XI-23","Xmal","CHIC",2,"starved",0.996,NA,0.0034,0.0033,2.94117647,"",NA,NA,"Xmal_starved",10.545,9.96,0.94452347083926,-0.195
"9","2m","2-XI-23","Xmal","CHIC",3,"starved",0.931,NA,0.0036,0.0035,2.77777778,"",NA,NA,"Xmal_starved",10.545,9.31,0.882882882882883,-0.411666666666666
"10","2m","2-XI-23","Xmal","CHIC",4,"starved",1.205,NA,0.0036,0.0036,0,"",NA,NA,"Xmal_starved",10.545,12.05,1.14272166903746,0.501666666666667
"11","2m","2-XI-23","Xmal","CHIC",6,"starved",1.108,NA,0.0039,0.0037,5.12820513,"",NA,NA,"Xmal_starved",10.545,11.08,1.05073494547179,0.178333333333334
