brood_ID,species,population,collection,female_ID,embryo_ID,stage,brood_size,embryo_dry_weight_g,ovarian_tissue_dry_weight_g,mother_std_length,mother_total_wet_mass,mother_no_ovary_wet_mass,popcoll,season
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,1,30,30,5.00E-04,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,2,30,30,0.0041,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,3,30,30,0.004,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,4,30,30,4.00E-04,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,5,30,30,0.0041,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,6,30,30,0.004,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,7,30,30,0.0012,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,8,30,30,3.00E-04,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,9,30,30,0.004,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,10,30,30,0.0041,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,11,30,30,0.0041,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,12,30,30,0.0041,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,13,30,30,0.004,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,14,30,30,0.0034,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,15,30,30,0.0033,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,16,30,30,0.0042,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,17,30,30,0.0043,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,18,30,30,0.0045,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,19,30,30,0.0042,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,20,30,30,0.0013,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,21,30,30,0.0044,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,22,30,30,0.0042,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,23,30,30,0.0041,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,24,30,30,0.0044,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,25,30,30,0.0042,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,26,30,30,0.004,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,27,30,30,0.0042,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,28,30,30,0.0042,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,29,30,30,0.0041,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F1,Xmalinche,CHIC,V-2022,1,30,30,30,0.0043,0.0019,5.2,3.37,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F2,Xmalinche,CHIC,V-2022,2,1,0,7,0.0032,0.0013,4.4,1.83,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F2,Xmalinche,CHIC,V-2022,2,2,0,7,0.0037,0.0013,4.4,1.83,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F2,Xmalinche,CHIC,V-2022,2,3,0,7,0.0034,0.0013,4.4,1.83,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F2,Xmalinche,CHIC,V-2022,2,4,0,7,0.0036,0.0013,4.4,1.83,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F2,Xmalinche,CHIC,V-2022,2,5,0,7,0.0035,0.0013,4.4,1.83,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F2,Xmalinche,CHIC,V-2022,2,6,0,7,0.0031,0.0013,4.4,1.83,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F2,Xmalinche,CHIC,V-2022,2,7,0,7,0.0035,0.0013,4.4,1.83,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F3,Xmalinche,CHIC,V-2022,3,1,0,8,0.0029,0.0011,4.6,2.23,NA,CHIC_V-2022,warm
CHIC-UP_V-2022_F3,Xmalinche,CHIC,V-2022,3,2,20,8,0.0041,0.0011,4.6,2.23,NA,CHIC_V-2022,warm
