"","x"
"1","ENSXMAG00000000945"
"2","ENSXMAG00000000962"
"3","ENSXMAG00000001381"
"4","ENSXMAG00000001408"
"5","ENSXMAG00000001486"
"6","ENSXMAG00000001621"
"7","ENSXMAG00000003134"
"8","ENSXMAG00000003617"
"9","ENSXMAG00000005745"
"10","ENSXMAG00000006946"
"11","ENSXMAG00000008461"
"12","ENSXMAG00000008464"
"13","ENSXMAG00000009231"
"14","ENSXMAG00000009621"
"15","ENSXMAG00000010153"
"16","ENSXMAG00000010361"
"17","ENSXMAG00000010539"
"18","ENSXMAG00000012932"
"19","ENSXMAG00000013650"
"20","ENSXMAG00000013662"
"21","ENSXMAG00000014511"
"22","ENSXMAG00000014671"
"23","ENSXMAG00000014816"
"24","ENSXMAG00000015430"
"25","ENSXMAG00000016461"
"26","ENSXMAG00000017024"
"27","ENSXMAG00000017854"
"28","ENSXMAG00000018279"
"29","ENSXMAG00000019059"
"30","ENSXMAG00000019595"
"31","ENSXMAG00000019876"
"32","ENSXMAG00000020158"
"33","ENSXMAG00000020339"
"34","ENSXMAG00000020605"
"35","ENSXMAG00000020613"
