GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0006144	0.00678778519715462	201.171428571429	0.00680464984406011	1	6	purine nucleobase metabolic process	ENSXMAG00000003617	gmpr
GO:0006508	0.00795545732203328	10.1572519083969	0.449106889707967	3	396	proteolysis	ENSXMAG00000013662,ENSXMAG00000010153,ENSXMAG00000010539	adam8a,mmp9,ADAM23
GO:0009112	0.0124134419423095	100.514285714286	0.0124751913807769	1	11	nucleobase metabolic process	ENSXMAG00000003617	gmpr
GO:0016441	0.0269098687686689	43.6211180124224	0.0272185993762404	1	24	posttranscriptional gene silencing	ENSXMAG00000020613	MIR137
GO:0016458	0.0412197635288815	27.8174603174603	0.041962007371704	1	37	gene silencing	ENSXMAG00000020613	MIR137
GO:0030574	0.00226709102867384	1006.42857142857	0.0022682166146867	1	2	collagen catabolic process	ENSXMAG00000010153	mmp9
GO:0031047	0.039030299621449	29.4621848739496	0.0396937907570173	1	35	gene silencing by RNA	ENSXMAG00000020613	MIR137
GO:0032963	0.00904140363259665	143.65306122449	0.00907286645874681	1	8	collagen metabolic process	ENSXMAG00000010153	mmp9
GO:0035194	0.0269098687686689	43.6211180124224	0.0272185993762404	1	24	post-transcriptional gene silencing by RNA	ENSXMAG00000020613	MIR137
GO:0035195	0.0258014078474317	45.6103896103896	0.0260844910688971	1	23	gene silencing by miRNA	ENSXMAG00000020613	MIR137
GO:0051260	0.0434048612962531	26.3458646616541	0.0442302239863907	1	39	protein homooligomerization	ENSXMAG00000015430	kcnv2b
