GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0002020	0.0032047310961264	674.416666666667	0.00320710497101271	1	2	protease binding	ENSXMAG00000013662	adam8a
GO:0003920	0.0032047310961264	674.416666666667	0.00320710497101271	1	2	GMP reductase activity	ENSXMAG00000003617	gmpr
GO:0004175	0.00207323424685285	14.5969325153374	0.266189712594054	3	166	endopeptidase activity	ENSXMAG00000013662,ENSXMAG00000010153,ENSXMAG00000010539	adam8a,mmp9,ADAM23
GO:0004222	0.000121019568559432	40.17	0.1010238065869	3	63	metalloendopeptidase activity	ENSXMAG00000013662,ENSXMAG00000010153,ENSXMAG00000010539	adam8a,mmp9,ADAM23
GO:0005044	0.0347347221768229	32.0357142857143	0.0352781546811398	1	22	scavenger receptor activity	ENSXMAG00000001408	ENPP2
GO:0008233	0.0131972166585384	7.31191222570533	0.516343900333046	3	322	peptidase activity	ENSXMAG00000013662,ENSXMAG00000010153,ENSXMAG00000010539	adam8a,mmp9,ADAM23
GO:0008237	0.000914152104102859	19.6032786885246	0.200444060688294	3	125	metallopeptidase activity	ENSXMAG00000013662,ENSXMAG00000010153,ENSXMAG00000010539	adam8a,mmp9,ADAM23
GO:0016651	0.0285033587363289	39.593137254902	0.0288639447391143	1	18	oxidoreductase activity, acting on NAD(P)H	ENSXMAG00000003617	gmpr
GO:0016657	0.0032047310961264	674.416666666667	0.00320710497101271	1	2	oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor	ENSXMAG00000003617	gmpr
GO:0030247	0.00958577116597947	134.816666666667	0.00962131491303811	1	6	polysaccharide binding	ENSXMAG00000001408	ENPP2
GO:0038024	0.0378365490333366	29.2427536231884	0.0384852596521525	1	24	cargo receptor activity	ENSXMAG00000001408	ENPP2
