"","x"
"1","ENSXMAG00000000002"
"2","ENSXMAG00000000007"
"3","ENSXMAG00000000008"
"4","ENSXMAG00000000027"
"5","ENSXMAG00000000030"
"6","ENSXMAG00000000042"
"7","ENSXMAG00000000047"
"8","ENSXMAG00000000060"
"9","ENSXMAG00000000065"
"10","ENSXMAG00000000071"
"11","ENSXMAG00000000073"
"12","ENSXMAG00000000095"
"13","ENSXMAG00000000106"
"14","ENSXMAG00000000112"
"15","ENSXMAG00000000122"
"16","ENSXMAG00000000127"
"17","ENSXMAG00000000137"
"18","ENSXMAG00000000139"
"19","ENSXMAG00000000140"
"20","ENSXMAG00000000141"
"21","ENSXMAG00000000147"
"22","ENSXMAG00000000163"
"23","ENSXMAG00000000169"
"24","ENSXMAG00000000204"
"25","ENSXMAG00000000212"
"26","ENSXMAG00000000217"
"27","ENSXMAG00000000247"
"28","ENSXMAG00000000248"
"29","ENSXMAG00000000253"
"30","ENSXMAG00000000256"
"31","ENSXMAG00000000264"
"32","ENSXMAG00000000270"
"33","ENSXMAG00000000289"
"34","ENSXMAG00000000297"
"35","ENSXMAG00000000306"
"36","ENSXMAG00000000332"
"37","ENSXMAG00000000333"
"38","ENSXMAG00000000340"
"39","ENSXMAG00000000352"
"40","ENSXMAG00000000381"
"41","ENSXMAG00000000386"
"42","ENSXMAG00000000387"
"43","ENSXMAG00000000393"
"44","ENSXMAG00000000401"
"45","ENSXMAG00000000410"
"46","ENSXMAG00000000411"
"47","ENSXMAG00000000413"
"48","ENSXMAG00000000417"
"49","ENSXMAG00000000425"
"50","ENSXMAG00000000430"
"51","ENSXMAG00000000447"
"52","ENSXMAG00000000467"
"53","ENSXMAG00000000469"
"54","ENSXMAG00000000475"
"55","ENSXMAG00000000498"
"56","ENSXMAG00000000503"
"57","ENSXMAG00000000505"
"58","ENSXMAG00000000527"
"59","ENSXMAG00000000532"
"60","ENSXMAG00000000539"
"61","ENSXMAG00000000540"
"62","ENSXMAG00000000546"
"63","ENSXMAG00000000555"
"64","ENSXMAG00000000556"
"65","ENSXMAG00000000596"
"66","ENSXMAG00000000598"
"67","ENSXMAG00000000602"
"68","ENSXMAG00000000610"
"69","ENSXMAG00000000611"
"70","ENSXMAG00000000617"
"71","ENSXMAG00000000623"
"72","ENSXMAG00000000630"
"73","ENSXMAG00000000632"
"74","ENSXMAG00000000639"
"75","ENSXMAG00000000645"
"76","ENSXMAG00000000653"
"77","ENSXMAG00000000655"
"78","ENSXMAG00000000678"
"79","ENSXMAG00000000711"
"80","ENSXMAG00000000714"
"81","ENSXMAG00000000729"
"82","ENSXMAG00000000733"
"83","ENSXMAG00000000742"
"84","ENSXMAG00000000745"
"85","ENSXMAG00000000748"
"86","ENSXMAG00000000768"
"87","ENSXMAG00000000782"
"88","ENSXMAG00000000786"
"89","ENSXMAG00000000789"
"90","ENSXMAG00000000790"
"91","ENSXMAG00000000795"
"92","ENSXMAG00000000798"
"93","ENSXMAG00000000805"
"94","ENSXMAG00000000810"
"95","ENSXMAG00000000821"
"96","ENSXMAG00000000825"
"97","ENSXMAG00000000830"
"98","ENSXMAG00000000837"
"99","ENSXMAG00000000841"
"100","ENSXMAG00000000845"
"101","ENSXMAG00000000849"
"102","ENSXMAG00000000897"
"103","ENSXMAG00000000930"
"104","ENSXMAG00000000941"
"105","ENSXMAG00000000952"
"106","ENSXMAG00000000964"
"107","ENSXMAG00000000967"
"108","ENSXMAG00000000970"
"109","ENSXMAG00000000988"
"110","ENSXMAG00000000991"
"111","ENSXMAG00000001016"
"112","ENSXMAG00000001031"
"113","ENSXMAG00000001052"
"114","ENSXMAG00000001067"
"115","ENSXMAG00000001071"
"116","ENSXMAG00000001077"
"117","ENSXMAG00000001078"
"118","ENSXMAG00000001088"
"119","ENSXMAG00000001093"
"120","ENSXMAG00000001109"
"121","ENSXMAG00000001119"
"122","ENSXMAG00000001128"
"123","ENSXMAG00000001130"
"124","ENSXMAG00000001133"
"125","ENSXMAG00000001134"
"126","ENSXMAG00000001135"
"127","ENSXMAG00000001170"
"128","ENSXMAG00000001173"
"129","ENSXMAG00000001214"
"130","ENSXMAG00000001216"
"131","ENSXMAG00000001217"
"132","ENSXMAG00000001218"
"133","ENSXMAG00000001229"
"134","ENSXMAG00000001233"
"135","ENSXMAG00000001240"
"136","ENSXMAG00000001251"
"137","ENSXMAG00000001252"
"138","ENSXMAG00000001253"
"139","ENSXMAG00000001263"
"140","ENSXMAG00000001269"
"141","ENSXMAG00000001275"
"142","ENSXMAG00000001289"
"143","ENSXMAG00000001292"
"144","ENSXMAG00000001297"
"145","ENSXMAG00000001300"
"146","ENSXMAG00000001308"
"147","ENSXMAG00000001311"
"148","ENSXMAG00000001342"
"149","ENSXMAG00000001351"
"150","ENSXMAG00000001362"
"151","ENSXMAG00000001371"
"152","ENSXMAG00000001373"
"153","ENSXMAG00000001387"
"154","ENSXMAG00000001402"
"155","ENSXMAG00000001407"
"156","ENSXMAG00000001425"
"157","ENSXMAG00000001436"
"158","ENSXMAG00000001441"
"159","ENSXMAG00000001445"
"160","ENSXMAG00000001455"
"161","ENSXMAG00000001460"
"162","ENSXMAG00000001468"
"163","ENSXMAG00000001472"
"164","ENSXMAG00000001480"
"165","ENSXMAG00000001489"
"166","ENSXMAG00000001492"
"167","ENSXMAG00000001495"
"168","ENSXMAG00000001496"
"169","ENSXMAG00000001502"
"170","ENSXMAG00000001510"
"171","ENSXMAG00000001514"
"172","ENSXMAG00000001520"
"173","ENSXMAG00000001526"
"174","ENSXMAG00000001533"
"175","ENSXMAG00000001537"
"176","ENSXMAG00000001556"
"177","ENSXMAG00000001558"
"178","ENSXMAG00000001559"
"179","ENSXMAG00000001563"
"180","ENSXMAG00000001564"
"181","ENSXMAG00000001584"
"182","ENSXMAG00000001585"
"183","ENSXMAG00000001586"
"184","ENSXMAG00000001598"
"185","ENSXMAG00000001606"
"186","ENSXMAG00000001616"
"187","ENSXMAG00000001617"
"188","ENSXMAG00000001628"
"189","ENSXMAG00000001630"
"190","ENSXMAG00000001633"
"191","ENSXMAG00000001636"
"192","ENSXMAG00000001668"
"193","ENSXMAG00000001669"
"194","ENSXMAG00000001670"
"195","ENSXMAG00000001675"
"196","ENSXMAG00000001678"
"197","ENSXMAG00000001680"
"198","ENSXMAG00000001685"
"199","ENSXMAG00000001690"
"200","ENSXMAG00000001692"
"201","ENSXMAG00000001714"
"202","ENSXMAG00000001726"
"203","ENSXMAG00000001732"
"204","ENSXMAG00000001742"
"205","ENSXMAG00000001756"
"206","ENSXMAG00000001760"
"207","ENSXMAG00000001762"
"208","ENSXMAG00000001772"
"209","ENSXMAG00000001776"
"210","ENSXMAG00000001782"
"211","ENSXMAG00000001786"
"212","ENSXMAG00000001789"
"213","ENSXMAG00000001809"
"214","ENSXMAG00000001810"
"215","ENSXMAG00000001813"
"216","ENSXMAG00000001819"
"217","ENSXMAG00000001824"
"218","ENSXMAG00000001840"
"219","ENSXMAG00000001842"
"220","ENSXMAG00000001844"
"221","ENSXMAG00000001848"
"222","ENSXMAG00000001858"
"223","ENSXMAG00000001870"
"224","ENSXMAG00000001879"
