GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000146	0.048310687623109	13.0631970260223	0.398914518317503	2	3	microfilament motor activity	ENSXMAG00000012266,ENSXMAG00000018704	myo9ab,MYO9B
GO:0003684	0.0210875438682623	4.0895852749301	1.72862957937585	5	13	damaged DNA binding	ENSXMAG00000019360,ENSXMAG00000007018,ENSXMAG00000003219,ENSXMAG00000014116,ENSXMAG00000015806	xpc,POLK,poli,RAD23B,ercc1
GO:0003723	0.00186098507364282	1.48846285714286	56.9118046132972	78	428	RNA binding	ENSXMAG00000000217,ENSXMAG00000001455,ENSXMAG00000002869,ENSXMAG00000003615,ENSXMAG00000005541,ENSXMAG00000005545,ENSXMAG00000011878,ENSXMAG00000019896,ENSXMAG00000002928,ENSXMAG00000003459,ENSXMAG00000003538,ENSXMAG00000004284,ENSXMAG00000005265,ENSXMAG00000005502,ENSXMAG00000006419,ENSXMAG00000007137,ENSXMAG00000007141,ENSXMAG00000008167,ENSXMAG00000009359,ENSXMAG00000011677,ENSXMAG00000012272,ENSXMAG00000013407,ENSXMAG00000014097,ENSXMAG00000014141,ENSXMAG00000016369,ENSXMAG00000017935,ENSXMAG00000018502,ENSXMAG00000000970,ENSXMAG00000003450,ENSXMAG00000004008,ENSXMAG00000004200,ENSXMAG00000006212,ENSXMAG00000006953,ENSXMAG00000007287,ENSXMAG00000007368,ENSXMAG00000007641,ENSXMAG00000007944,ENSXMAG00000008127,ENSXMAG00000009415,ENSXMAG00000012876,ENSXMAG00000013524,ENSXMAG00000014008,ENSXMAG00000014172,ENSXMAG00000014270,ENSXMAG00000014730,ENSXMAG00000015655,ENSXMAG00000016713,ENSXMAG00000016992,ENSXMAG00000017048,ENSXMAG00000017701,ENSXMAG00000019220,ENSXMAG00000019971,ENSXMAG00000000988,ENSXMAG00000001564,ENSXMAG00000002451,ENSXMAG00000003154,ENSXMAG00000004553,ENSXMAG00000004578,ENSXMAG00000004761,ENSXMAG00000004915,ENSXMAG00000005914,ENSXMAG00000007005,ENSXMAG00000007031,ENSXMAG00000007168,ENSXMAG00000008674,ENSXMAG00000009606,ENSXMAG00000009835,ENSXMAG00000010096,ENSXMAG00000011428,ENSXMAG00000012414,ENSXMAG00000013253,ENSXMAG00000013661,ENSXMAG00000014480,ENSXMAG00000014619,ENSXMAG00000015099,ENSXMAG00000015454,ENSXMAG00000016101,ENSXMAG00000018287	raver1,snrpa1,rbm48,atxn1a,fubp3,srsf4,eif2s3,prkrip1,ctu1,cpsf6,rbm18,bxdc2,exosc2,srsf11,khdrbs1a,dimt1l,AGO3,eif4a1a,zcrb1,serbp1a,prpf31,rbmx,setd1ba,sos1,rbm5,snrpc,hnrnpm,rbm7,lin28b,ptcd3,SAMD4B,si:ch211-214j24.10,rnaseh2a,caprin1b,BICC1,rbm19,eif3s10,u2af1,khdrbs2,khsrp,cstf2,eif2a,nudt21,ATXN1,ctu2,slirp,tardbpb,eef1da,cpsf2,EIF4G3,nsun5,sf3b5,pus1,endouc,nom1,nxf1a,syncrip,eif3s6ip,eif6,imp4,ncl,slbp2,nhp2,fubp1,rbm17,lsm6,TRA2B,ncbp2,rbms2b,MRPL58,qkia,dis3l,hnrnpr,celf3a,mrpl24,srsf3a,eif4g1a,elavl3
GO:0003735	0.0019946076009077	2.16732566012187	12.3663500678426	23	93	structural constituent of ribosome	ENSXMAG00000002586,ENSXMAG00000008933,ENSXMAG00000015564,ENSXMAG00000019576,ENSXMAG00000002087,ENSXMAG00000003388,ENSXMAG00000007366,ENSXMAG00000011943,ENSXMAG00000018249,ENSXMAG00000003237,ENSXMAG00000004293,ENSXMAG00000006741,ENSXMAG00000007974,ENSXMAG00000012555,ENSXMAG00000013548,ENSXMAG00000017648,ENSXMAG00000018093,ENSXMAG00000018294,ENSXMAG00000006879,ENSXMAG00000015099,ENSXMAG00000018132,ENSXMAG00000018439,ENSXMAG00000018814	mrpl3,mrpl32,mrpl22,mrpl41,mrpl15,mrpl19,mrps17,mrps34,mrpl47,mrps10,mrpl28,mrpl17,mrps9,mrps18c,mrpl35,mrpl43,mrpl46,FTH1,mrpl2,mrpl24,mrps2,mrpl33,mrpl37
GO:0003743	0.0312936403419397	2.49506008010681	3.8561736770692	8	29	translation initiation factor activity	ENSXMAG00000011878,ENSXMAG00000008167,ENSXMAG00000007944,ENSXMAG00000014008,ENSXMAG00000017701,ENSXMAG00000004578,ENSXMAG00000004761,ENSXMAG00000016101	eif2s3,eif4a1a,eif3s10,eif2a,EIF4G3,eif3s6ip,eif6,eif4g1a
GO:0003824	0.018581033520429	1.15121917330771	422.31750339213	454	3176	catalytic activity	ENSXMAG00000000469,ENSXMAG00000001999,ENSXMAG00000002644,ENSXMAG00000002900,ENSXMAG00000003276,ENSXMAG00000003972,ENSXMAG00000004062,ENSXMAG00000004518,ENSXMAG00000004852,ENSXMAG00000004901,ENSXMAG00000005199,ENSXMAG00000005693,ENSXMAG00000005820,ENSXMAG00000006043,ENSXMAG00000006125,ENSXMAG00000006511,ENSXMAG00000006514,ENSXMAG00000007821,ENSXMAG00000007833,ENSXMAG00000008666,ENSXMAG00000008763,ENSXMAG00000010196,ENSXMAG00000010542,ENSXMAG00000010796,ENSXMAG00000011172,ENSXMAG00000011645,ENSXMAG00000011878,ENSXMAG00000012248,ENSXMAG00000012515,ENSXMAG00000013528,ENSXMAG00000013686,ENSXMAG00000014003,ENSXMAG00000014009,ENSXMAG00000014538,ENSXMAG00000014562,ENSXMAG00000015013,ENSXMAG00000015291,ENSXMAG00000015316,ENSXMAG00000015548,ENSXMAG00000016936,ENSXMAG00000017428,ENSXMAG00000017649,ENSXMAG00000017735,ENSXMAG00000017775,ENSXMAG00000017778,ENSXMAG00000018500,ENSXMAG00000018652,ENSXMAG00000019148,ENSXMAG00000000042,ENSXMAG00000000555,ENSXMAG00000000611,ENSXMAG00000000795,ENSXMAG00000000849,ENSXMAG00000000897,ENSXMAG00000001031,ENSXMAG00000001229,ENSXMAG00000001311,ENSXMAG00000001468,ENSXMAG00000001585,ENSXMAG00000001813,ENSXMAG00000001942,ENSXMAG00000002006,ENSXMAG00000002238,ENSXMAG00000002348,ENSXMAG00000002592,ENSXMAG00000002657,ENSXMAG00000002683,ENSXMAG00000002727,ENSXMAG00000002853,ENSXMAG00000002928,ENSXMAG00000002940,ENSXMAG00000003081,ENSXMAG00000003187,ENSXMAG00000003292,ENSXMAG00000003325,ENSXMAG00000003351,ENSXMAG00000003362,ENSXMAG00000003720,ENSXMAG00000004136,ENSXMAG00000004142,ENSXMAG00000004421,ENSXMAG00000004594,ENSXMAG00000004641,ENSXMAG00000004677,ENSXMAG00000004680,ENSXMAG00000004846,ENSXMAG00000005022,ENSXMAG00000005055,ENSXMAG00000005086,ENSXMAG00000005293,ENSXMAG00000005307,ENSXMAG00000005643,ENSXMAG00000005749,ENSXMAG00000005750,ENSXMAG00000005842,ENSXMAG00000006316,ENSXMAG00000006547,ENSXMAG00000006627,ENSXMAG00000006662,ENSXMAG00000006814,ENSXMAG00000006921,ENSXMAG00000006983,ENSXMAG00000007018,ENSXMAG00000007137,ENSXMAG00000007345,ENSXMAG00000007367,ENSXMAG00000007971,ENSXMAG00000008148,ENSXMAG00000008167,ENSXMAG00000008607,ENSXMAG00000008704,ENSXMAG00000009160,ENSXMAG00000009286,ENSXMAG00000009372,ENSXMAG00000009386,ENSXMAG00000009473,ENSXMAG00000009685,ENSXMAG00000009907,ENSXMAG00000009957,ENSXMAG00000010468,ENSXMAG00000010694,ENSXMAG00000010742,ENSXMAG00000010765,ENSXMAG00000011275,ENSXMAG00000011690,ENSXMAG00000012045,ENSXMAG00000012252,ENSXMAG00000012406,ENSXMAG00000012507,ENSXMAG00000012778,ENSXMAG00000012839,ENSXMAG00000012897,ENSXMAG00000012959,ENSXMAG00000013025,ENSXMAG00000013042,ENSXMAG00000013245,ENSXMAG00000013339,ENSXMAG00000013506,ENSXMAG00000013517,ENSXMAG00000014097,ENSXMAG00000014136,ENSXMAG00000014144,ENSXMAG00000014175,ENSXMAG00000014228,ENSXMAG00000014237,ENSXMAG00000014950,ENSXMAG00000015139,ENSXMAG00000015322,ENSXMAG00000015759,ENSXMAG00000015841,ENSXMAG00000015972,ENSXMAG00000016192,ENSXMAG00000016276,ENSXMAG00000016706,ENSXMAG00000016813,ENSXMAG00000016822,ENSXMAG00000017224,ENSXMAG00000017401,ENSXMAG00000018254,ENSXMAG00000019812,ENSXMAG00000020009,ENSXMAG00000000071,ENSXMAG00000000253,ENSXMAG00000000264,ENSXMAG00000000503,ENSXMAG00000000556,ENSXMAG00000000598,ENSXMAG00000000645,ENSXMAG00000001373,ENSXMAG00000001520,ENSXMAG00000001559,ENSXMAG00000001760,ENSXMAG00000001840,ENSXMAG00000001870,ENSXMAG00000002072,ENSXMAG00000002573,ENSXMAG00000002627,ENSXMAG00000002855,ENSXMAG00000002962,ENSXMAG00000003013,ENSXMAG00000003136,ENSXMAG00000003293,ENSXMAG00000003326,ENSXMAG00000003419,ENSXMAG00000003529,ENSXMAG00000003616,ENSXMAG00000003661,ENSXMAG00000003717,ENSXMAG00000003786,ENSXMAG00000003838,ENSXMAG00000003929,ENSXMAG00000003960,ENSXMAG00000004163,ENSXMAG00000004319,ENSXMAG00000004333,ENSXMAG00000004589,ENSXMAG00000004591,ENSXMAG00000005226,ENSXMAG00000005446,ENSXMAG00000005558,ENSXMAG00000005583,ENSXMAG00000005743,ENSXMAG00000005802,ENSXMAG00000005819,ENSXMAG00000005878,ENSXMAG00000005927,ENSXMAG00000005944,ENSXMAG00000006253,ENSXMAG00000006296,ENSXMAG00000006374,ENSXMAG00000006458,ENSXMAG00000006681,ENSXMAG00000006860,ENSXMAG00000006951,ENSXMAG00000006953,ENSXMAG00000007030,ENSXMAG00000007036,ENSXMAG00000007249,ENSXMAG00000007260,ENSXMAG00000007328,ENSXMAG00000007406,ENSXMAG00000007468,ENSXMAG00000007570,ENSXMAG00000007620,ENSXMAG00000007872,ENSXMAG00000007877,ENSXMAG00000007949,ENSXMAG00000008005,ENSXMAG00000008035,ENSXMAG00000008387,ENSXMAG00000008469,ENSXMAG00000008640,ENSXMAG00000008961,ENSXMAG00000009314,ENSXMAG00000009565,ENSXMAG00000009768,ENSXMAG00000009783,ENSXMAG00000009919,ENSXMAG00000010154,ENSXMAG00000010227,ENSXMAG00000010497,ENSXMAG00000010525,ENSXMAG00000011110,ENSXMAG00000011160,ENSXMAG00000011252,ENSXMAG00000011406,ENSXMAG00000011469,ENSXMAG00000011582,ENSXMAG00000011629,ENSXMAG00000011637,ENSXMAG00000011797,ENSXMAG00000012166,ENSXMAG00000012421,ENSXMAG00000012422,ENSXMAG00000012712,ENSXMAG00000013061,ENSXMAG00000013211,ENSXMAG00000013220,ENSXMAG00000013397,ENSXMAG00000013474,ENSXMAG00000013488,ENSXMAG00000013554,ENSXMAG00000013574,ENSXMAG00000013596,ENSXMAG00000013719,ENSXMAG00000013899,ENSXMAG00000013918,ENSXMAG00000014016,ENSXMAG00000014027,ENSXMAG00000014062,ENSXMAG00000014082,ENSXMAG00000014183,ENSXMAG00000014394,ENSXMAG00000014662,ENSXMAG00000014730,ENSXMAG00000014782,ENSXMAG00000015095,ENSXMAG00000015452,ENSXMAG00000015656,ENSXMAG00000015664,ENSXMAG00000015974,ENSXMAG00000016046,ENSXMAG00000016125,ENSXMAG00000016416,ENSXMAG00000016438,ENSXMAG00000016460,ENSXMAG00000016521,ENSXMAG00000016620,ENSXMAG00000016638,ENSXMAG00000016786,ENSXMAG00000016847,ENSXMAG00000016925,ENSXMAG00000016976,ENSXMAG00000017256,ENSXMAG00000017313,ENSXMAG00000017527,ENSXMAG00000017560,ENSXMAG00000017691,ENSXMAG00000017749,ENSXMAG00000018159,ENSXMAG00000018180,ENSXMAG00000018275,ENSXMAG00000018497,ENSXMAG00000018656,ENSXMAG00000018696,ENSXMAG00000018869,ENSXMAG00000019044,ENSXMAG00000019047,ENSXMAG00000019056,ENSXMAG00000019080,ENSXMAG00000019220,ENSXMAG00000019373,ENSXMAG00000019746,ENSXMAG00000020277,ENSXMAG00000000147,ENSXMAG00000000204,ENSXMAG00000000386,ENSXMAG00000000845,ENSXMAG00000000988,ENSXMAG00000001300,ENSXMAG00000001441,ENSXMAG00000001480,ENSXMAG00000001564,ENSXMAG00000001685,ENSXMAG00000001762,ENSXMAG00000001819,ENSXMAG00000001844,ENSXMAG00000002016,ENSXMAG00000002236,ENSXMAG00000002269,ENSXMAG00000002609,ENSXMAG00000002846,ENSXMAG00000003443,ENSXMAG00000003466,ENSXMAG00000003678,ENSXMAG00000003715,ENSXMAG00000003862,ENSXMAG00000003936,ENSXMAG00000004003,ENSXMAG00000004019,ENSXMAG00000004033,ENSXMAG00000004104,ENSXMAG00000004480,ENSXMAG00000004491,ENSXMAG00000004527,ENSXMAG00000004618,ENSXMAG00000004670,ENSXMAG00000005074,ENSXMAG00000005285,ENSXMAG00000005390,ENSXMAG00000005402,ENSXMAG00000005418,ENSXMAG00000005436,ENSXMAG00000005587,ENSXMAG00000005689,ENSXMAG00000005698,ENSXMAG00000006016,ENSXMAG00000006103,ENSXMAG00000006130,ENSXMAG00000006169,ENSXMAG00000006249,ENSXMAG00000006667,ENSXMAG00000006761,ENSXMAG00000006832,ENSXMAG00000007107,ENSXMAG00000007768,ENSXMAG00000008017,ENSXMAG00000008438,ENSXMAG00000008655,ENSXMAG00000008862,ENSXMAG00000008939,ENSXMAG00000009111,ENSXMAG00000009292,ENSXMAG00000009311,ENSXMAG00000009510,ENSXMAG00000009626,ENSXMAG00000010144,ENSXMAG00000010151,ENSXMAG00000010172,ENSXMAG00000010240,ENSXMAG00000010385,ENSXMAG00000010574,ENSXMAG00000010734,ENSXMAG00000010921,ENSXMAG00000010960,ENSXMAG00000011076,ENSXMAG00000011292,ENSXMAG00000011300,ENSXMAG00000011613,ENSXMAG00000011753,ENSXMAG00000011863,ENSXMAG00000012100,ENSXMAG00000012347,ENSXMAG00000012469,ENSXMAG00000012508,ENSXMAG00000012694,ENSXMAG00000012863,ENSXMAG00000012922,ENSXMAG00000012923,ENSXMAG00000013067,ENSXMAG00000013069,ENSXMAG00000013081,ENSXMAG00000013119,ENSXMAG00000013208,ENSXMAG00000013279,ENSXMAG00000013588,ENSXMAG00000013661,ENSXMAG00000013710,ENSXMAG00000013879,ENSXMAG00000014111,ENSXMAG00000014257,ENSXMAG00000014261,ENSXMAG00000014310,ENSXMAG00000014537,ENSXMAG00000014740,ENSXMAG00000014811,ENSXMAG00000014921,ENSXMAG00000015074,ENSXMAG00000015115,ENSXMAG00000015165,ENSXMAG00000015216,ENSXMAG00000015377,ENSXMAG00000015453,ENSXMAG00000015569,ENSXMAG00000015601,ENSXMAG00000015611,ENSXMAG00000015675,ENSXMAG00000015786,ENSXMAG00000015788,ENSXMAG00000015860,ENSXMAG00000015877,ENSXMAG00000016033,ENSXMAG00000016048,ENSXMAG00000016104,ENSXMAG00000016161,ENSXMAG00000016301,ENSXMAG00000016387,ENSXMAG00000016399,ENSXMAG00000016673,ENSXMAG00000016692,ENSXMAG00000016766,ENSXMAG00000017186,ENSXMAG00000017371,ENSXMAG00000017445,ENSXMAG00000017597,ENSXMAG00000017654,ENSXMAG00000018095,ENSXMAG00000018339,ENSXMAG00000018880,ENSXMAG00000018898,ENSXMAG00000019054,ENSXMAG00000019995,ENSXMAG00000020047,ENSXMAG00000020382	prmt5,pigm,pgam1a,cnot6l,otud6b,bmp1b,nudt4b,ptpn13,stk38a,coq7,HDAC2,uck1,ACER2,acox1,nudt14,tppp2,bcs1l,ACACB,fntb,plcb3,CBL,atp23,si:ch211-122f10.4,cdc42bpab,katnal1,cyp2n13,eif2s3,BCO2,cdk11b,trioa,REXO4,MINDY4B,phf2,chd1,HK1,tk2,GGT7,metap1,far1,top2b,prim1,twnk,mthfd2,smpd1,mat2ab,bud23,impdh1b,mocs3,nudt12,henmt1,mccc1,hexb,hdac3,AGL,sdr16c5a,chek2,lpcat4,gfer,rnf14,gfpt1,HECTD4,ctsz,aga,adamts3,TAOK3,adsl,alox5a,dusp16,mccc2,ctu1,PPP6C,armt1,soat1,dhx38,sod2,tcp1,usp3,zgc:136493,DHX57,nme6,USP15,idi1,itchb,sephs1,hk2,naga,mettl8,dera,mkrn1,nus1,psmc6,mical3a,ppm1da,cct4,usp20,zgc:110540,DDX39A,PLD4,lgmn,rhot1b,polr3h,fkbp6,POLK,dimt1l,lnpep,parp14rs1,ube3b,FUCA1,eif4a1a,alg5,hint3,ATG4D,map3k22,ftsj1,ppp2caa,ogt.2,desi1b,rrm2,ATP8A2,uba3,tent5ba,gpn2,trmt13,srm,eprs1,TYRP1,pmm2,ube2c,ubiad1,NTHL1,dnm1b,slka,SIRT7,pdha1a,lipt2,psmc4,mtor,TMTC3,polr1h,setd1ba,xylb,cyp26a1,rnf185,cdk15,spcs2,psmc3,coq6,pggt1b,eif2b3,HGFAC,nit2,CHD9,glula,ulk3,FADS6,paics,HYAL2,pcsk5b,unga,B3GNT3,mthfs,ASCC3,tk1,PTPRT,DAPK3,msrb2,KSR1,grk3,cerkl,polr2f,PRKCE,nrbp2b,atic,hdac4,dpp9,arfrp1,rtcb,cox6a1,cyba,ppa1b,OTUD7A,cdk2,npepl1,acot13,CHPF,rrm2b,igf1ra,fdft1,cdk9,ddx11,sae1,mpx,qpctla,NEDD4L,gcat,tatdn3,ERMP1,mtap,ASS1,MTMR4,SOD3,asnsd1,USP34,capn1a,ftcd,alpi.1,tasp1,NRP1,lonp2,ppil2,MGAT3,AAK1,stk33,rnaseh2a,SMARCA4,tpmt.1,flad1,polr2l,lcmt2,PLCL1,ube2g2,ubr7,DDX6,MTMR14,pcbd1,gpd1c,mmab,uchl1,plcd3a,pak5,mettl2a,phykpl,MRM2,hsd17b10,DDX41,clp1,GSTM4,prmt3,hadh,cycsb,BIRC6,PCSK9,urod,GALNT13,taf1,snd1,ndufs2,styk1b,MMP19,rnf41,cdadc1,mul1b,polr2j,mgmt,mpnd,otud5a,pim2,dldh,trmt5,nox1,zdhhc9,ITPK1,OTUB2,echs1,hibadhb,atp5f1b,EXT1,mmp23bb,trip13,ZDHHC11,ddah2,MDN1,cdkl1,ctu2,galm,aldh6a1,pank1a,alkbh1,extl2,cdc14b,AIFM2,sptlc1,PDE3A,rnf19b,hsp90b1,mmp21,clk2b,rab6ba,phactr3a,TNS3,ATM,MEP1B,G6PD,hsp90ab1,ECHDC3,nek2,raf1a,rdh8a,ficd,trpm7,PPIP5K1,loxl3b,PLCL2,DTWD2,UBE2M,CAPN15,hmgcl,gale,metap1d,nsun5,eya2,pop7,rap2b,zgc:154046,ptp4a2a,ptprfb,ndufv2,pus1,cemip2,ela3l,RAB39B,endouc,gucy2f,prpf4bb,psmd14,naprt,prkcz,tyms,pars2,ndufs7,zgc:162879,atp5fa1,abcd1,scly,rps6kc1,ndor1,tubb2b,mre11a,gsk3ba,st3gal5,rpap2,mapk10,tor4aa,mcm5,arsa,PPEF2,GLG1,get3,ADA2,parp2,pigl,gpn1,TMTC2,sdhc,atp1a2a,nfs1,fen1,st3gal8,hadhb,pcmt,TAB1,ddx3xa,EIF2AK4,ALDH18A1,zmpste24,rsad2,prkd4,alad,rfc2,trir,galnt11,nudt1,acot8,cops5,smg1,gna11b,pla2g12a,chchd4a,rrm1,LTN1,dnpep,chek1,smc1al,CLPB,GALNT5,itpa,gstk1,GLO1,dhrs7b,grk1b,ctsa,mib2,mkrn2,pgm2,mak,rasd2a,rsad1,MUTYH,pdia3,dio1,alg1,GALNT1,pgls,setd4,dis3l,fuom,fkbp14,eif4a3,pigb,pi4kab,immp1l,NAGLU,cdk1,CHAT,FAHD2A,gstz1,ENTPD5,rnf4,hpdb,vcpkmt,elac1,b4galt5,coasy,SMARCA2,vrk1,plk3,ctdnep1a,TMEM62,ndufs8a,akr1a1b,smyd1b,entpd6,chac2,prtfdc1b,zgc:172121,UBA3,ddi2,cplane2,agtpbp1,cers5,NOB1,eno1b,sod1,ndufaf5,scrn2,ARL9,galns,AGAP3,rrad,arl4aa,BRCC3,fh
GO:0003899	0.0183300897527704	3.57089552238806	2.26051560379919	6	17	DNA-directed 5'-3' RNA polymerase activity	ENSXMAG00000017428,ENSXMAG00000006921,ENSXMAG00000013517,ENSXMAG00000001559,ENSXMAG00000007260,ENSXMAG00000012422	prim1,polr3h,polr1h,polr2f,polr2l,polr2j
GO:0004521	0.00936617359745673	4.36567164179105	1.99457259158752	6	15	endoribonuclease activity	ENSXMAG00000006953,ENSXMAG00000011469,ENSXMAG00000019746,ENSXMAG00000001564,ENSXMAG00000015453,ENSXMAG00000017371	rnaseh2a,snd1,pop7,endouc,elac1,NOB1
GO:0004540	0.0312936403419397	2.49506008010681	3.8561736770692	8	29	ribonuclease activity	ENSXMAG00000002900,ENSXMAG00000006953,ENSXMAG00000011469,ENSXMAG00000019746,ENSXMAG00000001564,ENSXMAG00000013661,ENSXMAG00000015453,ENSXMAG00000017371	cnot6l,rnaseh2a,snd1,pop7,endouc,dis3l,elac1,NOB1
GO:0004659	0.0013906780252418	26.1750465549348	0.664857530529172	4	5	prenyltransferase activity	ENSXMAG00000007833,ENSXMAG00000012507,ENSXMAG00000015322,ENSXMAG00000003786	fntb,ubiad1,pggt1b,fdft1
