"","x"
"1","ENSXMAG00000000178"
"2","ENSXMAG00000000179"
"3","ENSXMAG00000000181"
"4","ENSXMAG00000000353"
"5","ENSXMAG00000000422"
"6","ENSXMAG00000001080"
"7","ENSXMAG00000001518"
"8","ENSXMAG00000002114"
"9","ENSXMAG00000002314"
"10","ENSXMAG00000002489"
"11","ENSXMAG00000002662"
"12","ENSXMAG00000004257"
"13","ENSXMAG00000005126"
"14","ENSXMAG00000006051"
"15","ENSXMAG00000008791"
"16","ENSXMAG00000008803"
"17","ENSXMAG00000009577"
"18","ENSXMAG00000010024"
"19","ENSXMAG00000013237"
"20","ENSXMAG00000015391"
"21","ENSXMAG00000015686"
"22","ENSXMAG00000016690"
"23","ENSXMAG00000017354"
"24","ENSXMAG00000017559"
"25","ENSXMAG00000017585"
"26","ENSXMAG00000017843"
"27","ENSXMAG00000017872"
"28","ENSXMAG00000018335"
"29","ENSXMAG00000019542"
"30","ENSXMAG00000019941"
"31","ENSXMAG00000020312"
"32","ENSXMAG00000020372"
"33","ENSXMAG00000020479"
