GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000978	0.0386758616115233	28.8142857142857	0.039348710990502	1	29	RNA polymerase II cis-regulatory region sequence-specific DNA binding	ENSXMAG00000005126	klf1
GO:0000987	0.04390237402399	25.2	0.0447761194029851	1	33	cis-regulatory region sequence-specific DNA binding	ENSXMAG00000005126	klf1
GO:0003870	0.00271203032010403	809.5	0.00271370420624152	1	2	5-aminolevulinate synthase activity	ENSXMAG00000016690	alas2
GO:0003872	0.00676754023231674	202.3	0.0067842605156038	1	5	6-phosphofructokinase activity	ENSXMAG00000002114	pfkmb
GO:0005231	0.0399849189923446	27.8172413793103	0.0407055630936228	1	30	excitatory extracellular ligand-gated ion channel activity	ENSXMAG00000010024	CHRNA6
GO:0005344	5.01794096048533e-06	1798.88888888889	0.00407055630936228	2	3	oxygen carrier activity	ENSXMAG00000000178,ENSXMAG00000017354	hbba2,hbae4
GO:0008443	0.0148336154817961	80.86	0.0149253731343284	1	11	phosphofructokinase activity	ENSXMAG00000002114	pfkmb
GO:0008519	0.00811604147366951	161.82	0.00814111261872456	1	6	ammonium transmembrane transporter activity	ENSXMAG00000017585	rhag
GO:0016410	0.04390237402399	25.2	0.0447761194029851	1	33	N-acyltransferase activity	ENSXMAG00000016690	alas2
GO:0016748	0.00406553650967534	404.7	0.00407055630936228	1	3	succinyltransferase activity	ENSXMAG00000016690	alas2
GO:0016749	0.00271203032010403	809.5	0.00271370420624152	1	2	N-succinyltransferase activity	ENSXMAG00000016690	alas2
GO:0019200	0.0281448392328683	40.38	0.028493894165536	1	21	carbohydrate kinase activity	ENSXMAG00000002114	pfkmb
GO:0019825	5.01794096048533e-06	1798.88888888889	0.00407055630936228	2	3	oxygen binding	ENSXMAG00000000178,ENSXMAG00000017354	hbba2,hbae4
GO:0020037	0.00230484431752139	34.3760683760684	0.073270013568521	2	54	heme binding	ENSXMAG00000000178,ENSXMAG00000017354	hbba2,hbae4
GO:0022848	0.0268211137786285	42.5105263157895	0.0271370420624152	1	20	acetylcholine-gated cation-selective channel activity	ENSXMAG00000010024	CHRNA6
GO:0030170	0.0412923556508914	26.8866666666667	0.0420624151967436	1	31	pyridoxal phosphate binding	ENSXMAG00000016690	alas2
GO:0036094	0.0273115644625141	4.04142581888247	1.88466757123474	5	1389	small molecule binding	ENSXMAG00000000178,ENSXMAG00000002114,ENSXMAG00000016690,ENSXMAG00000017354,ENSXMAG00000017559	hbba2,pfkmb,alas2,hbae4,septin3
GO:0046906	0.00265453470696097	31.9047619047619	0.0786974219810041	2	58	tetrapyrrole binding	ENSXMAG00000000178,ENSXMAG00000017354	hbba2,hbae4
GO:0070279	0.0412923556508914	26.8866666666667	0.0420624151967436	1	31	vitamin B6 binding	ENSXMAG00000016690	alas2
GO:0098960	0.0373651817004831	29.8851851851852	0.0379918588873813	1	28	postsynaptic neurotransmitter receptor activity	ENSXMAG00000010024	CHRNA6
GO:0099529	0.0268211137786285	42.5105263157895	0.0271370420624152	1	20	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	ENSXMAG00000010024	CHRNA6
GO:0140104	0.000313827042377303	99.7283950617284	0.0271370420624152	2	20	molecular carrier activity	ENSXMAG00000000178,ENSXMAG00000017354	hbba2,hbae4
GO:1904315	0.0268211137786285	42.5105263157895	0.0271370420624152	1	20	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	ENSXMAG00000010024	CHRNA6
