"","x"
"1","ENSXMAG00000000004"
"2","ENSXMAG00000000011"
"3","ENSXMAG00000000022"
"4","ENSXMAG00000000024"
"5","ENSXMAG00000000025"
"6","ENSXMAG00000000028"
"7","ENSXMAG00000000037"
"8","ENSXMAG00000000044"
"9","ENSXMAG00000000072"
"10","ENSXMAG00000000076"
"11","ENSXMAG00000000080"
"12","ENSXMAG00000000085"
"13","ENSXMAG00000000108"
"14","ENSXMAG00000000125"
"15","ENSXMAG00000000138"
"16","ENSXMAG00000000157"
"17","ENSXMAG00000000158"
"18","ENSXMAG00000000160"
"19","ENSXMAG00000000166"
"20","ENSXMAG00000000168"
"21","ENSXMAG00000000183"
"22","ENSXMAG00000000211"
"23","ENSXMAG00000000228"
"24","ENSXMAG00000000231"
"25","ENSXMAG00000000241"
"26","ENSXMAG00000000242"
"27","ENSXMAG00000000252"
"28","ENSXMAG00000000262"
"29","ENSXMAG00000000263"
"30","ENSXMAG00000000274"
"31","ENSXMAG00000000320"
"32","ENSXMAG00000000324"
"33","ENSXMAG00000000325"
"34","ENSXMAG00000000338"
"35","ENSXMAG00000000350"
"36","ENSXMAG00000000362"
"37","ENSXMAG00000000365"
"38","ENSXMAG00000000371"
"39","ENSXMAG00000000374"
"40","ENSXMAG00000000377"
"41","ENSXMAG00000000397"
"42","ENSXMAG00000000404"
"43","ENSXMAG00000000415"
"44","ENSXMAG00000000433"
"45","ENSXMAG00000000440"
"46","ENSXMAG00000000468"
"47","ENSXMAG00000000473"
"48","ENSXMAG00000000492"
"49","ENSXMAG00000000493"
"50","ENSXMAG00000000494"
"51","ENSXMAG00000000496"
"52","ENSXMAG00000000506"
"53","ENSXMAG00000000519"
"54","ENSXMAG00000000535"
"55","ENSXMAG00000000545"
"56","ENSXMAG00000000549"
"57","ENSXMAG00000000557"
"58","ENSXMAG00000000559"
"59","ENSXMAG00000000569"
"60","ENSXMAG00000000578"
"61","ENSXMAG00000000579"
"62","ENSXMAG00000000583"
"63","ENSXMAG00000000586"
"64","ENSXMAG00000000601"
"65","ENSXMAG00000000606"
"66","ENSXMAG00000000616"
"67","ENSXMAG00000000628"
"68","ENSXMAG00000000641"
"69","ENSXMAG00000000644"
"70","ENSXMAG00000000648"
"71","ENSXMAG00000000651"
"72","ENSXMAG00000000660"
"73","ENSXMAG00000000662"
"74","ENSXMAG00000000666"
"75","ENSXMAG00000000669"
"76","ENSXMAG00000000671"
"77","ENSXMAG00000000679"
"78","ENSXMAG00000000683"
