"","x"
"1","ENSXMAG00000000003"
"2","ENSXMAG00000000035"
"3","ENSXMAG00000000036"
"4","ENSXMAG00000000051"
"5","ENSXMAG00000000090"
"6","ENSXMAG00000000100"
"7","ENSXMAG00000000103"
"8","ENSXMAG00000000111"
"9","ENSXMAG00000000116"
"10","ENSXMAG00000000124"
"11","ENSXMAG00000000134"
"12","ENSXMAG00000000175"
"13","ENSXMAG00000000191"
"14","ENSXMAG00000000227"
"15","ENSXMAG00000000250"
"16","ENSXMAG00000000254"
"17","ENSXMAG00000000273"
"18","ENSXMAG00000000276"
"19","ENSXMAG00000000288"
"20","ENSXMAG00000000294"
"21","ENSXMAG00000000303"
"22","ENSXMAG00000000337"
"23","ENSXMAG00000000358"
"24","ENSXMAG00000000372"
"25","ENSXMAG00000000414"
"26","ENSXMAG00000000435"
"27","ENSXMAG00000000460"
"28","ENSXMAG00000000464"
"29","ENSXMAG00000000481"
"30","ENSXMAG00000000502"
"31","ENSXMAG00000000512"
"32","ENSXMAG00000000515"
"33","ENSXMAG00000000521"
"34","ENSXMAG00000000534"
"35","ENSXMAG00000000558"
"36","ENSXMAG00000000560"
"37","ENSXMAG00000000562"
"38","ENSXMAG00000000600"
"39","ENSXMAG00000000605"
"40","ENSXMAG00000000663"
"41","ENSXMAG00000000707"
"42","ENSXMAG00000000712"
"43","ENSXMAG00000000718"
"44","ENSXMAG00000000722"
"45","ENSXMAG00000000750"
"46","ENSXMAG00000000779"
"47","ENSXMAG00000000792"
"48","ENSXMAG00000000804"
"49","ENSXMAG00000000808"
"50","ENSXMAG00000000826"
"51","ENSXMAG00000000832"
"52","ENSXMAG00000000892"
"53","ENSXMAG00000000896"
"54","ENSXMAG00000000918"
"55","ENSXMAG00000000922"
"56","ENSXMAG00000000951"
"57","ENSXMAG00000000965"
"58","ENSXMAG00000000972"
"59","ENSXMAG00000000984"
"60","ENSXMAG00000001003"
"61","ENSXMAG00000001009"
"62","ENSXMAG00000001010"
"63","ENSXMAG00000001026"
"64","ENSXMAG00000001040"
"65","ENSXMAG00000001046"
"66","ENSXMAG00000001051"
"67","ENSXMAG00000001061"
"68","ENSXMAG00000001064"
"69","ENSXMAG00000001094"
"70","ENSXMAG00000001137"
"71","ENSXMAG00000001142"
"72","ENSXMAG00000001143"
"73","ENSXMAG00000001148"
"74","ENSXMAG00000001153"
"75","ENSXMAG00000001166"
"76","ENSXMAG00000001174"
"77","ENSXMAG00000001180"
"78","ENSXMAG00000001190"
"79","ENSXMAG00000001201"
"80","ENSXMAG00000001213"
"81","ENSXMAG00000001268"
"82","ENSXMAG00000001270"
"83","ENSXMAG00000001272"
"84","ENSXMAG00000001295"
"85","ENSXMAG00000001298"
"86","ENSXMAG00000001328"
"87","ENSXMAG00000001334"
"88","ENSXMAG00000001343"
"89","ENSXMAG00000001353"
"90","ENSXMAG00000001375"
"91","ENSXMAG00000001383"
"92","ENSXMAG00000001399"
"93","ENSXMAG00000001448"
"94","ENSXMAG00000001456"
"95","ENSXMAG00000001459"
"96","ENSXMAG00000001464"
"97","ENSXMAG00000001470"
"98","ENSXMAG00000001477"
"99","ENSXMAG00000001485"
"100","ENSXMAG00000001508"
"101","ENSXMAG00000001529"
"102","ENSXMAG00000001542"
"103","ENSXMAG00000001548"
"104","ENSXMAG00000001551"
"105","ENSXMAG00000001552"
"106","ENSXMAG00000001581"
"107","ENSXMAG00000001583"
"108","ENSXMAG00000001588"
"109","ENSXMAG00000001602"
"110","ENSXMAG00000001604"
"111","ENSXMAG00000001619"
"112","ENSXMAG00000001683"
"113","ENSXMAG00000001723"
"114","ENSXMAG00000001751"
"115","ENSXMAG00000001805"
"116","ENSXMAG00000001811"
"117","ENSXMAG00000001828"
"118","ENSXMAG00000001847"
"119","ENSXMAG00000001875"
"120","ENSXMAG00000001908"
"121","ENSXMAG00000001919"
"122","ENSXMAG00000001959"
"123","ENSXMAG00000001968"
"124","ENSXMAG00000001977"
"125","ENSXMAG00000001978"
"126","ENSXMAG00000001987"
"127","ENSXMAG00000002002"
"128","ENSXMAG00000002033"
"129","ENSXMAG00000002041"
"130","ENSXMAG00000002050"
"131","ENSXMAG00000002095"
"132","ENSXMAG00000002098"
"133","ENSXMAG00000002099"
"134","ENSXMAG00000002107"
"135","ENSXMAG00000002112"
"136","ENSXMAG00000002161"
"137","ENSXMAG00000002186"
"138","ENSXMAG00000002187"
"139","ENSXMAG00000002210"
"140","ENSXMAG00000002216"
"141","ENSXMAG00000002230"
"142","ENSXMAG00000002233"
"143","ENSXMAG00000002240"
"144","ENSXMAG00000002335"
"145","ENSXMAG00000002340"
"146","ENSXMAG00000002359"
"147","ENSXMAG00000002366"
"148","ENSXMAG00000002382"
"149","ENSXMAG00000002409"
"150","ENSXMAG00000002467"
"151","ENSXMAG00000002498"
"152","ENSXMAG00000002506"
"153","ENSXMAG00000002507"
"154","ENSXMAG00000002513"
"155","ENSXMAG00000002528"
"156","ENSXMAG00000002557"
"157","ENSXMAG00000002599"
"158","ENSXMAG00000002610"
"159","ENSXMAG00000002624"
"160","ENSXMAG00000002639"
"161","ENSXMAG00000002659"
"162","ENSXMAG00000002663"
"163","ENSXMAG00000002681"
"164","ENSXMAG00000002686"
"165","ENSXMAG00000002702"
"166","ENSXMAG00000002708"
"167","ENSXMAG00000002744"
"168","ENSXMAG00000002747"
"169","ENSXMAG00000002761"
"170","ENSXMAG00000002780"
"171","ENSXMAG00000002786"
"172","ENSXMAG00000002803"
"173","ENSXMAG00000002819"
"174","ENSXMAG00000002830"
"175","ENSXMAG00000002839"
"176","ENSXMAG00000002859"
"177","ENSXMAG00000002886"
"178","ENSXMAG00000002903"
"179","ENSXMAG00000002930"
"180","ENSXMAG00000002933"
"181","ENSXMAG00000002938"
"182","ENSXMAG00000002945"
"183","ENSXMAG00000002946"
"184","ENSXMAG00000002953"
"185","ENSXMAG00000002978"
"186","ENSXMAG00000002995"
"187","ENSXMAG00000002999"
"188","ENSXMAG00000003003"
"189","ENSXMAG00000003012"
"190","ENSXMAG00000003028"
"191","ENSXMAG00000003037"
"192","ENSXMAG00000003085"
"193","ENSXMAG00000003088"
"194","ENSXMAG00000003106"
"195","ENSXMAG00000003109"
"196","ENSXMAG00000003141"
"197","ENSXMAG00000003172"
"198","ENSXMAG00000003226"
"199","ENSXMAG00000003231"
"200","ENSXMAG00000003264"
"201","ENSXMAG00000003318"
"202","ENSXMAG00000003342"
"203","ENSXMAG00000003347"
