GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000723	0.0131625561658255	8.35677966101695	0.538701445988092	3	8	telomere maintenance	ENSXMAG00000001353,ENSXMAG00000015625,ENSXMAG00000003946	RAD50,xrcc5,pif1
GO:0002063	0.0394832056379417	9.26849894291755	0.336688403742557	2	5	chondrocyte development	ENSXMAG00000001470,ENSXMAG00000010180	gnptab,sulf1
GO:0003159	0.0394832056379417	9.26849894291755	0.336688403742557	2	5	morphogenesis of an endothelium	ENSXMAG00000006602,ENSXMAG00000001828	sh3gl3b,ppp2r2ab
GO:0005976	0.0152674062407751	5.07083574599498	1.01006521122767	4	15	polysaccharide metabolic process	ENSXMAG00000007739,ENSXMAG00000011040,ENSXMAG00000011787,ENSXMAG00000004886	pygmb,pygma,gys1,ppp1r3ca
GO:0005977	0.0118124721190755	5.57876857749469	0.942727530479161	4	14	glycogen metabolic process	ENSXMAG00000007739,ENSXMAG00000011040,ENSXMAG00000011787,ENSXMAG00000004886	pygmb,pygma,gys1,ppp1r3ca
GO:0006073	0.0118124721190755	5.57876857749469	0.942727530479161	4	14	cellular glucan metabolic process	ENSXMAG00000007739,ENSXMAG00000011040,ENSXMAG00000011787,ENSXMAG00000004886	pygmb,pygma,gys1,ppp1r3ca
GO:0006112	0.0118124721190755	5.57876857749469	0.942727530479161	4	14	energy reserve metabolic process	ENSXMAG00000007739,ENSXMAG00000011040,ENSXMAG00000011787,ENSXMAG00000004886	pygmb,pygma,gys1,ppp1r3ca
GO:0006171	0.00194784256586041	11.1660297239915	0.606039126736603	4	9	cAMP biosynthetic process	ENSXMAG00000006304,ENSXMAG00000006920,ENSXMAG00000016360,ENSXMAG00000017286	adcy1a,adcy8,adcy7,ADCY6
GO:0006259	0.0403840149961104	1.61969696969697	12.3901332577261	19	184	DNA metabolic process	ENSXMAG00000001353,ENSXMAG00000003796,ENSXMAG00000005603,ENSXMAG00000006195,ENSXMAG00000007601,ENSXMAG00000007820,ENSXMAG00000008753,ENSXMAG00000012434,ENSXMAG00000014540,ENSXMAG00000016869,ENSXMAG00000001847,ENSXMAG00000007223,ENSXMAG00000007439,ENSXMAG00000007720,ENSXMAG00000010830,ENSXMAG00000015625,ENSXMAG00000001174,ENSXMAG00000017346,ENSXMAG00000003946	RAD50,paxx,primpol,apex1,dntt,dnase1l4.1,uhrf1,tdg.1,polb,eepd1,ruvbl1,fancl,samhd1,slx1b,trip12,xrcc5,supt16h,parpbp,pif1
GO:0006281	0.0117184200931451	1.96451070226931	9.3599376240431	17	139	DNA repair	ENSXMAG00000001353,ENSXMAG00000003796,ENSXMAG00000005603,ENSXMAG00000006195,ENSXMAG00000007601,ENSXMAG00000012434,ENSXMAG00000014540,ENSXMAG00000016869,ENSXMAG00000001847,ENSXMAG00000007223,ENSXMAG00000007439,ENSXMAG00000007720,ENSXMAG00000010830,ENSXMAG00000015625,ENSXMAG00000001174,ENSXMAG00000017346,ENSXMAG00000003946	RAD50,paxx,primpol,apex1,dntt,tdg.1,polb,eepd1,ruvbl1,fancl,samhd1,slx1b,trip12,xrcc5,supt16h,parpbp,pif1
GO:0006563	0.0006033524166585	18.6157112526539	0.47136376523958	4	7	L-serine metabolic process	ENSXMAG00000002786,ENSXMAG00000003644,ENSXMAG00000008711,ENSXMAG00000012095	psat1,shmt1,psph,CBS
GO:0006564	0.00452545876574429	Inf	0.134675361497023	2	2	L-serine biosynthetic process	ENSXMAG00000002786,ENSXMAG00000008711	psat1,psph
GO:0006623	0.0394832056379417	9.26849894291755	0.336688403742557	2	5	protein targeting to vacuole	ENSXMAG00000001470,ENSXMAG00000002050	gnptab,vps41
GO:0006695	0.0247854147035387	13.9048625792812	0.269350722994046	2	4	cholesterol biosynthetic process	ENSXMAG00000003003,ENSXMAG00000012282	mvda,lbr
