GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0005886	0.0172361665395912	1.33620689655172	61.2522942461763	77	889	plasma membrane	ENSXMAG00000000035,ENSXMAG00000000481,ENSXMAG00000000892,ENSXMAG00000002107,ENSXMAG00000002186,ENSXMAG00000002359,ENSXMAG00000004537,ENSXMAG00000004551,ENSXMAG00000004624,ENSXMAG00000005701,ENSXMAG00000006304,ENSXMAG00000006920,ENSXMAG00000007262,ENSXMAG00000007895,ENSXMAG00000009607,ENSXMAG00000010494,ENSXMAG00000010939,ENSXMAG00000011609,ENSXMAG00000012585,ENSXMAG00000013010,ENSXMAG00000013163,ENSXMAG00000013222,ENSXMAG00000013232,ENSXMAG00000014849,ENSXMAG00000015380,ENSXMAG00000016360,ENSXMAG00000016647,ENSXMAG00000017286,ENSXMAG00000017498,ENSXMAG00000018067,ENSXMAG00000018111,ENSXMAG00000018363,ENSXMAG00000019257,ENSXMAG00000019697,ENSXMAG00000019711,ENSXMAG00000002747,ENSXMAG00000004190,ENSXMAG00000006109,ENSXMAG00000007490,ENSXMAG00000007940,ENSXMAG00000008011,ENSXMAG00000008421,ENSXMAG00000009554,ENSXMAG00000010055,ENSXMAG00000011044,ENSXMAG00000012430,ENSXMAG00000013224,ENSXMAG00000013468,ENSXMAG00000013805,ENSXMAG00000014065,ENSXMAG00000015884,ENSXMAG00000015886,ENSXMAG00000016311,ENSXMAG00000016609,ENSXMAG00000019094,ENSXMAG00000019566,ENSXMAG00000000515,ENSXMAG00000001583,ENSXMAG00000003875,ENSXMAG00000004418,ENSXMAG00000005122,ENSXMAG00000007041,ENSXMAG00000014684,ENSXMAG00000016613,ENSXMAG00000017195,ENSXMAG00000017332,ENSXMAG00000017730,ENSXMAG00000019989,ENSXMAG00000003438,ENSXMAG00000004516,ENSXMAG00000005543,ENSXMAG00000005616,ENSXMAG00000007339,ENSXMAG00000008770,ENSXMAG00000010701,ENSXMAG00000011782,ENSXMAG00000015858	nptnb,prkci,RHCG,CORIN,rxfp1,NPFFR2,clns1a,gpc6b,vipr2,p2rx1,adcy1a,adcy8,cavin2a,SCN8A,kcnk1b,UNC5D,plxna4,ecrg4a,rgmd,atp1b3b,ptgfr,GHRHR,cnr2,CDHR1,prf1.5,adcy7,SLCO2A1,ADCY6,atp2b2,slc39a14,sec14l8,GRID1,glra1,si:dkey-211g8.6,chrm5b,tgfbr2b,elapor2a,PPP1R16B,tenm4,prom1b,ncf4,GPR158,AVPR2,ATP6V1A,stra6l,itgb4,DLG3,ntrk1,slc22a7a,slc44a4,glrba,ihha,cav4b,cacnb2b,itga6b,aplnrb,chrna7a,kcnc3b,PHB2,HCN1,ITGA6,ADRA1B,CDH8,atat1,GRIK5,gpc3,FAT3,gjb3,arl6,MARVELD2,xkr8.3,chrnb3a,SLC7A1,HTR1F,ihhb,SLCO3A1,ap1s2
GO:0005938	0.0347450036155069	3.09343434343434	1.86030589949017	5	27	cell cortex	ENSXMAG00000012474,ENSXMAG00000016748,ENSXMAG00000010102,ENSXMAG00000016605,ENSXMAG00000016901	SPTBN2,exoc7,dctn4,amotl2a,exoc1
GO:0010494	0.0135633687516075	27.1380042462845	0.206700655498908	2	3	cytoplasmic stress granule	ENSXMAG00000007192,ENSXMAG00000017281	mcrip2,eif2s1b
GO:0015630	0.0162707840145005	1.81583455702398	11.2307356154406	19	163	microtubule cytoskeleton	ENSXMAG00000008915,ENSXMAG00000010512,ENSXMAG00000012011,ENSXMAG00000013428,ENSXMAG00000015681,ENSXMAG00000017161,ENSXMAG00000017874,ENSXMAG00000002830,ENSXMAG00000003686,ENSXMAG00000005054,ENSXMAG00000007104,ENSXMAG00000010102,ENSXMAG00000011279,ENSXMAG00000018852,ENSXMAG00000000722,ENSXMAG00000003534,ENSXMAG00000006695,ENSXMAG00000011253,ENSXMAG00000016613	kat2a,hmmr,nudc,MAP7D3,kif3cb,KIF19,KIF5A,odf2b,KIF1A,DYNC1I2,kif2a,dctn4,cep19,cep70,DYNC1I1,map7d1b,nusap1,pafah1b1b,atat1
GO:0016020	0.0178801549717537	1.22808100164017	241.495265841224	264	3505	membrane	ENSXMAG00000000035,ENSXMAG00000000414,ENSXMAG00000000481,ENSXMAG00000000521,ENSXMAG00000000892,ENSXMAG00000001040,ENSXMAG00000001137,ENSXMAG00000001470,ENSXMAG00000001529,ENSXMAG00000001751,ENSXMAG00000001977,ENSXMAG00000002107,ENSXMAG00000002186,ENSXMAG00000002359,ENSXMAG00000002624,ENSXMAG00000002978,ENSXMAG00000003141,ENSXMAG00000003750,ENSXMAG00000004537,ENSXMAG00000004551,ENSXMAG00000004624,ENSXMAG00000005294,ENSXMAG00000005352,ENSXMAG00000005432,ENSXMAG00000005638,ENSXMAG00000005696,ENSXMAG00000005701,ENSXMAG00000006304,ENSXMAG00000006320,ENSXMAG00000006591,ENSXMAG00000006768,ENSXMAG00000006920,ENSXMAG00000007170,ENSXMAG00000007262,ENSXMAG00000007577,ENSXMAG00000007700,ENSXMAG00000007706,ENSXMAG00000007895,ENSXMAG00000008420,ENSXMAG00000008614,ENSXMAG00000008827,ENSXMAG00000008881,ENSXMAG00000008991,ENSXMAG00000009280,ENSXMAG00000009607,ENSXMAG00000009663,ENSXMAG00000009709,ENSXMAG00000009793,ENSXMAG00000009868,ENSXMAG00000010054,ENSXMAG00000010371,ENSXMAG00000010494,ENSXMAG00000010732,ENSXMAG00000010939,ENSXMAG00000010984,ENSXMAG00000011008,ENSXMAG00000011024,ENSXMAG00000011365,ENSXMAG00000011609,ENSXMAG00000011809,ENSXMAG00000011888,ENSXMAG00000012211,ENSXMAG00000012474,ENSXMAG00000012526,ENSXMAG00000012585,ENSXMAG00000013010,ENSXMAG00000013163,ENSXMAG00000013222,ENSXMAG00000013232,ENSXMAG00000013305,ENSXMAG00000013472,ENSXMAG00000013624,ENSXMAG00000014669,ENSXMAG00000014849,ENSXMAG00000015003,ENSXMAG00000015171,ENSXMAG00000015380,ENSXMAG00000015596,ENSXMAG00000016021,ENSXMAG00000016290,ENSXMAG00000016330,ENSXMAG00000016352,ENSXMAG00000016360,ENSXMAG00000016498,ENSXMAG00000016647,ENSXMAG00000016927,ENSXMAG00000017268,ENSXMAG00000017286,ENSXMAG00000017498,ENSXMAG00000017572,ENSXMAG00000017641,ENSXMAG00000017683,ENSXMAG00000018067,ENSXMAG00000018111,ENSXMAG00000018269,ENSXMAG00000018319,ENSXMAG00000018363,ENSXMAG00000018700,ENSXMAG00000018712,ENSXMAG00000018940,ENSXMAG00000019257,ENSXMAG00000019502,ENSXMAG00000019541,ENSXMAG00000019697,ENSXMAG00000019711,ENSXMAG00000020013,ENSXMAG00000000502,ENSXMAG00000000600,ENSXMAG00000000832,ENSXMAG00000002050,ENSXMAG00000002233,ENSXMAG00000002610,ENSXMAG00000002747,ENSXMAG00000002819,ENSXMAG00000003028,ENSXMAG00000003226,ENSXMAG00000003423,ENSXMAG00000003439,ENSXMAG00000003885,ENSXMAG00000003967,ENSXMAG00000004190,ENSXMAG00000004495,ENSXMAG00000005409,ENSXMAG00000005424,ENSXMAG00000005593,ENSXMAG00000005786,ENSXMAG00000005907,ENSXMAG00000005973,ENSXMAG00000006090,ENSXMAG00000006109,ENSXMAG00000006229,ENSXMAG00000006513,ENSXMAG00000006851,ENSXMAG00000006916,ENSXMAG00000006970,ENSXMAG00000007021,ENSXMAG00000007115,ENSXMAG00000007303,ENSXMAG00000007490,ENSXMAG00000007886,ENSXMAG00000007940,ENSXMAG00000008011,ENSXMAG00000008421,ENSXMAG00000008589,ENSXMAG00000009554,ENSXMAG00000010055,ENSXMAG00000010882,ENSXMAG00000011044,ENSXMAG00000011387,ENSXMAG00000011450,ENSXMAG00000011695,ENSXMAG00000012430,ENSXMAG00000012572,ENSXMAG00000013224,ENSXMAG00000013468,ENSXMAG00000013483,ENSXMAG00000013733,ENSXMAG00000013805,ENSXMAG00000013971,ENSXMAG00000014065,ENSXMAG00000014093,ENSXMAG00000014385,ENSXMAG00000014960,ENSXMAG00000015122,ENSXMAG00000015403,ENSXMAG00000015525,ENSXMAG00000015553,ENSXMAG00000015651,ENSXMAG00000015884,ENSXMAG00000015886,ENSXMAG00000016311,ENSXMAG00000016372,ENSXMAG00000016609,ENSXMAG00000016768,ENSXMAG00000017006,ENSXMAG00000017736,ENSXMAG00000018116,ENSXMAG00000019094,ENSXMAG00000019492,ENSXMAG00000019566,ENSXMAG00000019813,ENSXMAG00000020190,ENSXMAG00000000515,ENSXMAG00000001583,ENSXMAG00000002033,ENSXMAG00000002639,ENSXMAG00000002780,ENSXMAG00000003106,ENSXMAG00000003342,ENSXMAG00000003875,ENSXMAG00000004418,ENSXMAG00000004633,ENSXMAG00000004683,ENSXMAG00000004899,ENSXMAG00000005122,ENSXMAG00000006416,ENSXMAG00000007041,ENSXMAG00000008478,ENSXMAG00000009199,ENSXMAG00000009822,ENSXMAG00000010423,ENSXMAG00000011043,ENSXMAG00000011330,ENSXMAG00000011686,ENSXMAG00000012052,ENSXMAG00000012145,ENSXMAG00000012282,ENSXMAG00000013440,ENSXMAG00000013890,ENSXMAG00000014684,ENSXMAG00000015225,ENSXMAG00000015650,ENSXMAG00000016080,ENSXMAG00000016550,ENSXMAG00000016613,ENSXMAG00000016669,ENSXMAG00000016708,ENSXMAG00000016779,ENSXMAG00000017065,ENSXMAG00000017195,ENSXMAG00000017332,ENSXMAG00000017521,ENSXMAG00000017730,ENSXMAG00000018393,ENSXMAG00000018611,ENSXMAG00000018890,ENSXMAG00000019146,ENSXMAG00000019989,ENSXMAG00000020245,ENSXMAG00000000124,ENSXMAG00000000288,ENSXMAG00000001298,ENSXMAG00000001508,ENSXMAG00000002409,ENSXMAG00000002761,ENSXMAG00000003438,ENSXMAG00000004516,ENSXMAG00000005526,ENSXMAG00000005543,ENSXMAG00000005616,ENSXMAG00000006545,ENSXMAG00000007140,ENSXMAG00000007339,ENSXMAG00000008770,ENSXMAG00000008788,ENSXMAG00000009803,ENSXMAG00000010701,ENSXMAG00000011782,ENSXMAG00000011950,ENSXMAG00000012341,ENSXMAG00000012556,ENSXMAG00000013101,ENSXMAG00000013532,ENSXMAG00000013735,ENSXMAG00000014298,ENSXMAG00000014557,ENSXMAG00000015858,ENSXMAG00000016214,ENSXMAG00000016477,ENSXMAG00000016918,ENSXMAG00000017192,ENSXMAG00000018485,ENSXMAG00000019814,ENSXMAG00000019937	nptnb,fndc5b,prkci,sppl2,RHCG,si:ch211-260e23.8,ANO9,gnptab,zgc:153993,SEC61A1,AP3B2,CORIN,rxfp1,NPFFR2,pex11g,asphd2,DIPK1A,vsig8b,clns1a,gpc6b,vipr2,RAB14,smim8,lman2la,psmd1,sfxn5a,p2rx1,adcy1a,SDK1,TRHDE,vps18,adcy8,JMY,cavin2a,NT5E,kmo,gal3st1a,SCN8A,b3glctb,ucmaa,plppr2a,slc5a6a,derl1,cntn1b,kcnk1b,CDKAL1,manea,rnf150a,herc3,sort1b,SLC24A1,UNC5D,tmigd1,plxna4,klhdc10,sntb1,SHISAL2A,si:dkey-239i20.2,ecrg4a,SLC10A4,nat14,kcnk10b,SPTBN2,CHST15,rgmd,atp1b3b,ptgfr,GHRHR,cnr2,ltk,slc38a6,lpcat1,lmtk2,CDHR1,alg3,tmem63c,prf1.5,SLC16A13,PAM,pomk,dpp6b,adcy7,tmem216,SLCO2A1,chchd3b,CACNA2D2,ADCY6,atp2b2,PTPRK,mfsd13a,ece1,slc39a14,sec14l8,cog2,porcn,GRID1,SLC17A7,zgc:154075,cmtm4,glra1,sco2,lingo4b,si:dkey-211g8.6,chrm5b,pigw,syngr3b,ube2j1,furinb,vps41,PDGFC,seh1l,tgfbr2b,pex11a,zgc:114041,KCNMA1,abcg2b,mfsd2b,abcd4,golph3a,elapor2a,plod1a,GPR155,st8sia1,opa1,adck5,SPNS2,fibcd1b,tm9sf1,PPP1R16B,GSG1,lim2.5,slc25a40,ANO3,MAST1,ANO5,slc35a2,serinc5,tenm4,tpst1l,prom1b,ncf4,GPR158,tlcd2,AVPR2,ATP6V1A,tollip,stra6l,TMEM38B,FAIM2,lamp1b,itgb4,tmem184ba,DLG3,ntrk1,tmem35,CPT1C,slc22a7a,pals2a,slc44a4,ELFN1,MYOM2,dnajb12b,iyd,GPR20,trpm6,clptm1l,slc17a9b,glrba,ihha,cav4b,MYLK4,cacnb2b,PIGT,them6,timm10,rusf1,itga6b,tmem126a,aplnrb,b3gnt2a,AMIGO1,chrna7a,kcnc3b,tmem33,slc5a2,st8sia2,MALT1,KCNT1,PHB2,HCN1,ERLIN2,zgc:171927,slc30a6,ITGA6,SPAST,ADRA1B,LAMP5,emc2,srd5a2a,CNKSR2,zgc:77880,myoc,hsd17b7,NETO2,kcnj13,lbr,cox15,ABCB11,CDH8,sntg2,galnt18a,chst6,CHST8,atat1,arl8ba,BTBD17,slc25a20,kcnh1a,GRIK5,gpc3,SLC46A3,FAT3,cpox,kcnk5a,clstn2a,syt12,gjb3,tpbgb,TMEM132D,hhatla,slc17a6b,oxa1l,CABP7,slc2a13b,arl6,MARVELD2,XXYLT1,xkr8.3,chrnb3a,DUOXA2,aqp10a,SLC7A1,HTR1F,KCNN1,tmx2a,ihhb,SLCO3A1,ucp3,clcnk,mfsd8,rap2ab,tspan7,lctla,spata18,NUP85,ap1s2,GPR55,b4galt7,cox11,maneal,STX1A,pgap4,abhd13
GO:0031515	0.0135633687516075	27.1380042462845	0.206700655498908	2	3	tRNA (m1A) methyltransferase complex	ENSXMAG00000018398,ENSXMAG00000018447	trmt61b,trmt61a
GO:0034708	0.0448159112470158	4.52695035460993	0.82680262199563	3	12	methyltransferase complex	ENSXMAG00000004537,ENSXMAG00000018398,ENSXMAG00000018447	clns1a,trmt61b,trmt61a
GO:0043527	0.0135633687516075	27.1380042462845	0.206700655498908	2	3	tRNA methyltransferase complex	ENSXMAG00000018398,ENSXMAG00000018447	trmt61b,trmt61a
GO:0071944	0.0152217418249325	1.3346612137141	65.455207574654	82	950	cell periphery	ENSXMAG00000000035,ENSXMAG00000000481,ENSXMAG00000000892,ENSXMAG00000002107,ENSXMAG00000002186,ENSXMAG00000002359,ENSXMAG00000004537,ENSXMAG00000004551,ENSXMAG00000004624,ENSXMAG00000005701,ENSXMAG00000006304,ENSXMAG00000006920,ENSXMAG00000007262,ENSXMAG00000007895,ENSXMAG00000009607,ENSXMAG00000010494,ENSXMAG00000010939,ENSXMAG00000011609,ENSXMAG00000012474,ENSXMAG00000012585,ENSXMAG00000013010,ENSXMAG00000013163,ENSXMAG00000013222,ENSXMAG00000013232,ENSXMAG00000014849,ENSXMAG00000015380,ENSXMAG00000016360,ENSXMAG00000016647,ENSXMAG00000016748,ENSXMAG00000017286,ENSXMAG00000017498,ENSXMAG00000018067,ENSXMAG00000018111,ENSXMAG00000018363,ENSXMAG00000019257,ENSXMAG00000019697,ENSXMAG00000019711,ENSXMAG00000002747,ENSXMAG00000004190,ENSXMAG00000006109,ENSXMAG00000007490,ENSXMAG00000007940,ENSXMAG00000008011,ENSXMAG00000008421,ENSXMAG00000009554,ENSXMAG00000010055,ENSXMAG00000010102,ENSXMAG00000011044,ENSXMAG00000012430,ENSXMAG00000013224,ENSXMAG00000013468,ENSXMAG00000013805,ENSXMAG00000014065,ENSXMAG00000015884,ENSXMAG00000015886,ENSXMAG00000016311,ENSXMAG00000016605,ENSXMAG00000016609,ENSXMAG00000016901,ENSXMAG00000019094,ENSXMAG00000019566,ENSXMAG00000000515,ENSXMAG00000001583,ENSXMAG00000003875,ENSXMAG00000004418,ENSXMAG00000005122,ENSXMAG00000007041,ENSXMAG00000014684,ENSXMAG00000016613,ENSXMAG00000017195,ENSXMAG00000017332,ENSXMAG00000017730,ENSXMAG00000019989,ENSXMAG00000003438,ENSXMAG00000004516,ENSXMAG00000005543,ENSXMAG00000005616,ENSXMAG00000007339,ENSXMAG00000008770,ENSXMAG00000010701,ENSXMAG00000011782,ENSXMAG00000015858	nptnb,prkci,RHCG,CORIN,rxfp1,NPFFR2,clns1a,gpc6b,vipr2,p2rx1,adcy1a,adcy8,cavin2a,SCN8A,kcnk1b,UNC5D,plxna4,ecrg4a,SPTBN2,rgmd,atp1b3b,ptgfr,GHRHR,cnr2,CDHR1,prf1.5,adcy7,SLCO2A1,exoc7,ADCY6,atp2b2,slc39a14,sec14l8,GRID1,glra1,si:dkey-211g8.6,chrm5b,tgfbr2b,elapor2a,PPP1R16B,tenm4,prom1b,ncf4,GPR158,AVPR2,ATP6V1A,dctn4,stra6l,itgb4,DLG3,ntrk1,slc22a7a,slc44a4,glrba,ihha,cav4b,amotl2a,cacnb2b,exoc1,itga6b,aplnrb,chrna7a,kcnc3b,PHB2,HCN1,ITGA6,ADRA1B,CDH8,atat1,GRIK5,gpc3,FAT3,gjb3,arl6,MARVELD2,xkr8.3,chrnb3a,SLC7A1,HTR1F,ihhb,SLCO3A1,ap1s2
GO:0099080	0.046735856973083	1.58928763296444	12.6087399854334	19	183	supramolecular complex	ENSXMAG00000012011,ENSXMAG00000015681,ENSXMAG00000017031,ENSXMAG00000017161,ENSXMAG00000017874,ENSXMAG00000002610,ENSXMAG00000003686,ENSXMAG00000006882,ENSXMAG00000007104,ENSXMAG00000010102,ENSXMAG00000016605,ENSXMAG00000003231,ENSXMAG00000006695,ENSXMAG00000007192,ENSXMAG00000011253,ENSXMAG00000015146,ENSXMAG00000015916,ENSXMAG00000016613,ENSXMAG00000017281	nudc,kif3cb,ndc80,KIF19,KIF5A,seh1l,KIF1A,FMN1,kif2a,dctn4,amotl2a,krt1-c5,nusap1,mcrip2,pafah1b1b,cenpo,myoz1b,atat1,eif2s1b
