"","x"
"1","ENSXMAG00000000934"
"2","ENSXMAG00000003274"
"3","ENSXMAG00000004356"
"4","ENSXMAG00000005403"
"5","ENSXMAG00000006041"
"6","ENSXMAG00000006988"
"7","ENSXMAG00000008771"
"8","ENSXMAG00000009166"
"9","ENSXMAG00000009800"
"10","ENSXMAG00000011278"
"11","ENSXMAG00000014643"
"12","ENSXMAG00000015303"
"13","ENSXMAG00000015414"
"14","ENSXMAG00000017059"
"15","ENSXMAG00000017914"
"16","ENSXMAG00000018621"
"17","ENSXMAG00000018752"
"18","ENSXMAG00000019678"
"19","ENSXMAG00000019856"
"20","ENSXMAG00000019867"
"21","ENSXMAG00000019938"
"22","ENSXMAG00000019994"
"23","ENSXMAG00000020171"
"24","ENSXMAG00000020270"
"25","ENSXMAG00000020523"
"26","ENSXMAG00000020585"
