GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001708	0.0428366009256302	25.9851851851852	0.043663169832719	1	28	cell fate specification	ENSXMAG00000008771	pou1f1
GO:0003008	0.0417156440412682	7.19536598209584	0.332151970513184	2	213	system process	ENSXMAG00000015414,ENSXMAG00000019994	rrh,opn4.1
GO:0003406	0.0154948333969031	78.1555555555556	0.0155939892259711	1	10	retinal pigment epithelium development	ENSXMAG00000015303	otx2b
GO:0006606	0.0231601112447389	50.2071428571429	0.0233909838389566	1	15	protein import into nucleus	ENSXMAG00000006041	IPO4
GO:0006873	0.047325847799751	23.3766666666667	0.0483413666005103	1	31	cellular ion homeostasis	ENSXMAG00000019994	opn4.1
GO:0006874	0.0292532250996769	39.0277777777778	0.0296285795293451	1	19	cellular calcium ion homeostasis	ENSXMAG00000019994	opn4.1
GO:0006875	0.0413359171471501	26.9884615384615	0.0421037709101219	1	27	cellular metal ion homeostasis	ENSXMAG00000019994	opn4.1
GO:0007186	0.0122330917308028	7.80185758513932	0.508364048766657	3	326	G protein-coupled receptor signaling pathway	ENSXMAG00000015414,ENSXMAG00000019994,ENSXMAG00000020171	rrh,opn4.1,DRD5
GO:0007417	0.0368359247843296	7.72250423011844	0.310320385596825	2	199	central nervous system development	ENSXMAG00000003274,ENSXMAG00000015303	foxb1a,otx2b
GO:0007420	0.0199096569809224	10.8778565799842	0.222994045931386	2	143	brain development	ENSXMAG00000003274,ENSXMAG00000015303	foxb1a,otx2b
GO:0007600	0.00591662853634205	20.9279279279279	0.11851431811738	2	76	sensory perception	ENSXMAG00000015414,ENSXMAG00000019994	rrh,opn4.1
GO:0007601	0.00192803568842597	37.9512195121951	0.0670541536716757	2	43	visual perception	ENSXMAG00000015414,ENSXMAG00000019994	rrh,opn4.1
GO:0007602	0.000456855686398466	82.1520467836257	0.0327473773745393	2	21	phototransduction	ENSXMAG00000015414,ENSXMAG00000019994	rrh,opn4.1
GO:0007603	0.00311658687266836	704.2	0.00311879784519422	1	2	phototransduction, visible light	ENSXMAG00000019994	opn4.1
GO:0008377	0.0015593989225976	Inf	0.00155939892259711	1	1	light-induced release of internally sequestered calcium ion	ENSXMAG00000019994	opn4.1
GO:0009314	0.00422819904520499	25.0215053763441	0.0998015310462149	2	64	response to radiation	ENSXMAG00000015414,ENSXMAG00000019994	rrh,opn4.1
GO:0009416	0.00325194116289371	28.761316872428	0.0873263396654381	2	56	response to light stimulus	ENSXMAG00000015414,ENSXMAG00000019994	rrh,opn4.1
GO:0009581	0.00087726034565488	57.7448559670782	0.0452225687553161	2	29	detection of external stimulus	ENSXMAG00000015414,ENSXMAG00000019994	rrh,opn4.1
GO:0009582	0.00087726034565488	57.7448559670782	0.0452225687553161	2	29	detection of abiotic stimulus	ENSXMAG00000015414,ENSXMAG00000019994	rrh,opn4.1
GO:0009583	0.000650432680269442	67.8260869565217	0.0389849730649277	2	25	detection of light stimulus	ENSXMAG00000015414,ENSXMAG00000019994	rrh,opn4.1
GO:0009584	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	detection of visible light	ENSXMAG00000019994	opn4.1
GO:0009628	0.0104595155653014	15.4288888888889	0.159058690104905	2	102	response to abiotic stimulus	ENSXMAG00000015414,ENSXMAG00000019994	rrh,opn4.1
GO:0016056	0.00311658687266836	704.2	0.00311879784519422	1	2	rhodopsin mediated signaling pathway	ENSXMAG00000019994	opn4.1
GO:0017038	0.0428366009256302	25.9851851851852	0.043663169832719	1	28	protein import	ENSXMAG00000006041	IPO4
GO:0021532	0.0216314103233697	54.0769230769231	0.0218315849163595	1	14	neural tube patterning	ENSXMAG00000015303	otx2b
GO:0021536	0.0368210229972989	30.5217391304348	0.0374255741423306	1	24	diencephalon development	ENSXMAG00000003274	foxb1a
GO:0021549	0.0170322491880207	70.33	0.0171533881485682	1	11	cerebellum development	ENSXMAG00000015303	otx2b
GO:0021761	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	limbic system development	ENSXMAG00000003274	foxb1a
GO:0021767	0.00311658687266836	704.2	0.00311879784519422	1	2	mammillary body development	ENSXMAG00000003274	foxb1a
GO:0021903	0.0201005348629937	58.5916666666667	0.0202721859937624	1	13	rostrocaudal neural tube patterning	ENSXMAG00000015303	otx2b
GO:0021915	0.0428366009256302	25.9851851851852	0.043663169832719	1	28	neural tube development	ENSXMAG00000015303	otx2b
GO:0022037	0.0246866404074479	46.8533333333333	0.0249503827615537	1	16	metencephalon development	ENSXMAG00000015303	otx2b
GO:0030003	0.047325847799751	23.3766666666667	0.0483413666005103	1	31	cellular cation homeostasis	ENSXMAG00000019994	opn4.1
GO:0030901	0.0246866404074479	46.8533333333333	0.0249503827615537	1	16	midbrain development	ENSXMAG00000015303	otx2b
GO:0030917	0.0170322491880207	70.33	0.0171533881485682	1	11	midbrain-hindbrain boundary development	ENSXMAG00000015303	otx2b
GO:0032879	0.0199096569809224	10.8778565799842	0.222994045931386	2	143	regulation of localization	ENSXMAG00000011278,ENSXMAG00000019994	KCNJ3,opn4.1
GO:0034504	0.0246866404074479	46.8533333333333	0.0249503827615537	1	16	protein localization to nucleus	ENSXMAG00000006041	IPO4
GO:0042908	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	xenobiotic transport	ENSXMAG00000019856	slc18a3b
GO:0050794	0.0371698301387745	3.54207814512666	3.64275588318684	7	2336	regulation of cellular process	ENSXMAG00000011278,ENSXMAG00000003274,ENSXMAG00000008771,ENSXMAG00000015303,ENSXMAG00000015414,ENSXMAG00000019994,ENSXMAG00000020171	KCNJ3,foxb1a,pou1f1,otx2b,rrh,opn4.1,DRD5
GO:0050877	0.0142779636989101	13.0414312617702	0.187127870711653	2	120	nervous system process	ENSXMAG00000015414,ENSXMAG00000019994	rrh,opn4.1
GO:0050953	0.00211019804942717	36.1757105943152	0.0701729515168699	2	45	sensory perception of light stimulus	ENSXMAG00000015414,ENSXMAG00000019994	rrh,opn4.1
GO:0051170	0.0231601112447389	50.2071428571429	0.0233909838389566	1	15	import into nucleus	ENSXMAG00000006041	IPO4
GO:0051208	0.0124134419423092	100.514285714286	0.0124751913807769	1	8	sequestering of calcium ion	ENSXMAG00000019994	opn4.1
GO:0051235	0.0246866404074479	46.8533333333333	0.0249503827615537	1	16	maintenance of location	ENSXMAG00000019994	opn4.1
GO:0051282	0.0124134419423092	100.514285714286	0.0124751913807769	1	8	regulation of sequestering of calcium ion	ENSXMAG00000019994	opn4.1
GO:0051283	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	negative regulation of sequestering of calcium ion	ENSXMAG00000019994	opn4.1
GO:0051606	0.00158753798852589	42.0780780780781	0.0608165579812872	2	39	detection of stimulus	ENSXMAG00000015414,ENSXMAG00000019994	rrh,opn4.1
GO:0051651	0.0154948333969031	78.1555555555556	0.0155939892259711	1	10	maintenance of location in cell	ENSXMAG00000019994	opn4.1
GO:0055074	0.0353117681900295	31.9136363636364	0.0358661752197335	1	23	calcium ion homeostasis	ENSXMAG00000019994	opn4.1
GO:0060322	0.0212408105910279	10.4977168949772	0.230791040544372	2	148	head development	ENSXMAG00000003274,ENSXMAG00000015303	foxb1a,otx2b
GO:0071214	0.00777491308889755	175.975	0.00779699461298554	1	5	cellular response to abiotic stimulus	ENSXMAG00000019994	opn4.1
GO:0071478	0.00622434113890158	234.666666666667	0.00623759569038843	1	4	cellular response to radiation	ENSXMAG00000019994	opn4.1
GO:0071482	0.00622434113890158	234.666666666667	0.00623759569038843	1	4	cellular response to light stimulus	ENSXMAG00000019994	opn4.1
GO:0072503	0.0322868069321169	35.115	0.0327473773745393	1	21	cellular divalent inorganic cation homeostasis	ENSXMAG00000019994	opn4.1
GO:0072507	0.045831563517104	24.1862068965517	0.0467819676779132	1	30	divalent inorganic cation homeostasis	ENSXMAG00000019994	opn4.1
