"","x"
"1","ENSXMAG00000000049"
"2","ENSXMAG00000000054"
"3","ENSXMAG00000000094"
"4","ENSXMAG00000000159"
"5","ENSXMAG00000000171"
"6","ENSXMAG00000000225"
"7","ENSXMAG00000000243"
"8","ENSXMAG00000000266"
"9","ENSXMAG00000000268"
"10","ENSXMAG00000000278"
"11","ENSXMAG00000000305"
"12","ENSXMAG00000000330"
"13","ENSXMAG00000000334"
"14","ENSXMAG00000000351"
"15","ENSXMAG00000000355"
"16","ENSXMAG00000000361"
"17","ENSXMAG00000000383"
"18","ENSXMAG00000000399"
"19","ENSXMAG00000000451"
"20","ENSXMAG00000000455"
"21","ENSXMAG00000000487"
"22","ENSXMAG00000000544"
"23","ENSXMAG00000000625"
"24","ENSXMAG00000000642"
"25","ENSXMAG00000000681"
"26","ENSXMAG00000000716"
"27","ENSXMAG00000000751"
"28","ENSXMAG00000000787"
"29","ENSXMAG00000000871"
"30","ENSXMAG00000000881"
"31","ENSXMAG00000000936"
"32","ENSXMAG00000000942"
"33","ENSXMAG00000000960"
"34","ENSXMAG00000001006"
"35","ENSXMAG00000001069"
"36","ENSXMAG00000001083"
"37","ENSXMAG00000001132"
"38","ENSXMAG00000001136"
"39","ENSXMAG00000001184"
"40","ENSXMAG00000001205"
"41","ENSXMAG00000001271"
"42","ENSXMAG00000001274"
"43","ENSXMAG00000001332"
"44","ENSXMAG00000001339"
"45","ENSXMAG00000001439"
"46","ENSXMAG00000001592"
"47","ENSXMAG00000001613"
"48","ENSXMAG00000001620"
"49","ENSXMAG00000001623"
"50","ENSXMAG00000001677"
"51","ENSXMAG00000001720"
"52","ENSXMAG00000001830"
"53","ENSXMAG00000001851"
"54","ENSXMAG00000001862"
"55","ENSXMAG00000001930"
"56","ENSXMAG00000001941"
"57","ENSXMAG00000001996"
"58","ENSXMAG00000002000"
"59","ENSXMAG00000002056"
"60","ENSXMAG00000002062"
"61","ENSXMAG00000002065"
"62","ENSXMAG00000002101"
"63","ENSXMAG00000002142"
"64","ENSXMAG00000002146"
"65","ENSXMAG00000002158"
"66","ENSXMAG00000002196"
"67","ENSXMAG00000002242"
"68","ENSXMAG00000002257"
"69","ENSXMAG00000002264"
"70","ENSXMAG00000002299"
"71","ENSXMAG00000002338"
"72","ENSXMAG00000002346"
"73","ENSXMAG00000002352"
"74","ENSXMAG00000002367"
"75","ENSXMAG00000002424"
"76","ENSXMAG00000002447"
"77","ENSXMAG00000002458"
"78","ENSXMAG00000002531"
"79","ENSXMAG00000002574"
"80","ENSXMAG00000002629"
"81","ENSXMAG00000002698"
"82","ENSXMAG00000002703"
"83","ENSXMAG00000002704"
"84","ENSXMAG00000002766"
"85","ENSXMAG00000002791"
"86","ENSXMAG00000002820"
"87","ENSXMAG00000002821"
"88","ENSXMAG00000002844"
"89","ENSXMAG00000002921"
"90","ENSXMAG00000002923"
"91","ENSXMAG00000002951"
"92","ENSXMAG00000002993"
"93","ENSXMAG00000003089"
"94","ENSXMAG00000003143"
"95","ENSXMAG00000003156"
"96","ENSXMAG00000003162"
"97","ENSXMAG00000003166"
"98","ENSXMAG00000003212"
"99","ENSXMAG00000003221"
"100","ENSXMAG00000003223"
"101","ENSXMAG00000003259"
"102","ENSXMAG00000003265"
"103","ENSXMAG00000003268"
"104","ENSXMAG00000003280"
"105","ENSXMAG00000003282"
"106","ENSXMAG00000003315"
"107","ENSXMAG00000003357"
"108","ENSXMAG00000003383"
"109","ENSXMAG00000003392"
"110","ENSXMAG00000003449"
"111","ENSXMAG00000003457"
"112","ENSXMAG00000003488"
"113","ENSXMAG00000003518"
"114","ENSXMAG00000003541"
"115","ENSXMAG00000003546"
"116","ENSXMAG00000003639"
"117","ENSXMAG00000003667"
"118","ENSXMAG00000003687"
"119","ENSXMAG00000003704"
"120","ENSXMAG00000003705"
"121","ENSXMAG00000003749"
"122","ENSXMAG00000003840"
"123","ENSXMAG00000003911"
"124","ENSXMAG00000003968"
"125","ENSXMAG00000004110"
"126","ENSXMAG00000004127"
"127","ENSXMAG00000004140"
"128","ENSXMAG00000004178"
"129","ENSXMAG00000004183"
"130","ENSXMAG00000004202"
"131","ENSXMAG00000004212"
"132","ENSXMAG00000004267"
"133","ENSXMAG00000004291"
"134","ENSXMAG00000004307"
"135","ENSXMAG00000004314"
"136","ENSXMAG00000004323"
"137","ENSXMAG00000004355"
