GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001674	0.037727603787327	Inf	0.037727603787327	1	1	female germ cell nucleus	ENSXMAG00000016175	stau1
GO:0005622	9.89057108886166e-05	1.64517285072506	143.628987618354	173	3807	intracellular anatomical structure	ENSXMAG00000000225,ENSXMAG00000000243,ENSXMAG00000000642,ENSXMAG00000000787,ENSXMAG00000001136,ENSXMAG00000001271,ENSXMAG00000001332,ENSXMAG00000001862,ENSXMAG00000002056,ENSXMAG00000002346,ENSXMAG00000002367,ENSXMAG00000002844,ENSXMAG00000002921,ENSXMAG00000003143,ENSXMAG00000003162,ENSXMAG00000003280,ENSXMAG00000003541,ENSXMAG00000003667,ENSXMAG00000003687,ENSXMAG00000003840,ENSXMAG00000004368,ENSXMAG00000004544,ENSXMAG00000004585,ENSXMAG00000004703,ENSXMAG00000004788,ENSXMAG00000004800,ENSXMAG00000005080,ENSXMAG00000005141,ENSXMAG00000005195,ENSXMAG00000005519,ENSXMAG00000005540,ENSXMAG00000005722,ENSXMAG00000005790,ENSXMAG00000005833,ENSXMAG00000006553,ENSXMAG00000006593,ENSXMAG00000006645,ENSXMAG00000007090,ENSXMAG00000007263,ENSXMAG00000007554,ENSXMAG00000007591,ENSXMAG00000007828,ENSXMAG00000007848,ENSXMAG00000008099,ENSXMAG00000008318,ENSXMAG00000008471,ENSXMAG00000008940,ENSXMAG00000009132,ENSXMAG00000009240,ENSXMAG00000009410,ENSXMAG00000009566,ENSXMAG00000009586,ENSXMAG00000009617,ENSXMAG00000009813,ENSXMAG00000009887,ENSXMAG00000010010,ENSXMAG00000010245,ENSXMAG00000010409,ENSXMAG00000010415,ENSXMAG00000010508,ENSXMAG00000010580,ENSXMAG00000010711,ENSXMAG00000010836,ENSXMAG00000011457,ENSXMAG00000011483,ENSXMAG00000011748,ENSXMAG00000012049,ENSXMAG00000012175,ENSXMAG00000012273,ENSXMAG00000012360,ENSXMAG00000012396,ENSXMAG00000012562,ENSXMAG00000012696,ENSXMAG00000013129,ENSXMAG00000013223,ENSXMAG00000013690,ENSXMAG00000013910,ENSXMAG00000013950,ENSXMAG00000014201,ENSXMAG00000014267,ENSXMAG00000014334,ENSXMAG00000014451,ENSXMAG00000014840,ENSXMAG00000014898,ENSXMAG00000014999,ENSXMAG00000015213,ENSXMAG00000015293,ENSXMAG00000015350,ENSXMAG00000015392,ENSXMAG00000015488,ENSXMAG00000015532,ENSXMAG00000015853,ENSXMAG00000015871,ENSXMAG00000016258,ENSXMAG00000016425,ENSXMAG00000016967,ENSXMAG00000017182,ENSXMAG00000017655,ENSXMAG00000017733,ENSXMAG00000017805,ENSXMAG00000018702,ENSXMAG00000018751,ENSXMAG00000019126,ENSXMAG00000020084,ENSXMAG00000000159,ENSXMAG00000000171,ENSXMAG00000000305,ENSXMAG00000000361,ENSXMAG00000001677,ENSXMAG00000003221,ENSXMAG00000003449,ENSXMAG00000004127,ENSXMAG00000004307,ENSXMAG00000004603,ENSXMAG00000004894,ENSXMAG00000005051,ENSXMAG00000005097,ENSXMAG00000005188,ENSXMAG00000005190,ENSXMAG00000005202,ENSXMAG00000005737,ENSXMAG00000006380,ENSXMAG00000007075,ENSXMAG00000007383,ENSXMAG00000007388,ENSXMAG00000007975,ENSXMAG00000008567,ENSXMAG00000009235,ENSXMAG00000009245,ENSXMAG00000009827,ENSXMAG00000010321,ENSXMAG00000010869,ENSXMAG00000011193,ENSXMAG00000011702,ENSXMAG00000012359,ENSXMAG00000012834,ENSXMAG00000014080,ENSXMAG00000014530,ENSXMAG00000016283,ENSXMAG00000016853,ENSXMAG00000017046,ENSXMAG00000017217,ENSXMAG00000017936,ENSXMAG00000018312,ENSXMAG00000018667,ENSXMAG00000019205,ENSXMAG00000001941,ENSXMAG00000002299,ENSXMAG00000004604,ENSXMAG00000005178,ENSXMAG00000006587,ENSXMAG00000008415,ENSXMAG00000009103,ENSXMAG00000010281,ENSXMAG00000010998,ENSXMAG00000011027,ENSXMAG00000015678,ENSXMAG00000016175,ENSXMAG00000019149,ENSXMAG00000001205,ENSXMAG00000001439,ENSXMAG00000002101,ENSXMAG00000002158,ENSXMAG00000002821,ENSXMAG00000003259,ENSXMAG00000009443,ENSXMAG00000011593,ENSXMAG00000012219,ENSXMAG00000012419,ENSXMAG00000013463,ENSXMAG00000015246,ENSXMAG00000017136,ENSXMAG00000019042	capzb,si:dkey-93h22.8,ap1m1,ago2,rps25,PBRM1,TAOK1,puf60b,stat2,rps7,myt1la,pex1,rpl35,rpl5b,rps24,timeless,copz2,kif23,rpl30,SIK2,ikbkg,smc2,rpl22,rps3,rpl10,ctnna2,nup155,rpl37,pou6f1,AHCTF1,fgd4a,atg9b,XPO1,rps6,rps14,zgc:114188,nol11,daxx,slc25a24l,nkx6.2,brd3b,tonsl,CREB1,rps3a,DMD,rpl19,rack1,pld1a,rps11,ipo7,rfc1,rpl9,actc2,ncapg,cntf,rmnd5b,SEC61A1,rpl7,glg1b,PDZD8,polh,pigv,rpl23a,lig3,nop2,pdha1b,rpl22l1,rps9,cnot3a,rps13,rpl18,unk,FDXR,cfl1,rragcb,rpl39,rps15,rps28,rps5,rfx1a,EPB41L3,BAIAP2,zgc:162872,gnl2,rps8a,polr3a,eif4eb,smarcad1a,metap2b,TAF4,rplp1,romo1,sptb,prkacbb,tp63,rngtt,RAD54L2,LZTS2,gcfc2,ROCK2,HOMER1,HIPK1,dtd2,JUND,cltca,rps27a,rpl36a,rpl14,psmc1a,rpl13,engase,STEAP3,kpnb3,rtel1,rps15a,smad4a,prdx5,frmd8,rpl28,TFCP2,SYMPK,TRIM67,ttk,papolg,cog6,rpl36,braf,vps39,utp25,wdr3,smg6,MRS2,MYO7A,pold1,atf5a,immt,tmem120b,atp6v0a1b,myof,viml,NDUFB1,rpl38,nccrp1,SPOP,scarb1,trmt10c,ace2,maf1b,polr3f,RPL27A,pyroxd1,ints10,stk17al,rpl26,cax1,rplp2,st6galnac1.1,stau1,enoph1,CASKIN2,chsy1,idh3b,leo1,rpl18a,calr,klhl40b,si:dkeyp-118h3.6,rpl17,rpl31,rbm8a,ap5m1,rpl15,mcm4
GO:0005663	0.037727603787327	Inf	0.037727603787327	1	1	DNA replication factor C complex	ENSXMAG00000009566	rfc1
GO:0005730	0.0075488057062995	3.06444808999297	2.86729788783685	8	76	nucleolus	ENSXMAG00000004703,ENSXMAG00000006645,ENSXMAG00000007090,ENSXMAG00000011483,ENSXMAG00000014898,ENSXMAG00000009245,ENSXMAG00000009827,ENSXMAG00000010321	rps3,nol11,daxx,nop2,gnl2,utp25,wdr3,smg6
GO:0005829	0.00527877684322144	2.81254048451872	3.88594319009468	10	103	cytosol	ENSXMAG00000002844,ENSXMAG00000002921,ENSXMAG00000003687,ENSXMAG00000005141,ENSXMAG00000008471,ENSXMAG00000010409,ENSXMAG00000015532,ENSXMAG00000003449,ENSXMAG00000010321,ENSXMAG00000011027	pex1,rpl35,rpl30,rpl37,rpl19,rpl7,rplp1,engase,smg6,rplp2
GO:0005840	5.90142668631662e-38	24.1601082144614	3.84821558630736	45	102	ribosome	ENSXMAG00000001136,ENSXMAG00000002346,ENSXMAG00000002921,ENSXMAG00000003143,ENSXMAG00000003162,ENSXMAG00000003687,ENSXMAG00000004585,ENSXMAG00000004703,ENSXMAG00000004788,ENSXMAG00000005141,ENSXMAG00000005833,ENSXMAG00000006553,ENSXMAG00000006593,ENSXMAG00000008099,ENSXMAG00000008471,ENSXMAG00000008940,ENSXMAG00000009240,ENSXMAG00000009586,ENSXMAG00000010409,ENSXMAG00000010836,ENSXMAG00000012049,ENSXMAG00000012175,ENSXMAG00000012360,ENSXMAG00000012396,ENSXMAG00000013690,ENSXMAG00000013910,ENSXMAG00000013950,ENSXMAG00000014201,ENSXMAG00000014999,ENSXMAG00000015532,ENSXMAG00000000171,ENSXMAG00000000305,ENSXMAG00000000361,ENSXMAG00000003221,ENSXMAG00000004894,ENSXMAG00000005190,ENSXMAG00000007975,ENSXMAG00000017217,ENSXMAG00000005178,ENSXMAG00000010281,ENSXMAG00000011027,ENSXMAG00000002821,ENSXMAG00000012219,ENSXMAG00000012419,ENSXMAG00000017136	rps25,rps7,rpl35,rpl5b,rps24,rpl30,rpl22,rps3,rpl10,rpl37,rps6,rps14,zgc:114188,rps3a,rpl19,rack1,rps11,rpl9,rpl7,rpl23a,rpl22l1,rps9,rps13,rpl18,rpl39,rps15,rps28,rps5,rps8a,rplp1,rps27a,rpl36a,rpl14,rpl13,rps15a,rpl28,rpl36,rpl38,RPL27A,rpl26,rplp2,rpl18a,rpl17,rpl31,rpl15
GO:0005911	0.0255157263430999	2.59365079365079	2.90502549162418	7	77	cell-cell junction	ENSXMAG00000004510,ENSXMAG00000004800,ENSXMAG00000007381,ENSXMAG00000012059,ENSXMAG00000012196,ENSXMAG00000007319,ENSXMAG00000019457	oclna,ctnna2,gjc4b,tjp3,f11r.1,cldn3c,cldnk
GO:0005923	0.0164420170540263	3.69572553430821	1.50910415149308	5	40	bicellular tight junction	ENSXMAG00000004510,ENSXMAG00000012059,ENSXMAG00000012196,ENSXMAG00000007319,ENSXMAG00000019457	oclna,tjp3,f11r.1,cldn3c,cldnk
GO:0015934	6.51498702902293e-10	26.4899598393574	0.75455207574654	10	20	large ribosomal subunit	ENSXMAG00000002921,ENSXMAG00000003687,ENSXMAG00000005141,ENSXMAG00000008471,ENSXMAG00000010409,ENSXMAG00000015532,ENSXMAG00000005178,ENSXMAG00000010281,ENSXMAG00000011027,ENSXMAG00000012219	rpl35,rpl30,rpl37,rpl19,rpl7,rplp1,RPL27A,rpl26,rplp2,rpl17
GO:0015935	0.000529650414315545	14.787675070028	0.415003641660597	4	11	small ribosomal subunit	ENSXMAG00000004703,ENSXMAG00000012175,ENSXMAG00000013910,ENSXMAG00000014201	rps3,rps9,rps15,rps5
