GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000339	0.00779389231755122	26.1912751677852	0.148020229431356	2	4	RNA cap binding	ENSXMAG00000000787,ENSXMAG00000018253	ago2,NCBP1
GO:0003689	0.0370050573578392	Inf	0.0370050573578389	1	1	DNA clamp loader activity	ENSXMAG00000009566	rfc1
GO:0003723	0.00111799216167551	1.98681204857161	15.8381645491551	29	428	RNA binding	ENSXMAG00000000243,ENSXMAG00000000787,ENSXMAG00000001862,ENSXMAG00000003143,ENSXMAG00000003687,ENSXMAG00000004585,ENSXMAG00000004703,ENSXMAG00000005141,ENSXMAG00000008471,ENSXMAG00000009422,ENSXMAG00000009586,ENSXMAG00000010070,ENSXMAG00000010836,ENSXMAG00000011483,ENSXMAG00000012049,ENSXMAG00000012175,ENSXMAG00000013910,ENSXMAG00000014201,ENSXMAG00000015293,ENSXMAG00000018253,ENSXMAG00000018749,ENSXMAG00000000361,ENSXMAG00000003968,ENSXMAG00000007383,ENSXMAG00000009245,ENSXMAG00000010255,ENSXMAG00000010281,ENSXMAG00000016175,ENSXMAG00000013463	si:dkey-93h22.8,ago2,puf60b,rpl5b,rpl30,rpl22,rps3,rpl37,rpl19,ZNF106,rpl9,eef1g,rpl23a,nop2,rpl22l1,rps9,rps15,rps5,eif4eb,NCBP1,ddx56,rpl14,nsun4,papolg,utp25,aimp1a,rpl26,stau1,rbm8a
GO:0003735	1.66000354067023e-37	25.9572762645914	3.44147033427902	43	93	structural constituent of ribosome	ENSXMAG00000002346,ENSXMAG00000002921,ENSXMAG00000003143,ENSXMAG00000003162,ENSXMAG00000003687,ENSXMAG00000004585,ENSXMAG00000004703,ENSXMAG00000004788,ENSXMAG00000005141,ENSXMAG00000005833,ENSXMAG00000006553,ENSXMAG00000006593,ENSXMAG00000008099,ENSXMAG00000008471,ENSXMAG00000009240,ENSXMAG00000009586,ENSXMAG00000010409,ENSXMAG00000010836,ENSXMAG00000012049,ENSXMAG00000012175,ENSXMAG00000012360,ENSXMAG00000012396,ENSXMAG00000013690,ENSXMAG00000013910,ENSXMAG00000013950,ENSXMAG00000014201,ENSXMAG00000014999,ENSXMAG00000015532,ENSXMAG00000000171,ENSXMAG00000000305,ENSXMAG00000000361,ENSXMAG00000003221,ENSXMAG00000004894,ENSXMAG00000005190,ENSXMAG00000007975,ENSXMAG00000017217,ENSXMAG00000005178,ENSXMAG00000010281,ENSXMAG00000011027,ENSXMAG00000002821,ENSXMAG00000012219,ENSXMAG00000012419,ENSXMAG00000017136	rps7,rpl35,rpl5b,rps24,rpl30,rpl22,rps3,rpl10,rpl37,rps6,rps14,zgc:114188,rps3a,rpl19,rps11,rpl9,rpl7,rpl23a,rpl22l1,rps9,rps13,rpl18,rpl39,rps15,rps28,rps5,rps8a,rplp1,rps27a,rpl36a,rpl14,rpl13,rps15a,rpl28,rpl36,rpl38,RPL27A,rpl26,rplp2,rpl18a,rpl17,rpl31,rpl15
GO:0004484	0.0370050573578392	Inf	0.0370050573578389	1	1	mRNA guanylyltransferase activity	ENSXMAG00000016967	rngtt
GO:0004519	0.0168900980019923	3.65866290018832	1.5172073516714	5	41	endonuclease activity	ENSXMAG00000000787,ENSXMAG00000004703,ENSXMAG00000018548,ENSXMAG00000019357,ENSXMAG00000010321	ago2,rps3,ZC3H12B,dnase1l4.2,smg6
GO:0004601	0.0232107068924504	5.62265512265512	0.629085975083261	3	17	peroxidase activity	ENSXMAG00000002766,ENSXMAG00000011397,ENSXMAG00000005097	gpx8,prdx6,prdx5
GO:0004642	0.0370050573578392	Inf	0.0370050573578389	1	1	phosphoribosylformylglycinamidine synthase activity	ENSXMAG00000011539	pfas
GO:0004651	0.0370050573578392	Inf	0.0370050573578389	1	1	polynucleotide 5'-phosphatase activity	ENSXMAG00000016967	rngtt
GO:0005198	4.60035569357091e-29	10.568275862069	7.21598618477859	50	195	structural molecule activity	ENSXMAG00000002346,ENSXMAG00000002921,ENSXMAG00000003143,ENSXMAG00000003162,ENSXMAG00000003687,ENSXMAG00000004585,ENSXMAG00000004703,ENSXMAG00000004788,ENSXMAG00000004800,ENSXMAG00000005080,ENSXMAG00000005141,ENSXMAG00000005833,ENSXMAG00000006553,ENSXMAG00000006593,ENSXMAG00000008099,ENSXMAG00000008471,ENSXMAG00000009240,ENSXMAG00000009586,ENSXMAG00000010409,ENSXMAG00000010836,ENSXMAG00000012049,ENSXMAG00000012175,ENSXMAG00000012360,ENSXMAG00000012396,ENSXMAG00000013690,ENSXMAG00000013910,ENSXMAG00000013950,ENSXMAG00000014201,ENSXMAG00000014999,ENSXMAG00000015532,ENSXMAG00000015871,ENSXMAG00000000159,ENSXMAG00000000171,ENSXMAG00000000305,ENSXMAG00000000361,ENSXMAG00000003221,ENSXMAG00000004894,ENSXMAG00000005190,ENSXMAG00000007975,ENSXMAG00000009010,ENSXMAG00000017217,ENSXMAG00000005178,ENSXMAG00000007319,ENSXMAG00000010281,ENSXMAG00000011027,ENSXMAG00000019457,ENSXMAG00000002821,ENSXMAG00000012219,ENSXMAG00000012419,ENSXMAG00000017136	rps7,rpl35,rpl5b,rps24,rpl30,rpl22,rps3,rpl10,ctnna2,nup155,rpl37,rps6,rps14,zgc:114188,rps3a,rpl19,rps11,rpl9,rpl7,rpl23a,rpl22l1,rps9,rps13,rpl18,rpl39,rps15,rps28,rps5,rps8a,rplp1,sptb,cltca,rps27a,rpl36a,rpl14,rpl13,rps15a,rpl28,rpl36,CAVIN1,rpl38,RPL27A,cldn3c,rpl26,rplp2,cldnk,rpl18a,rpl17,rpl31,rpl15
