"","x"
"1","ENSXMAG00000000092"
"2","ENSXMAG00000000102"
"3","ENSXMAG00000000185"
"4","ENSXMAG00000000205"
"5","ENSXMAG00000000230"
"6","ENSXMAG00000000328"
"7","ENSXMAG00000001322"
"8","ENSXMAG00000001561"
"9","ENSXMAG00000001568"
"10","ENSXMAG00000001793"
"11","ENSXMAG00000001874"
"12","ENSXMAG00000002054"
"13","ENSXMAG00000002081"
"14","ENSXMAG00000002181"
"15","ENSXMAG00000002203"
"16","ENSXMAG00000002360"
"17","ENSXMAG00000002726"
"18","ENSXMAG00000002760"
"19","ENSXMAG00000002772"
"20","ENSXMAG00000002796"
"21","ENSXMAG00000002801"
"22","ENSXMAG00000002870"
"23","ENSXMAG00000003327"
"24","ENSXMAG00000003399"
"25","ENSXMAG00000003498"
"26","ENSXMAG00000003586"
"27","ENSXMAG00000003753"
"28","ENSXMAG00000003794"
"29","ENSXMAG00000003975"
"30","ENSXMAG00000004352"
"31","ENSXMAG00000004407"
"32","ENSXMAG00000004492"
"33","ENSXMAG00000004997"
"34","ENSXMAG00000005062"
"35","ENSXMAG00000005248"
"36","ENSXMAG00000005370"
"37","ENSXMAG00000005755"
"38","ENSXMAG00000005979"
"39","ENSXMAG00000005984"
"40","ENSXMAG00000006128"
"41","ENSXMAG00000006252"
"42","ENSXMAG00000006322"
"43","ENSXMAG00000006701"
"44","ENSXMAG00000007133"
"45","ENSXMAG00000007348"
"46","ENSXMAG00000007420"
"47","ENSXMAG00000007442"
"48","ENSXMAG00000007652"
"49","ENSXMAG00000008465"
"50","ENSXMAG00000008858"
"51","ENSXMAG00000009092"
"52","ENSXMAG00000009690"
"53","ENSXMAG00000009933"
"54","ENSXMAG00000010565"
"55","ENSXMAG00000010699"
"56","ENSXMAG00000010755"
"57","ENSXMAG00000010946"
"58","ENSXMAG00000010961"
"59","ENSXMAG00000011067"
"60","ENSXMAG00000011361"
"61","ENSXMAG00000011405"
"62","ENSXMAG00000011580"
"63","ENSXMAG00000011726"
"64","ENSXMAG00000011742"
"65","ENSXMAG00000012048"
"66","ENSXMAG00000012068"
"67","ENSXMAG00000012188"
"68","ENSXMAG00000012611"
"69","ENSXMAG00000012734"
"70","ENSXMAG00000012806"
"71","ENSXMAG00000012916"
"72","ENSXMAG00000013189"
"73","ENSXMAG00000013289"
"74","ENSXMAG00000013842"
"75","ENSXMAG00000013964"
"76","ENSXMAG00000014575"
"77","ENSXMAG00000014602"
"78","ENSXMAG00000014853"
"79","ENSXMAG00000014865"
"80","ENSXMAG00000015056"
"81","ENSXMAG00000015354"
"82","ENSXMAG00000015536"
"83","ENSXMAG00000015539"
"84","ENSXMAG00000015582"
"85","ENSXMAG00000015821"
"86","ENSXMAG00000015948"
"87","ENSXMAG00000016257"
"88","ENSXMAG00000016472"
"89","ENSXMAG00000016834"
"90","ENSXMAG00000017018"
"91","ENSXMAG00000017041"
"92","ENSXMAG00000017351"
"93","ENSXMAG00000017694"
"94","ENSXMAG00000017964"
"95","ENSXMAG00000018134"
"96","ENSXMAG00000018270"
"97","ENSXMAG00000018314"
"98","ENSXMAG00000018336"
"99","ENSXMAG00000018856"
"100","ENSXMAG00000019026"
"101","ENSXMAG00000019130"
"102","ENSXMAG00000019195"
"103","ENSXMAG00000019238"
"104","ENSXMAG00000019369"
"105","ENSXMAG00000019383"
"106","ENSXMAG00000019527"
"107","ENSXMAG00000019743"
"108","ENSXMAG00000019766"
"109","ENSXMAG00000019834"
"110","ENSXMAG00000020032"
"111","ENSXMAG00000020178"
"112","ENSXMAG00000020325"
