GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001736	0.0495456217984123	23.3233333333333	0.0506095832151971	1	7	establishment of planar polarity	ENSXMAG00000001874	intu
GO:0003351	0.0495456217984123	23.3233333333333	0.0506095832151971	1	7	epithelial cilium movement involved in extracellular fluid movement	ENSXMAG00000017964	MYO1D
GO:0005996	0.0433389983175669	6.45547309833024	0.332577261128438	2	46	monosaccharide metabolic process	ENSXMAG00000002181,ENSXMAG00000006128	galt,pck2
GO:0006012	0.0215364144236001	70.01	0.0216898213779416	1	3	galactose metabolic process	ENSXMAG00000002181	galt
GO:0006177	0.0215364144236001	70.01	0.0216898213779416	1	3	GMP biosynthetic process	ENSXMAG00000017018	gmps
GO:0006568	0.0356407079093545	34.995	0.0361497022965693	1	5	tryptophan metabolic process	ENSXMAG00000010565	KYNU
GO:0006569	0.0356407079093545	34.995	0.0361497022965693	1	5	tryptophan catabolic process	ENSXMAG00000010565	KYNU
GO:0006586	0.0356407079093545	34.995	0.0361497022965693	1	5	indolalkylamine metabolic process	ENSXMAG00000010565	KYNU
GO:0006611	0.0286136577741032	46.6666666666667	0.0289197618372555	1	4	protein export from nucleus	ENSXMAG00000002870	XPO5
GO:0006613	0.0495456217984123	23.3233333333333	0.0506095832151971	1	7	cotranslational protein targeting to membrane	ENSXMAG00000003399	tram2
GO:0006614	0.0495456217984123	23.3233333333333	0.0506095832151971	1	7	SRP-dependent cotranslational protein targeting to membrane	ENSXMAG00000003399	tram2
GO:0006616	0.0144086265555249	140.04	0.0144598809186277	1	2	SRP-dependent cotranslational protein targeting to membrane, translocation	ENSXMAG00000003399	tram2
GO:0006810	0.000317655635428606	2.94630493871481	9.23986390700312	20	1278	transport	ENSXMAG00000001874,ENSXMAG00000002870,ENSXMAG00000011361,ENSXMAG00000019369,ENSXMAG00000008858,ENSXMAG00000012916,ENSXMAG00000017964,ENSXMAG00000002081,ENSXMAG00000003399,ENSXMAG00000004407,ENSXMAG00000005755,ENSXMAG00000011580,ENSXMAG00000017694,ENSXMAG00000005370,ENSXMAG00000006322,ENSXMAG00000012611,ENSXMAG00000013964,ENSXMAG00000017351,ENSXMAG00000020032,ENSXMAG00000020325	intu,XPO5,lrp8,tmem115,slc13a4,pctp,MYO1D,SLC2A9,tram2,atp2b3b,ATP2A3,stxbp5l,PITPNM2,kcng4a,slc4a4a,gabra1,kcnn1a,syn2b,lrrc8db,htr1aa
GO:0006811	0.020931405334385	2.56846452627956	3.47760136092997	8	481	ion transport	ENSXMAG00000008858,ENSXMAG00000004407,ENSXMAG00000005755,ENSXMAG00000005370,ENSXMAG00000006322,ENSXMAG00000012611,ENSXMAG00000013964,ENSXMAG00000020032	slc13a4,atp2b3b,ATP2A3,kcng4a,slc4a4a,gabra1,kcnn1a,lrrc8db
GO:0006858	0.0495456217984123	23.3233333333333	0.0506095832151971	1	7	extracellular transport	ENSXMAG00000017964	MYO1D
GO:0007164	0.0495456217984123	23.3233333333333	0.0506095832151971	1	7	establishment of tissue polarity	ENSXMAG00000001874	intu
GO:0007252	0.0215364144236001	70.01	0.0216898213779416	1	3	I-kappaB phosphorylation	ENSXMAG00000014602	chuk
GO:0007269	0.0426179137394898	27.992	0.0433796427558832	1	6	neurotransmitter secretion	ENSXMAG00000017351	syn2b
GO:0008345	0.0356407079093545	34.995	0.0361497022965693	1	5	larval locomotory behavior	ENSXMAG00000012611	gabra1
GO:0009123	0.035126172643567	7.28833071690215	0.296427558831868	2	41	nucleoside monophosphate metabolic process	ENSXMAG00000017018,ENSXMAG00000012734	gmps,AMPD3
GO:0009124	0.0261952066240531	8.62090290661719	0.253047916075985	2	35	nucleoside monophosphate biosynthetic process	ENSXMAG00000017018,ENSXMAG00000012734	gmps,AMPD3
GO:0009126	0.0127791767316319	12.9517625231911	0.173518571023533	2	24	purine nucleoside monophosphate metabolic process	ENSXMAG00000017018,ENSXMAG00000012734	gmps,AMPD3
GO:0009127	0.00896059777278411	15.8390022675737	0.144598809186277	2	20	purine nucleoside monophosphate biosynthetic process	ENSXMAG00000017018,ENSXMAG00000012734	gmps,AMPD3
GO:0009156	0.0183719499165852	10.5457294028723	0.209668273320102	2	29	ribonucleoside monophosphate biosynthetic process	ENSXMAG00000017018,ENSXMAG00000012734	gmps,AMPD3
GO:0009161	0.0234590021626126	9.17972350230415	0.238588035157358	2	33	ribonucleoside monophosphate metabolic process	ENSXMAG00000017018,ENSXMAG00000012734	gmps,AMPD3
GO:0009165	0.0398673775222253	4.22855392156863	0.759143748227956	3	105	nucleotide biosynthetic process	ENSXMAG00000017018,ENSXMAG00000012734,ENSXMAG00000010565	gmps,AMPD3,KYNU
GO:0009167	0.0127791767316319	12.9517625231911	0.173518571023533	2	24	purine ribonucleoside monophosphate metabolic process	ENSXMAG00000017018,ENSXMAG00000012734	gmps,AMPD3
GO:0009168	0.00896059777278411	15.8390022675737	0.144598809186277	2	20	purine ribonucleoside monophosphate biosynthetic process	ENSXMAG00000017018,ENSXMAG00000012734	gmps,AMPD3
GO:0009304	0.00722994045931447	Inf	0.00722994045931386	1	1	tRNA transcription	ENSXMAG00000001568	POLR3B
GO:0009310	0.0495456217984123	23.3233333333333	0.0506095832151971	1	7	amine catabolic process	ENSXMAG00000010565	KYNU
GO:0009409	0.0356407079093545	34.995	0.0361497022965693	1	5	response to cold	ENSXMAG00000010946	nrf1
GO:0009914	0.0215364144236001	70.01	0.0216898213779416	1	3	hormone transport	ENSXMAG00000020325	htr1aa
GO:0014823	0.0356407079093545	34.995	0.0361497022965693	1	5	response to activity	ENSXMAG00000010946	nrf1
GO:0018130	0.0395082427097636	2.00138888888889	6.19605897363198	11	857	heterocycle biosynthetic process	ENSXMAG00000006252,ENSXMAG00000012068,ENSXMAG00000003327,ENSXMAG00000010946,ENSXMAG00000017018,ENSXMAG00000001568,ENSXMAG00000002360,ENSXMAG00000012734,ENSXMAG00000016472,ENSXMAG00000019527,ENSXMAG00000010565	e2f7,gabpa,dmrta2,nrf1,gmps,POLR3B,rargb,AMPD3,mitfb,nfil3-6,KYNU
GO:0018198	0.0215364144236001	70.01	0.0216898213779416	1	3	peptidyl-cysteine modification	ENSXMAG00000009092	zdhhc15b
GO:0018230	0.0215364144236001	70.01	0.0216898213779416	1	3	peptidyl-L-cysteine S-palmitoylation	ENSXMAG00000009092	zdhhc15b
GO:0018231	0.0215364144236001	70.01	0.0216898213779416	1	3	peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine	ENSXMAG00000009092	zdhhc15b
GO:0018345	0.0215364144236001	70.01	0.0216898213779416	1	3	protein palmitoylation	ENSXMAG00000009092	zdhhc15b
GO:0019229	0.0356407079093545	34.995	0.0361497022965693	1	5	regulation of vasoconstriction	ENSXMAG00000020325	htr1aa
GO:0019318	0.035126172643567	7.28833071690215	0.296427558831868	2	41	hexose metabolic process	ENSXMAG00000002181,ENSXMAG00000006128	galt,pck2
GO:0019320	0.00722994045931447	Inf	0.00722994045931386	1	1	hexose catabolic process	ENSXMAG00000002181	galt
GO:0019388	0.00722994045931447	Inf	0.00722994045931386	1	1	galactose catabolic process	ENSXMAG00000002181	galt
GO:0019438	0.0380747262311821	2.01492271105826	6.15990927133541	11	852	aromatic compound biosynthetic process	ENSXMAG00000006252,ENSXMAG00000012068,ENSXMAG00000003327,ENSXMAG00000010946,ENSXMAG00000017018,ENSXMAG00000001568,ENSXMAG00000002360,ENSXMAG00000012734,ENSXMAG00000016472,ENSXMAG00000019527,ENSXMAG00000010565	e2f7,gabpa,dmrta2,nrf1,gmps,POLR3B,rargb,AMPD3,mitfb,nfil3-6,KYNU
GO:0019805	0.0215364144236001	70.01	0.0216898213779416	1	3	quinolinate biosynthetic process	ENSXMAG00000010565	KYNU
GO:0019988	0.0144086265555249	140.04	0.0144598809186277	1	2	charged-tRNA amino acid modification	ENSXMAG00000003975	mtfmt
GO:0022617	0.00722994045931447	Inf	0.00722994045931386	1	1	extracellular matrix disassembly	ENSXMAG00000013842	ADAMTS16
GO:0023061	0.00222248514069993	35.6887755102041	0.0722994045931386	2	10	signal release	ENSXMAG00000017351,ENSXMAG00000020325	syn2b,htr1aa
GO:0030001	0.0265959374790183	3.20085066162571	1.69903600793876	5	235	metal ion transport	ENSXMAG00000008858,ENSXMAG00000004407,ENSXMAG00000005755,ENSXMAG00000005370,ENSXMAG00000013964	slc13a4,atp2b3b,ATP2A3,kcng4a,kcnn1a
GO:0030537	0.0356407079093545	34.995	0.0361497022965693	1	5	larval behavior	ENSXMAG00000012611	gabra1
GO:0031016	0.0485770481460102	6.04081632653061	0.354267082506379	2	49	pancreas development	ENSXMAG00000017964,ENSXMAG00000001568	MYO1D,POLR3B
GO:0032264	0.0495456217984123	23.3233333333333	0.0506095832151971	1	7	IMP salvage	ENSXMAG00000012734	AMPD3
GO:0032940	0.00461548032531831	9.88494318181818	0.339807201587752	3	47	secretion by cell	ENSXMAG00000011580,ENSXMAG00000017351,ENSXMAG00000020325	stxbp5l,syn2b,htr1aa
GO:0033499	0.00722994045931447	Inf	0.00722994045931386	1	1	galactose catabolic process via UDP-galactose	ENSXMAG00000002181	galt
GO:0034220	0.0227582448193454	2.70495442860481	2.86305642188829	7	396	ion transmembrane transport	ENSXMAG00000008858,ENSXMAG00000004407,ENSXMAG00000005755,ENSXMAG00000005370,ENSXMAG00000006322,ENSXMAG00000012611,ENSXMAG00000013964	slc13a4,atp2b3b,ATP2A3,kcng4a,slc4a4a,gabra1,kcnn1a
GO:0034354	0.0215364144236001	70.01	0.0216898213779416	1	3	'de novo' NAD biosynthetic process from tryptophan	ENSXMAG00000010565	KYNU
GO:0034627	0.0215364144236001	70.01	0.0216898213779416	1	3	'de novo' NAD biosynthetic process	ENSXMAG00000010565	KYNU
GO:0034654	0.0300102853476749	2.10256172839506	5.93578111709668	11	821	nucleobase-containing compound biosynthetic process	ENSXMAG00000006252,ENSXMAG00000012068,ENSXMAG00000003327,ENSXMAG00000010946,ENSXMAG00000017018,ENSXMAG00000001568,ENSXMAG00000002360,ENSXMAG00000012734,ENSXMAG00000016472,ENSXMAG00000019527,ENSXMAG00000010565	e2f7,gabpa,dmrta2,nrf1,gmps,POLR3B,rargb,AMPD3,mitfb,nfil3-6,KYNU
GO:0034769	0.00722994045931447	Inf	0.00722994045931386	1	1	basement membrane disassembly	ENSXMAG00000013842	ADAMTS16
GO:0035469	0.0356407079093545	34.995	0.0361497022965693	1	5	determination of pancreatic left/right asymmetry	ENSXMAG00000017964	MYO1D
GO:0042182	0.0356407079093545	34.995	0.0361497022965693	1	5	ketone catabolic process	ENSXMAG00000010565	KYNU
GO:0042402	0.0495456217984123	23.3233333333333	0.0506095832151971	1	7	cellular biogenic amine catabolic process	ENSXMAG00000010565	KYNU
GO:0042436	0.0356407079093545	34.995	0.0361497022965693	1	5	indole-containing compound catabolic process	ENSXMAG00000010565	KYNU
GO:0042537	0.0426179137394898	27.992	0.0433796427558832	1	6	benzene-containing compound metabolic process	ENSXMAG00000010565	KYNU
GO:0043420	0.0144086265555249	140.04	0.0144598809186277	1	2	anthranilate metabolic process	ENSXMAG00000010565	KYNU
GO:0043650	0.0215364144236001	70.01	0.0216898213779416	1	3	dicarboxylic acid biosynthetic process	ENSXMAG00000010565	KYNU
GO:0044271	0.0181882821093651	2.1073474975914	7.80833569605897	14	1080	cellular nitrogen compound biosynthetic process	ENSXMAG00000006252,ENSXMAG00000012068,ENSXMAG00000003327,ENSXMAG00000003975,ENSXMAG00000007652,ENSXMAG00000010946,ENSXMAG00000017018,ENSXMAG00000001568,ENSXMAG00000002360,ENSXMAG00000012048,ENSXMAG00000012734,ENSXMAG00000016472,ENSXMAG00000019527,ENSXMAG00000010565	e2f7,gabpa,dmrta2,mtfmt,cpeb3,nrf1,gmps,POLR3B,rargb,EEF1A1,AMPD3,mitfb,nfil3-6,KYNU
GO:0045234	0.00722994045931447	Inf	0.00722994045931386	1	1	protein palmitoleylation	ENSXMAG00000009092	zdhhc15b
GO:0046037	0.0286136577741032	46.6666666666667	0.0289197618372555	1	4	GMP metabolic process	ENSXMAG00000017018	gmps
GO:0046218	0.0356407079093545	34.995	0.0361497022965693	1	5	indolalkylamine catabolic process	ENSXMAG00000010565	KYNU
GO:0046365	0.0144086265555249	140.04	0.0144598809186277	1	2	monosaccharide catabolic process	ENSXMAG00000002181	galt
GO:0046874	0.0215364144236001	70.01	0.0216898213779416	1	3	quinolinate metabolic process	ENSXMAG00000010565	KYNU
GO:0046879	0.0215364144236001	70.01	0.0216898213779416	1	3	hormone secretion	ENSXMAG00000020325	htr1aa
GO:0046883	0.0144086265555249	140.04	0.0144598809186277	1	2	regulation of hormone secretion	ENSXMAG00000020325	htr1aa
GO:0046903	0.00646859762333212	8.69125	0.383186844343635	3	53	secretion	ENSXMAG00000011580,ENSXMAG00000017351,ENSXMAG00000020325	stxbp5l,syn2b,htr1aa
GO:0048384	0.0426179137394898	27.992	0.0433796427558832	1	6	retinoic acid receptor signaling pathway	ENSXMAG00000002360	rargb
GO:0051046	0.0495456217984123	23.3233333333333	0.0506095832151971	1	7	regulation of secretion	ENSXMAG00000020325	htr1aa
GO:0051179	0.00160275965076629	2.52986647926915	10.4328040827899	20	1443	localization	ENSXMAG00000001874,ENSXMAG00000002870,ENSXMAG00000011361,ENSXMAG00000019369,ENSXMAG00000008858,ENSXMAG00000012916,ENSXMAG00000017964,ENSXMAG00000002081,ENSXMAG00000003399,ENSXMAG00000004407,ENSXMAG00000005755,ENSXMAG00000011580,ENSXMAG00000017694,ENSXMAG00000005370,ENSXMAG00000006322,ENSXMAG00000012611,ENSXMAG00000013964,ENSXMAG00000017351,ENSXMAG00000020032,ENSXMAG00000020325	intu,XPO5,lrp8,tmem115,slc13a4,pctp,MYO1D,SLC2A9,tram2,atp2b3b,ATP2A3,stxbp5l,PITPNM2,kcng4a,slc4a4a,gabra1,kcnn1a,syn2b,lrrc8db,htr1aa
GO:0051234	0.000373017241605504	2.90398601221397	9.34831301389283	20	1293	establishment of localization	ENSXMAG00000001874,ENSXMAG00000002870,ENSXMAG00000011361,ENSXMAG00000019369,ENSXMAG00000008858,ENSXMAG00000012916,ENSXMAG00000017964,ENSXMAG00000002081,ENSXMAG00000003399,ENSXMAG00000004407,ENSXMAG00000005755,ENSXMAG00000011580,ENSXMAG00000017694,ENSXMAG00000005370,ENSXMAG00000006322,ENSXMAG00000012611,ENSXMAG00000013964,ENSXMAG00000017351,ENSXMAG00000020032,ENSXMAG00000020325	intu,XPO5,lrp8,tmem115,slc13a4,pctp,MYO1D,SLC2A9,tram2,atp2b3b,ATP2A3,stxbp5l,PITPNM2,kcng4a,slc4a4a,gabra1,kcnn1a,syn2b,lrrc8db,htr1aa
GO:0051259	0.0450600435616668	6.31111111111111	0.339807201587752	2	47	protein complex oligomerization	ENSXMAG00000005370,ENSXMAG00000012611	kcng4a,gabra1
GO:0051291	0.0144086265555249	140.04	0.0144598809186277	1	2	protein heterooligomerization	ENSXMAG00000012611	gabra1
GO:0055085	0.0245433657766784	2.25690104631647	5.01034873830451	10	693	transmembrane transport	ENSXMAG00000008858,ENSXMAG00000002081,ENSXMAG00000003399,ENSXMAG00000004407,ENSXMAG00000005755,ENSXMAG00000005370,ENSXMAG00000006322,ENSXMAG00000012611,ENSXMAG00000013964,ENSXMAG00000020032	slc13a4,SLC2A9,tram2,atp2b3b,ATP2A3,kcng4a,slc4a4a,gabra1,kcnn1a,lrrc8db
GO:0060287	0.0356407079093545	34.995	0.0361497022965693	1	5	epithelial cilium movement involved in determination of left/right asymmetry	ENSXMAG00000017964	MYO1D
GO:0061966	0.0144086265555249	140.04	0.0144598809186277	1	2	establishment of left/right asymmetry	ENSXMAG00000017964	MYO1D
GO:0070189	0.0356407079093545	34.995	0.0361497022965693	1	5	kynurenine metabolic process	ENSXMAG00000010565	KYNU
GO:0070206	0.0215364144236001	70.01	0.0216898213779416	1	3	protein trimerization	ENSXMAG00000012611	gabra1
GO:0070208	0.0144086265555249	140.04	0.0144598809186277	1	2	protein heterotrimerization	ENSXMAG00000012611	gabra1
GO:0070417	0.0144086265555249	140.04	0.0144598809186277	1	2	cellular response to cold	ENSXMAG00000010946	nrf1
GO:0071542	0.0215364144236001	70.01	0.0216898213779416	1	3	dopaminergic neuron differentiation	ENSXMAG00000009092	zdhhc15b
GO:0071711	0.0356407079093545	34.995	0.0361497022965693	1	5	basement membrane organization	ENSXMAG00000013842	ADAMTS16
GO:0071951	0.00722994045931447	Inf	0.00722994045931386	1	1	conversion of methionyl-tRNA to N-formyl-methionyl-tRNA	ENSXMAG00000003975	mtfmt
GO:0097052	0.0144086265555249	140.04	0.0144598809186277	1	2	L-kynurenine metabolic process	ENSXMAG00000010565	KYNU
GO:0097053	0.0144086265555249	140.04	0.0144598809186277	1	2	L-kynurenine catabolic process	ENSXMAG00000010565	KYNU
GO:0098655	0.0409276794948581	2.83028369984892	1.90870428125886	5	264	cation transmembrane transport	ENSXMAG00000008858,ENSXMAG00000004407,ENSXMAG00000005755,ENSXMAG00000005370,ENSXMAG00000013964	slc13a4,atp2b3b,ATP2A3,kcng4a,kcnn1a
GO:0098660	0.0158769104437556	3.22541966426859	2.05330309044514	6	284	inorganic ion transmembrane transport	ENSXMAG00000008858,ENSXMAG00000004407,ENSXMAG00000005755,ENSXMAG00000005370,ENSXMAG00000012611,ENSXMAG00000013964	slc13a4,atp2b3b,ATP2A3,kcng4a,gabra1,kcnn1a
GO:0098662	0.0233137182510703	3.32011359185272	1.64119648426425	5	227	inorganic cation transmembrane transport	ENSXMAG00000008858,ENSXMAG00000004407,ENSXMAG00000005755,ENSXMAG00000005370,ENSXMAG00000013964	slc13a4,atp2b3b,ATP2A3,kcng4a,kcnn1a
GO:0098781	0.0426179137394898	27.992	0.0433796427558832	1	6	ncRNA transcription	ENSXMAG00000001568	POLR3B
GO:0099643	0.0426179137394898	27.992	0.0433796427558832	1	6	signal release from synapse	ENSXMAG00000017351	syn2b
GO:0140352	0.00580885743664389	9.05598958333333	0.368726963425007	3	51	export from cell	ENSXMAG00000011580,ENSXMAG00000017351,ENSXMAG00000020325	stxbp5l,syn2b,htr1aa
GO:1901293	0.0457849629196561	3.99016203703704	0.802523390983839	3	111	nucleoside phosphate biosynthetic process	ENSXMAG00000017018,ENSXMAG00000012734,ENSXMAG00000010565	gmps,AMPD3,KYNU
GO:1901362	0.0472580847982808	1.93605051664753	6.37680748511483	11	882	organic cyclic compound biosynthetic process	ENSXMAG00000006252,ENSXMAG00000012068,ENSXMAG00000003327,ENSXMAG00000010946,ENSXMAG00000017018,ENSXMAG00000001568,ENSXMAG00000002360,ENSXMAG00000012734,ENSXMAG00000016472,ENSXMAG00000019527,ENSXMAG00000010565	e2f7,gabpa,dmrta2,nrf1,gmps,POLR3B,rargb,AMPD3,mitfb,nfil3-6,KYNU
GO:1901576	0.0461890055089274	1.77067302912814	10.505103487383	16	1453	organic substance biosynthetic process	ENSXMAG00000006252,ENSXMAG00000012068,ENSXMAG00000003327,ENSXMAG00000003975,ENSXMAG00000007652,ENSXMAG00000009092,ENSXMAG00000010946,ENSXMAG00000017018,ENSXMAG00000001568,ENSXMAG00000002360,ENSXMAG00000012048,ENSXMAG00000012734,ENSXMAG00000016472,ENSXMAG00000019527,ENSXMAG00000006128,ENSXMAG00000010565	e2f7,gabpa,dmrta2,mtfmt,cpeb3,zdhhc15b,nrf1,gmps,POLR3B,rargb,EEF1A1,AMPD3,mitfb,nfil3-6,pck2,KYNU
GO:1903530	0.0495456217984123	23.3233333333333	0.0506095832151971	1	7	regulation of secretion by cell	ENSXMAG00000020325	htr1aa
