"","x"
"1","ENSXMAG00000000006"
"2","ENSXMAG00000000019"
"3","ENSXMAG00000000031"
"4","ENSXMAG00000000041"
"5","ENSXMAG00000000063"
"6","ENSXMAG00000000121"
"7","ENSXMAG00000000128"
"8","ENSXMAG00000000143"
"9","ENSXMAG00000000146"
"10","ENSXMAG00000000152"
"11","ENSXMAG00000000154"
"12","ENSXMAG00000000156"
"13","ENSXMAG00000000164"
"14","ENSXMAG00000000188"
"15","ENSXMAG00000000218"
"16","ENSXMAG00000000260"
"17","ENSXMAG00000000315"
"18","ENSXMAG00000000317"
"19","ENSXMAG00000000319"
"20","ENSXMAG00000000342"
"21","ENSXMAG00000000346"
"22","ENSXMAG00000000364"
"23","ENSXMAG00000000369"
"24","ENSXMAG00000000395"
"25","ENSXMAG00000000412"
"26","ENSXMAG00000000463"
"27","ENSXMAG00000000466"
"28","ENSXMAG00000000474"
"29","ENSXMAG00000000477"
"30","ENSXMAG00000000480"
"31","ENSXMAG00000000483"
"32","ENSXMAG00000000497"
"33","ENSXMAG00000000518"
"34","ENSXMAG00000000550"
"35","ENSXMAG00000000564"
"36","ENSXMAG00000000568"
"37","ENSXMAG00000000640"
"38","ENSXMAG00000000647"
"39","ENSXMAG00000000661"
"40","ENSXMAG00000000685"
"41","ENSXMAG00000000703"
"42","ENSXMAG00000000730"
"43","ENSXMAG00000000735"
"44","ENSXMAG00000000758"
"45","ENSXMAG00000000760"
"46","ENSXMAG00000000769"
"47","ENSXMAG00000000806"
"48","ENSXMAG00000000811"
"49","ENSXMAG00000000829"
"50","ENSXMAG00000000848"
"51","ENSXMAG00000000874"
"52","ENSXMAG00000000911"
"53","ENSXMAG00000000927"
"54","ENSXMAG00000000938"
"55","ENSXMAG00000000980"
"56","ENSXMAG00000001023"
"57","ENSXMAG00000001025"
"58","ENSXMAG00000001072"
"59","ENSXMAG00000001099"
"60","ENSXMAG00000001151"
"61","ENSXMAG00000001155"
"62","ENSXMAG00000001189"
"63","ENSXMAG00000001244"
"64","ENSXMAG00000001293"
"65","ENSXMAG00000001304"
"66","ENSXMAG00000001315"
"67","ENSXMAG00000001326"
"68","ENSXMAG00000001340"
"69","ENSXMAG00000001344"
"70","ENSXMAG00000001426"
"71","ENSXMAG00000001446"
"72","ENSXMAG00000001465"
"73","ENSXMAG00000001483"
"74","ENSXMAG00000001545"
"75","ENSXMAG00000001565"
"76","ENSXMAG00000001572"
"77","ENSXMAG00000001579"
"78","ENSXMAG00000001627"
"79","ENSXMAG00000001642"
"80","ENSXMAG00000001657"
"81","ENSXMAG00000001674"
"82","ENSXMAG00000001682"
"83","ENSXMAG00000001684"
"84","ENSXMAG00000001717"
"85","ENSXMAG00000001737"
"86","ENSXMAG00000001761"
"87","ENSXMAG00000001794"
"88","ENSXMAG00000001798"
"89","ENSXMAG00000001800"
"90","ENSXMAG00000001832"
"91","ENSXMAG00000001833"
"92","ENSXMAG00000001849"
"93","ENSXMAG00000001859"
"94","ENSXMAG00000001885"
"95","ENSXMAG00000001893"
"96","ENSXMAG00000001906"
"97","ENSXMAG00000001909"
"98","ENSXMAG00000001921"
"99","ENSXMAG00000001981"
"100","ENSXMAG00000001993"
"101","ENSXMAG00000002003"
"102","ENSXMAG00000002027"
"103","ENSXMAG00000002037"
"104","ENSXMAG00000002049"
"105","ENSXMAG00000002118"
"106","ENSXMAG00000002121"
"107","ENSXMAG00000002165"
"108","ENSXMAG00000002168"
"109","ENSXMAG00000002173"
"110","ENSXMAG00000002184"
"111","ENSXMAG00000002288"
"112","ENSXMAG00000002296"
"113","ENSXMAG00000002313"
"114","ENSXMAG00000002315"
"115","ENSXMAG00000002325"
"116","ENSXMAG00000002330"
"117","ENSXMAG00000002374"
"118","ENSXMAG00000002412"
"119","ENSXMAG00000002414"
"120","ENSXMAG00000002416"
"121","ENSXMAG00000002419"
"122","ENSXMAG00000002434"
"123","ENSXMAG00000002464"
"124","ENSXMAG00000002483"
"125","ENSXMAG00000002484"
"126","ENSXMAG00000002516"
"127","ENSXMAG00000002521"
"128","ENSXMAG00000002597"
"129","ENSXMAG00000002625"
"130","ENSXMAG00000002626"
"131","ENSXMAG00000002634"
"132","ENSXMAG00000002636"
"133","ENSXMAG00000002665"
"134","ENSXMAG00000002668"
"135","ENSXMAG00000002723"
"136","ENSXMAG00000002763"
"137","ENSXMAG00000002776"
"138","ENSXMAG00000002807"
"139","ENSXMAG00000002865"
"140","ENSXMAG00000002868"
"141","ENSXMAG00000002885"
"142","ENSXMAG00000002889"
"143","ENSXMAG00000002932"
"144","ENSXMAG00000002976"
"145","ENSXMAG00000003009"
"146","ENSXMAG00000003025"
"147","ENSXMAG00000003060"
"148","ENSXMAG00000003145"
"149","ENSXMAG00000003149"
"150","ENSXMAG00000003155"
"151","ENSXMAG00000003157"
"152","ENSXMAG00000003158"
"153","ENSXMAG00000003160"
"154","ENSXMAG00000003183"
"155","ENSXMAG00000003186"
"156","ENSXMAG00000003191"
"157","ENSXMAG00000003234"
"158","ENSXMAG00000003239"
"159","ENSXMAG00000003241"
"160","ENSXMAG00000003248"
"161","ENSXMAG00000003261"
"162","ENSXMAG00000003262"
"163","ENSXMAG00000003272"
"164","ENSXMAG00000003322"
"165","ENSXMAG00000003385"
"166","ENSXMAG00000003391"
"167","ENSXMAG00000003407"
"168","ENSXMAG00000003424"
"169","ENSXMAG00000003425"
"170","ENSXMAG00000003445"
"171","ENSXMAG00000003453"
"172","ENSXMAG00000003461"
"173","ENSXMAG00000003503"
"174","ENSXMAG00000003523"
"175","ENSXMAG00000003579"
"176","ENSXMAG00000003582"
"177","ENSXMAG00000003598"
"178","ENSXMAG00000003607"
"179","ENSXMAG00000003619"
"180","ENSXMAG00000003631"
"181","ENSXMAG00000003657"
"182","ENSXMAG00000003676"
"183","ENSXMAG00000003681"
"184","ENSXMAG00000003683"
"185","ENSXMAG00000003694"
"186","ENSXMAG00000003721"
"187","ENSXMAG00000003727"
"188","ENSXMAG00000003733"
"189","ENSXMAG00000003738"
"190","ENSXMAG00000003760"
"191","ENSXMAG00000003768"
"192","ENSXMAG00000003821"
"193","ENSXMAG00000003844"
"194","ENSXMAG00000003852"
"195","ENSXMAG00000003863"
"196","ENSXMAG00000003921"
"197","ENSXMAG00000003922"
"198","ENSXMAG00000003927"
"199","ENSXMAG00000003938"
"200","ENSXMAG00000003951"
"201","ENSXMAG00000003952"
"202","ENSXMAG00000003956"
"203","ENSXMAG00000003965"
"204","ENSXMAG00000004020"
"205","ENSXMAG00000004028"
"206","ENSXMAG00000004041"
"207","ENSXMAG00000004056"
"208","ENSXMAG00000004065"
"209","ENSXMAG00000004066"
"210","ENSXMAG00000004070"
"211","ENSXMAG00000004125"
"212","ENSXMAG00000004131"
"213","ENSXMAG00000004181"
"214","ENSXMAG00000004247"
"215","ENSXMAG00000004287"
"216","ENSXMAG00000004290"
"217","ENSXMAG00000004300"
"218","ENSXMAG00000004303"
"219","ENSXMAG00000004308"
"220","ENSXMAG00000004309"
"221","ENSXMAG00000004335"
"222","ENSXMAG00000004358"
"223","ENSXMAG00000004367"
"224","ENSXMAG00000004397"
"225","ENSXMAG00000004463"
"226","ENSXMAG00000004465"
"227","ENSXMAG00000004477"
"228","ENSXMAG00000004484"
"229","ENSXMAG00000004488"
"230","ENSXMAG00000004502"
"231","ENSXMAG00000004526"
"232","ENSXMAG00000004532"
"233","ENSXMAG00000004540"
"234","ENSXMAG00000004558"
"235","ENSXMAG00000004563"
"236","ENSXMAG00000004575"
"237","ENSXMAG00000004586"
"238","ENSXMAG00000004592"
"239","ENSXMAG00000004645"
"240","ENSXMAG00000004674"
"241","ENSXMAG00000004682"
"242","ENSXMAG00000004704"
"243","ENSXMAG00000004726"
"244","ENSXMAG00000004732"
"245","ENSXMAG00000004747"
"246","ENSXMAG00000004751"
"247","ENSXMAG00000004776"
"248","ENSXMAG00000004785"
"249","ENSXMAG00000004845"
"250","ENSXMAG00000004850"
"251","ENSXMAG00000004857"
"252","ENSXMAG00000004865"
"253","ENSXMAG00000004877"
"254","ENSXMAG00000004888"
"255","ENSXMAG00000004916"
"256","ENSXMAG00000004923"
"257","ENSXMAG00000004925"
"258","ENSXMAG00000004928"
"259","ENSXMAG00000004929"
"260","ENSXMAG00000004953"
"261","ENSXMAG00000004957"
"262","ENSXMAG00000004958"
"263","ENSXMAG00000005001"
"264","ENSXMAG00000005008"
"265","ENSXMAG00000005016"
"266","ENSXMAG00000005035"
"267","ENSXMAG00000005066"
"268","ENSXMAG00000005120"
"269","ENSXMAG00000005154"
"270","ENSXMAG00000005189"
"271","ENSXMAG00000005210"
"272","ENSXMAG00000005223"
"273","ENSXMAG00000005271"
"274","ENSXMAG00000005275"
"275","ENSXMAG00000005281"
"276","ENSXMAG00000005299"
"277","ENSXMAG00000005313"
"278","ENSXMAG00000005331"
"279","ENSXMAG00000005344"
"280","ENSXMAG00000005379"
"281","ENSXMAG00000005389"
"282","ENSXMAG00000005465"
"283","ENSXMAG00000005472"
"284","ENSXMAG00000005477"
"285","ENSXMAG00000005504"
"286","ENSXMAG00000005536"
"287","ENSXMAG00000005564"
"288","ENSXMAG00000005608"
"289","ENSXMAG00000005619"
"290","ENSXMAG00000005631"
"291","ENSXMAG00000005645"
"292","ENSXMAG00000005651"
"293","ENSXMAG00000005662"
"294","ENSXMAG00000005702"
"295","ENSXMAG00000005727"
"296","ENSXMAG00000005758"
"297","ENSXMAG00000005815"
"298","ENSXMAG00000005823"
"299","ENSXMAG00000005846"
"300","ENSXMAG00000005876"
"301","ENSXMAG00000005881"
"302","ENSXMAG00000005891"
"303","ENSXMAG00000005900"
"304","ENSXMAG00000005922"
"305","ENSXMAG00000005924"
"306","ENSXMAG00000005943"
"307","ENSXMAG00000005969"
"308","ENSXMAG00000006028"
"309","ENSXMAG00000006061"
"310","ENSXMAG00000006094"
"311","ENSXMAG00000006122"
"312","ENSXMAG00000006124"
"313","ENSXMAG00000006149"
"314","ENSXMAG00000006152"
"315","ENSXMAG00000006185"
"316","ENSXMAG00000006187"
"317","ENSXMAG00000006223"
"318","ENSXMAG00000006241"
"319","ENSXMAG00000006243"
"320","ENSXMAG00000006244"
"321","ENSXMAG00000006282"
"322","ENSXMAG00000006290"
"323","ENSXMAG00000006393"
"324","ENSXMAG00000006415"
"325","ENSXMAG00000006422"
"326","ENSXMAG00000006434"
"327","ENSXMAG00000006444"
"328","ENSXMAG00000006505"
"329","ENSXMAG00000006535"
"330","ENSXMAG00000006539"
"331","ENSXMAG00000006555"
"332","ENSXMAG00000006563"
"333","ENSXMAG00000006569"
"334","ENSXMAG00000006745"
"335","ENSXMAG00000006771"
"336","ENSXMAG00000006802"
"337","ENSXMAG00000006804"
"338","ENSXMAG00000006817"
"339","ENSXMAG00000006822"
"340","ENSXMAG00000006829"
"341","ENSXMAG00000006830"
"342","ENSXMAG00000006867"
"343","ENSXMAG00000006875"
"344","ENSXMAG00000006912"
"345","ENSXMAG00000006993"
"346","ENSXMAG00000006995"
"347","ENSXMAG00000007004"
"348","ENSXMAG00000007049"
"349","ENSXMAG00000007052"
