GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000045	0.0238102703620918	12.3508771929825	0.257300822228523	2	5	autophagosome assembly	ENSXMAG00000000829,ENSXMAG00000018959	atg16l1,RB1CC1
GO:0000226	0.0084172769329801	2.80974576271186	3.55075134675362	9	69	microtubule cytoskeleton organization	ENSXMAG00000005016,ENSXMAG00000012246,ENSXMAG00000014666,ENSXMAG00000018240,ENSXMAG00000004925,ENSXMAG00000012352,ENSXMAG00000006505,ENSXMAG00000019831,ENSXMAG00000016055	cep41,katna1,tubgcp2,tubgcp4,cep20,stk36,tppp2,fignl1,tubgcp5
GO:0000724	0.0163713065149952	6.96145833333333	0.56606180890275	3	11	double-strand break repair via homologous recombination	ENSXMAG00000009873,ENSXMAG00000009134,ENSXMAG00000004070	mus81,rad52,mms22l
GO:0000725	0.0163713065149952	6.96145833333333	0.56606180890275	3	11	recombinational repair	ENSXMAG00000009873,ENSXMAG00000009134,ENSXMAG00000004070	mus81,rad52,mms22l
GO:0001558	0.00129907800058462	7.77351024208566	0.874822795576978	5	17	regulation of cell growth	ENSXMAG00000013953,ENSXMAG00000019332,ENSXMAG00000003721,ENSXMAG00000015981,ENSXMAG00000001627	casp3a,stk11,ncaldb,slit3,chrna1
GO:0001578	0.034512415167388	9.2617728531856	0.308760986674227	2	6	microtubule bundle formation	ENSXMAG00000005016,ENSXMAG00000012352	cep41,stk36
GO:0001666	0.04595120618953	4.28076923076923	0.823362631131273	3	16	response to hypoxia	ENSXMAG00000003186,ENSXMAG00000013448,ENSXMAG00000016717	hif1al,hif1ab,sdcbp2
GO:0001667	0.0226391202661154	2.49051643192488	3.49929118230791	8	68	ameboidal-type cell migration	ENSXMAG00000004563,ENSXMAG00000005016,ENSXMAG00000008972,ENSXMAG00000013448,ENSXMAG00000015281,ENSXMAG00000009011,ENSXMAG00000007723,ENSXMAG00000011998	rcc2,cep41,stat3,hif1ab,snai1b,has2,polr1b,igsf11
GO:0003007	0.0354557040518365	2.26205719163466	3.80805216898214	8	74	heart morphogenesis	ENSXMAG00000000640,ENSXMAG00000013439,ENSXMAG00000015281,ENSXMAG00000019143,ENSXMAG00000009011,ENSXMAG00000014039,ENSXMAG00000016338,ENSXMAG00000004704	klf2b,fhl1a,snai1b,lmo7b,has2,furina,nkd1,tbx20
GO:0003146	0.0262921218661316	5.5675	0.668982137794159	3	13	heart jogging	ENSXMAG00000009011,ENSXMAG00000014039,ENSXMAG00000016338	has2,furina,nkd1
GO:0003159	0.0238102703620918	12.3508771929825	0.257300822228523	2	5	morphogenesis of an endothelium	ENSXMAG00000018525,ENSXMAG00000000412	msna,marcksl1b
GO:0003206	0.0466971896815224	7.40831024930748	0.360221151119932	2	7	cardiac chamber morphogenesis	ENSXMAG00000000640,ENSXMAG00000013439	klf2b,fhl1a
GO:0003208	0.00765326835618874	37.0637119113573	0.154380493337114	2	3	cardiac ventricle morphogenesis	ENSXMAG00000000640,ENSXMAG00000013439	klf2b,fhl1a
GO:0003231	0.0466971896815224	7.40831024930748	0.360221151119932	2	7	cardiac ventricle development	ENSXMAG00000000640,ENSXMAG00000013439	klf2b,fhl1a
GO:0006040	0.0466971896815224	7.40831024930748	0.360221151119932	2	7	amino sugar metabolic process	ENSXMAG00000009192,ENSXMAG00000002634	gnpda1,chia.3
GO:0006360	0.0466971896815224	7.40831024930748	0.360221151119932	2	7	transcription by RNA polymerase I	ENSXMAG00000010106,ENSXMAG00000007723	RRN3,polr1b
GO:0006836	0.00962239136913804	5.72359117205914	0.874822795576978	4	17	neurotransmitter transport	ENSXMAG00000012109,ENSXMAG00000017454,ENSXMAG00000018280,ENSXMAG00000003738	slc6a4a,slc6a1b,lin7c,slc18a2
GO:0006837	0.00765326835618874	37.0637119113573	0.154380493337114	2	3	serotonin transport	ENSXMAG00000012109,ENSXMAG00000003738	slc6a4a,slc18a2
GO:0006996	0.0259075214317199	1.42691322712609	31.0819393252056	42	604	organelle organization	ENSXMAG00000000829,ENSXMAG00000001151,ENSXMAG00000002168,ENSXMAG00000002885,ENSXMAG00000003391,ENSXMAG00000005016,ENSXMAG00000006094,ENSXMAG00000007568,ENSXMAG00000007688,ENSXMAG00000008116,ENSXMAG00000008990,ENSXMAG00000010093,ENSXMAG00000011828,ENSXMAG00000012106,ENSXMAG00000012246,ENSXMAG00000014666,ENSXMAG00000016334,ENSXMAG00000018240,ENSXMAG00000004674,ENSXMAG00000004925,ENSXMAG00000005876,ENSXMAG00000006444,ENSXMAG00000009353,ENSXMAG00000010702,ENSXMAG00000010982,ENSXMAG00000012352,ENSXMAG00000018959,ENSXMAG00000003922,ENSXMAG00000006243,ENSXMAG00000006505,ENSXMAG00000009115,ENSXMAG00000011463,ENSXMAG00000014070,ENSXMAG00000015575,ENSXMAG00000017277,ENSXMAG00000018505,ENSXMAG00000019831,ENSXMAG00000004070,ENSXMAG00000004526,ENSXMAG00000005891,ENSXMAG00000007004,ENSXMAG00000016055	atg16l1,mief1,tmod2,wasf2,cap2,cep41,TMOD1,tln1,si:dkey-98f17.5,nsd2,KDM3B,arpc4,apoob,SSH2,katna1,tubgcp2,mcm7,tubgcp4,RBL2,cep20,ARMC9,mapk1,VILL,fis1,spdl1,stk36,RB1CC1,ercc2,mad2l1bp,tppp2,dnmt3bb.1,KDM5B,mad1l1,SMARCAL1,TEKT3,fitm1l,fignl1,mms22l,pex7,hspd1,EPB41L2,tubgcp5
GO:0007005	0.0265734627396508	2.86662357250593	2.31570740005671	6	45	mitochondrion organization	ENSXMAG00000001151,ENSXMAG00000007688,ENSXMAG00000011828,ENSXMAG00000010702,ENSXMAG00000018959,ENSXMAG00000005891	mief1,si:dkey-98f17.5,apoob,fis1,RB1CC1,hspd1
GO:0007010	0.00698484440020411	1.98654117949377	10.2920328891409	19	200	cytoskeleton organization	ENSXMAG00000002168,ENSXMAG00000002885,ENSXMAG00000003391,ENSXMAG00000005016,ENSXMAG00000006094,ENSXMAG00000007568,ENSXMAG00000010093,ENSXMAG00000012106,ENSXMAG00000012246,ENSXMAG00000014666,ENSXMAG00000018240,ENSXMAG00000004925,ENSXMAG00000009353,ENSXMAG00000012352,ENSXMAG00000006505,ENSXMAG00000019831,ENSXMAG00000005891,ENSXMAG00000007004,ENSXMAG00000016055	tmod2,wasf2,cap2,cep41,TMOD1,tln1,arpc4,SSH2,katna1,tubgcp2,tubgcp4,cep20,VILL,stk36,tppp2,fignl1,hspd1,EPB41L2,tubgcp5
GO:0007017	0.0390187260893592	1.81750533049041	7.56464417351857	13	147	microtubule-based process	ENSXMAG00000003272,ENSXMAG00000005016,ENSXMAG00000012246,ENSXMAG00000014666,ENSXMAG00000018240,ENSXMAG00000019032,ENSXMAG00000004925,ENSXMAG00000012352,ENSXMAG00000006505,ENSXMAG00000017277,ENSXMAG00000019831,ENSXMAG00000014566,ENSXMAG00000016055	afg1lb,cep41,katna1,tubgcp2,tubgcp4,DYNC1I2,cep20,stk36,tppp2,TEKT3,fignl1,KIFC3,tubgcp5
GO:0007020	0.00125063557365495	27.8708333333333	0.257300822228523	3	5	microtubule nucleation	ENSXMAG00000014666,ENSXMAG00000018240,ENSXMAG00000016055	tubgcp2,tubgcp4,tubgcp5
GO:0007088	0.0147864164467171	18.5290858725762	0.205840657782818	2	4	regulation of mitotic nuclear division	ENSXMAG00000010982,ENSXMAG00000014070	spdl1,mad1l1
GO:0007091	0.0147864164467171	18.5290858725762	0.205840657782818	2	4	metaphase/anaphase transition of mitotic cell cycle	ENSXMAG00000010982,ENSXMAG00000014070	spdl1,mad1l1
GO:0007094	0.00765326835618874	37.0637119113573	0.154380493337114	2	3	mitotic spindle assembly checkpoint signaling	ENSXMAG00000010982,ENSXMAG00000014070	spdl1,mad1l1
GO:0007163	0.0173451796243976	4.6483286908078	1.02920328891409	4	20	establishment or maintenance of cell polarity	ENSXMAG00000008972,ENSXMAG00000019332,ENSXMAG00000018280,ENSXMAG00000013465	stat3,stk11,lin7c,KCNG4
GO:0007271	0.034512415167388	9.2617728531856	0.308760986674227	2	6	synaptic transmission, cholinergic	ENSXMAG00000000031,ENSXMAG00000001627	CHRNB4,chrna1
GO:0008045	0.0210101196741876	6.18703703703704	0.617521973348455	3	12	motor neuron axon guidance	ENSXMAG00000008972,ENSXMAG00000013448,ENSXMAG00000001627	stat3,hif1ab,chrna1
GO:0008064	0.0480145151359505	2.73455471574104	2.00694641338248	5	39	regulation of actin polymerization or depolymerization	ENSXMAG00000002168,ENSXMAG00000006094,ENSXMAG00000010093,ENSXMAG00000012106,ENSXMAG00000009353	tmod2,TMOD1,arpc4,SSH2,VILL
GO:0008078	0.0466971896815224	7.40831024930748	0.360221151119932	2	7	mesodermal cell migration	ENSXMAG00000015281,ENSXMAG00000009011	snai1b,has2
GO:0008356	0.00765326835618874	37.0637119113573	0.154380493337114	2	3	asymmetric cell division	ENSXMAG00000007415,ENSXMAG00000013465	anln,KCNG4
GO:0008361	0.00129907800058462	7.77351024208566	0.874822795576978	5	17	regulation of cell size	ENSXMAG00000008972,ENSXMAG00000013953,ENSXMAG00000003721,ENSXMAG00000015981,ENSXMAG00000001627	stat3,casp3a,ncaldb,slit3,chrna1
GO:0008593	0.0322153215198081	5.06060606060606	0.720442302239864	3	14	regulation of Notch signaling pathway	ENSXMAG00000011442,ENSXMAG00000018380,ENSXMAG00000015925	angptl1a,PAPPA2,ptbp1a
GO:0009057	0.0366696920294226	1.71685467270482	9.82889140912957	16	191	macromolecule catabolic process	ENSXMAG00000009873,ENSXMAG00000012120,ENSXMAG00000015410,ENSXMAG00000002464,ENSXMAG00000002634,ENSXMAG00000003852,ENSXMAG00000004041,ENSXMAG00000004958,ENSXMAG00000008869,ENSXMAG00000011661,ENSXMAG00000019367,ENSXMAG00000002414,ENSXMAG00000007753,ENSXMAG00000014611,ENSXMAG00000017636,ENSXMAG00000015544	mus81,usp22,usp44,rnft2,chia.3,dda1,zc3h14,etf1a,USP11,PAN2,itcha,CACUL1,psmb9a,CAPN3,fbxl18
GO:0009894	0.0493452822361331	2.42784070149799	2.67592855117664	6	52	regulation of catabolic process	ENSXMAG00000002464,ENSXMAG00000003852,ENSXMAG00000004041,ENSXMAG00000011661,ENSXMAG00000002414,ENSXMAG00000005891	rnft2,dda1,zc3h14,PAN2,hspd1
