GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000922	0.00121336729980371	12.1704119850187	0.524399126001457	4	10	spindle pole	ENSXMAG00000012246,ENSXMAG00000014666,ENSXMAG00000018240,ENSXMAG00000016055	katna1,tubgcp2,tubgcp4,tubgcp5
GO:0005813	0.0126682738376027	5.20947030497592	0.943918426802622	4	18	centrosome	ENSXMAG00000012246,ENSXMAG00000014666,ENSXMAG00000018240,ENSXMAG00000016055	katna1,tubgcp2,tubgcp4,tubgcp5
GO:0005819	0.0019319584599749	4.5871104815864	1.8353969410051	7	35	spindle	ENSXMAG00000012246,ENSXMAG00000014666,ENSXMAG00000018240,ENSXMAG00000001155,ENSXMAG00000014718,ENSXMAG00000016055,ENSXMAG00000018737	katna1,tubgcp2,tubgcp4,shcbp1,zgc:63587,tubgcp5,septin7b
GO:0005856	0.0306420127395754	1.49877810361681	21.0808448652586	30	402	cytoskeleton	ENSXMAG00000002168,ENSXMAG00000002885,ENSXMAG00000006094,ENSXMAG00000007568,ENSXMAG00000008330,ENSXMAG00000010093,ENSXMAG00000012246,ENSXMAG00000014666,ENSXMAG00000015708,ENSXMAG00000018240,ENSXMAG00000019032,ENSXMAG00000000647,ENSXMAG00000004925,ENSXMAG00000005876,ENSXMAG00000006444,ENSXMAG00000007953,ENSXMAG00000014412,ENSXMAG00000018525,ENSXMAG00000001023,ENSXMAG00000001155,ENSXMAG00000001885,ENSXMAG00000002416,ENSXMAG00000009593,ENSXMAG00000014718,ENSXMAG00000017277,ENSXMAG00000007004,ENSXMAG00000014566,ENSXMAG00000016055,ENSXMAG00000018620,ENSXMAG00000018737	tmod2,wasf2,TMOD1,tln1,abi1a,arpc4,katna1,tubgcp2,DAG1,tubgcp4,DYNC1I2,TPM4,cep20,ARMC9,mapk1,lmnb2,lgsn,msna,IFFO1,shcbp1,dbnlb,neflb,zgc:172136,zgc:63587,TEKT3,EPB41L2,KIFC3,tubgcp5,krt4,septin7b
GO:0005892	0.0357435631717232	9.07960893854749	0.314639475600874	2	6	acetylcholine-gated channel complex	ENSXMAG00000000031,ENSXMAG00000001627	CHRNB4,chrna1
GO:0016607	0.0153971874008199	4.86142322097378	0.996358339402768	4	19	nuclear speck	ENSXMAG00000005189,ENSXMAG00000016391,ENSXMAG00000004041,ENSXMAG00000009547	dazap2,sfpq,zc3h14,pnn
GO:0030496	0.0220844011367039	6.06535947712418	0.629278951201748	3	12	midbody	ENSXMAG00000003503,ENSXMAG00000014718,ENSXMAG00000018737	rab11fip4a,zgc:63587,septin7b
GO:0032039	0.0483317172932297	7.26256983240223	0.36707938820102	2	7	integrator complex	ENSXMAG00000010715,ENSXMAG00000003060	ints9,INTS5
GO:0032153	0.00657311328852378	10.9243697478992	0.419519300801165	3	8	cell division site	ENSXMAG00000003503,ENSXMAG00000014718,ENSXMAG00000018737	rab11fip4a,zgc:63587,septin7b
GO:0032154	0.00657311328852378	10.9243697478992	0.419519300801165	3	8	cleavage furrow	ENSXMAG00000003503,ENSXMAG00000014718,ENSXMAG00000018737	rab11fip4a,zgc:63587,septin7b
GO:0098793	0.0422802467879303	2.84903169014085	1.94027676620539	5	37	presynapse	ENSXMAG00000001545,ENSXMAG00000007867,ENSXMAG00000012109,ENSXMAG00000017160,ENSXMAG00000018280	sypa,tmem163a,slc6a4a,BSN,lin7c
