GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0004197	0.011538104391687	4.18706293706294	1.40212162328852	5	27	cysteine-type endopeptidase activity	ENSXMAG00000004066,ENSXMAG00000008475,ENSXMAG00000013953,ENSXMAG00000017636,ENSXMAG00000006995	CASP3,capn1,casp3a,CAPN3,CAPN5
GO:0004198	0.0269423270916636	5.50909090909091	0.675095596398174	3	13	calcium-dependent cysteine-type endopeptidase activity	ENSXMAG00000008475,ENSXMAG00000017636,ENSXMAG00000006995	capn1,CAPN3,CAPN5
GO:0004707	0.039701216526078	4.58971291866029	0.778956457382509	3	15	MAP kinase activity	ENSXMAG00000010228,ENSXMAG00000013778,ENSXMAG00000006444	mapk12b,mapk7,mapk1
GO:0005125	0.039701216526078	4.58971291866029	0.778956457382509	3	15	cytokine activity	ENSXMAG00000000152,ENSXMAG00000008516,ENSXMAG00000000474	il12a,cxcl14,IL12B
GO:0005484	0.0215379234990821	6.12200956937799	0.623165165906007	3	12	SNAP receptor activity	ENSXMAG00000000497,ENSXMAG00000016239,ENSXMAG00000018999	BNIP1,stx6,stx1b
GO:0005523	0.035110551489411	9.16706443914081	0.311582582953004	2	6	tropomyosin binding	ENSXMAG00000002168,ENSXMAG00000006094	tmod2,TMOD1
GO:0008092	0.048536838539826	1.55406462922192	13.4499814974713	20	259	cytoskeletal protein binding	ENSXMAG00000002168,ENSXMAG00000002885,ENSXMAG00000003391,ENSXMAG00000006094,ENSXMAG00000007568,ENSXMAG00000010093,ENSXMAG00000012106,ENSXMAG00000012246,ENSXMAG00000014666,ENSXMAG00000015647,ENSXMAG00000018240,ENSXMAG00000000647,ENSXMAG00000004309,ENSXMAG00000009353,ENSXMAG00000018525,ENSXMAG00000001885,ENSXMAG00000006505,ENSXMAG00000007004,ENSXMAG00000014566,ENSXMAG00000016055	tmod2,wasf2,cap2,TMOD1,tln1,arpc4,SSH2,katna1,tubgcp2,DBN1,tubgcp4,TPM4,tbcb,VILL,msna,dbnlb,tppp2,EPB41L2,KIFC3,tubgcp5
GO:0015293	0.0170644649048345	2.63922518159806	3.3235475514987	8	64	symporter activity	ENSXMAG00000008082,ENSXMAG00000012109,ENSXMAG00000013815,ENSXMAG00000016410,ENSXMAG00000017454,ENSXMAG00000004065,ENSXMAG00000004484,ENSXMAG00000001794	zgc:153039,slc6a4a,slc6a8,slc6a18,slc6a1b,SLC13A5,SLC6A13,slc10a7
GO:0015294	0.0179027090614511	4.59832134292566	1.03860860984335	4	20	solute:cation symporter activity	ENSXMAG00000008082,ENSXMAG00000012109,ENSXMAG00000017454,ENSXMAG00000004065	zgc:153039,slc6a4a,slc6a1b,SLC13A5
GO:0015370	0.0167890364466368	6.88815789473684	0.57123473541384	3	11	solute:sodium symporter activity	ENSXMAG00000012109,ENSXMAG00000017454,ENSXMAG00000004065	slc6a4a,slc6a1b,SLC13A5
GO:0016712	0.0474906313696978	7.3326968973747	0.363513013445171	2	7	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	ENSXMAG00000007220,ENSXMAG00000010239	HMOX1,cyp2u1
GO:0016725	0.015052903194373	18.3389021479714	0.207721721968669	2	4	oxidoreductase activity, acting on CH or CH2 groups	ENSXMAG00000003461,ENSXMAG00000004335	XDH,rrm1
GO:0017169	0.00269069588042318	Inf	0.103860860984335	2	2	CDP-alcohol phosphatidyltransferase activity	ENSXMAG00000010883,ENSXMAG00000015734	cdipt,PGS1
GO:0030551	0.0474906313696978	7.3326968973747	0.363513013445171	2	7	cyclic nucleotide binding	ENSXMAG00000010000,ENSXMAG00000016321	prkg2,prkar1ab
GO:0043015	0.00247223233092221	18.3803827751196	0.311582582953004	3	6	gamma-tubulin binding	ENSXMAG00000014666,ENSXMAG00000018240,ENSXMAG00000016055	tubgcp2,tubgcp4,tubgcp5
GO:0051087	0.035110551489411	9.16706443914081	0.311582582953004	2	6	chaperone binding	ENSXMAG00000015473,ENSXMAG00000018450	bag4,bag5
GO:0140223	0.015052903194373	18.3389021479714	0.207721721968669	2	4	general transcription initiation factor activity	ENSXMAG00000010106,ENSXMAG00000012132	RRN3,taf6
