"","x"
"1","ENSXMAG00000000015"
"2","ENSXMAG00000000021"
"3","ENSXMAG00000000038"
"4","ENSXMAG00000000040"
"5","ENSXMAG00000000043"
"6","ENSXMAG00000000048"
"7","ENSXMAG00000000062"
"8","ENSXMAG00000000074"
"9","ENSXMAG00000000082"
"10","ENSXMAG00000000104"
"11","ENSXMAG00000000110"
"12","ENSXMAG00000000132"
"13","ENSXMAG00000000161"
"14","ENSXMAG00000000162"
"15","ENSXMAG00000000165"
"16","ENSXMAG00000000180"
"17","ENSXMAG00000000184"
"18","ENSXMAG00000000197"
"19","ENSXMAG00000000219"
"20","ENSXMAG00000000226"
"21","ENSXMAG00000000245"
"22","ENSXMAG00000000259"
"23","ENSXMAG00000000261"
"24","ENSXMAG00000000281"
"25","ENSXMAG00000000283"
"26","ENSXMAG00000000299"
"27","ENSXMAG00000000310"
"28","ENSXMAG00000000326"
"29","ENSXMAG00000000327"
"30","ENSXMAG00000000359"
"31","ENSXMAG00000000368"
"32","ENSXMAG00000000378"
"33","ENSXMAG00000000379"
"34","ENSXMAG00000000403"
"35","ENSXMAG00000000419"
"36","ENSXMAG00000000459"
"37","ENSXMAG00000000462"
"38","ENSXMAG00000000482"
"39","ENSXMAG00000000486"
"40","ENSXMAG00000000508"
"41","ENSXMAG00000000509"
"42","ENSXMAG00000000517"
"43","ENSXMAG00000000542"
"44","ENSXMAG00000000553"
"45","ENSXMAG00000000567"
"46","ENSXMAG00000000570"
"47","ENSXMAG00000000607"
"48","ENSXMAG00000000612"
"49","ENSXMAG00000000615"
"50","ENSXMAG00000000624"
"51","ENSXMAG00000000627"
"52","ENSXMAG00000000633"
"53","ENSXMAG00000000656"
"54","ENSXMAG00000000670"
"55","ENSXMAG00000000672"
"56","ENSXMAG00000000692"
"57","ENSXMAG00000000695"
"58","ENSXMAG00000000701"
"59","ENSXMAG00000000708"
"60","ENSXMAG00000000709"
"61","ENSXMAG00000000738"
"62","ENSXMAG00000000755"
"63","ENSXMAG00000000759"
"64","ENSXMAG00000000764"
"65","ENSXMAG00000000770"
"66","ENSXMAG00000000773"
"67","ENSXMAG00000000777"
"68","ENSXMAG00000000796"
"69","ENSXMAG00000000801"
"70","ENSXMAG00000000809"
"71","ENSXMAG00000000834"
"72","ENSXMAG00000000839"
"73","ENSXMAG00000000844"
"74","ENSXMAG00000000852"
"75","ENSXMAG00000000857"
"76","ENSXMAG00000000863"
"77","ENSXMAG00000000865"
"78","ENSXMAG00000000870"
"79","ENSXMAG00000000873"
"80","ENSXMAG00000000884"
"81","ENSXMAG00000000895"
"82","ENSXMAG00000000912"
"83","ENSXMAG00000000914"
"84","ENSXMAG00000000921"
"85","ENSXMAG00000000923"
"86","ENSXMAG00000000924"
"87","ENSXMAG00000000926"
"88","ENSXMAG00000000932"
"89","ENSXMAG00000000933"
"90","ENSXMAG00000000971"
"91","ENSXMAG00000000977"
"92","ENSXMAG00000001005"
"93","ENSXMAG00000001007"
"94","ENSXMAG00000001013"
"95","ENSXMAG00000001015"
"96","ENSXMAG00000001017"
"97","ENSXMAG00000001021"
"98","ENSXMAG00000001022"
"99","ENSXMAG00000001030"
"100","ENSXMAG00000001033"
"101","ENSXMAG00000001035"
"102","ENSXMAG00000001036"
"103","ENSXMAG00000001038"
"104","ENSXMAG00000001039"
"105","ENSXMAG00000001049"
"106","ENSXMAG00000001063"
"107","ENSXMAG00000001073"
"108","ENSXMAG00000001076"
"109","ENSXMAG00000001092"
"110","ENSXMAG00000001098"
"111","ENSXMAG00000001100"
"112","ENSXMAG00000001111"
"113","ENSXMAG00000001146"
"114","ENSXMAG00000001159"
"115","ENSXMAG00000001165"
"116","ENSXMAG00000001169"
"117","ENSXMAG00000001188"
"118","ENSXMAG00000001204"
"119","ENSXMAG00000001212"
"120","ENSXMAG00000001221"
"121","ENSXMAG00000001235"
"122","ENSXMAG00000001239"
"123","ENSXMAG00000001248"
"124","ENSXMAG00000001266"
"125","ENSXMAG00000001277"
"126","ENSXMAG00000001278"
"127","ENSXMAG00000001279"
"128","ENSXMAG00000001284"
"129","ENSXMAG00000001285"
"130","ENSXMAG00000001290"
"131","ENSXMAG00000001303"
"132","ENSXMAG00000001307"
"133","ENSXMAG00000001309"
"134","ENSXMAG00000001318"
"135","ENSXMAG00000001330"
"136","ENSXMAG00000001341"
"137","ENSXMAG00000001346"
"138","ENSXMAG00000001350"
"139","ENSXMAG00000001360"
"140","ENSXMAG00000001374"
"141","ENSXMAG00000001377"
"142","ENSXMAG00000001386"
"143","ENSXMAG00000001389"
"144","ENSXMAG00000001431"
"145","ENSXMAG00000001482"
"146","ENSXMAG00000001504"
"147","ENSXMAG00000001517"
"148","ENSXMAG00000001528"
"149","ENSXMAG00000001549"
"150","ENSXMAG00000001562"
"151","ENSXMAG00000001573"
"152","ENSXMAG00000001580"
"153","ENSXMAG00000001594"
"154","ENSXMAG00000001660"
"155","ENSXMAG00000001666"
"156","ENSXMAG00000001696"
"157","ENSXMAG00000001698"
"158","ENSXMAG00000001701"
"159","ENSXMAG00000001702"
"160","ENSXMAG00000001707"
"161","ENSXMAG00000001708"
"162","ENSXMAG00000001709"
"163","ENSXMAG00000001734"
"164","ENSXMAG00000001736"
"165","ENSXMAG00000001752"
"166","ENSXMAG00000001773"
"167","ENSXMAG00000001831"
"168","ENSXMAG00000001838"
"169","ENSXMAG00000001863"
"170","ENSXMAG00000001878"
"171","ENSXMAG00000001884"
"172","ENSXMAG00000001890"
"173","ENSXMAG00000001907"
"174","ENSXMAG00000001917"
"175","ENSXMAG00000001920"
"176","ENSXMAG00000001929"
"177","ENSXMAG00000001934"
"178","ENSXMAG00000001944"
"179","ENSXMAG00000001958"
"180","ENSXMAG00000001998"
"181","ENSXMAG00000002001"
"182","ENSXMAG00000002004"
"183","ENSXMAG00000002007"
"184","ENSXMAG00000002009"
"185","ENSXMAG00000002011"
"186","ENSXMAG00000002029"
"187","ENSXMAG00000002039"
"188","ENSXMAG00000002043"
"189","ENSXMAG00000002047"
"190","ENSXMAG00000002066"
"191","ENSXMAG00000002092"
"192","ENSXMAG00000002093"
"193","ENSXMAG00000002108"
"194","ENSXMAG00000002135"
"195","ENSXMAG00000002147"
"196","ENSXMAG00000002163"
"197","ENSXMAG00000002174"
"198","ENSXMAG00000002202"
"199","ENSXMAG00000002229"
"200","ENSXMAG00000002235"
"201","ENSXMAG00000002241"
"202","ENSXMAG00000002258"
"203","ENSXMAG00000002263"
"204","ENSXMAG00000002270"
"205","ENSXMAG00000002272"
"206","ENSXMAG00000002274"
"207","ENSXMAG00000002282"
"208","ENSXMAG00000002300"
"209","ENSXMAG00000002320"
"210","ENSXMAG00000002322"
"211","ENSXMAG00000002337"
"212","ENSXMAG00000002341"
"213","ENSXMAG00000002390"
"214","ENSXMAG00000002398"
"215","ENSXMAG00000002410"
"216","ENSXMAG00000002423"
"217","ENSXMAG00000002428"
"218","ENSXMAG00000002446"
"219","ENSXMAG00000002454"
"220","ENSXMAG00000002455"
"221","ENSXMAG00000002466"
"222","ENSXMAG00000002485"
"223","ENSXMAG00000002505"
"224","ENSXMAG00000002518"
"225","ENSXMAG00000002524"
"226","ENSXMAG00000002558"
"227","ENSXMAG00000002562"
"228","ENSXMAG00000002582"
"229","ENSXMAG00000002585"
"230","ENSXMAG00000002596"
"231","ENSXMAG00000002602"
"232","ENSXMAG00000002633"
"233","ENSXMAG00000002641"
"234","ENSXMAG00000002643"
"235","ENSXMAG00000002648"
"236","ENSXMAG00000002651"
"237","ENSXMAG00000002674"
"238","ENSXMAG00000002675"
"239","ENSXMAG00000002676"
"240","ENSXMAG00000002684"
"241","ENSXMAG00000002699"
"242","ENSXMAG00000002713"
"243","ENSXMAG00000002734"
"244","ENSXMAG00000002737"
"245","ENSXMAG00000002749"
"246","ENSXMAG00000002788"
"247","ENSXMAG00000002800"
"248","ENSXMAG00000002804"
"249","ENSXMAG00000002808"
"250","ENSXMAG00000002812"
"251","ENSXMAG00000002817"
"252","ENSXMAG00000002835"
