GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0006637	0.000187629	6.989716166	1.807343351	8	19	acyl-CoA metabolic process	"ENSXMAG00000017128,ENSXMAG00000010204,ENSXMAG00000015573,ENSXMAG00000008007,ENSXMAG00000010958,ENSXMAG00000014638,ENSXMAG00000000852,ENSXMAG00000013172"	"acot15,aclya,elovl7a,mvk,dlat,dlst,acss2l,elovl1b"
GO:0035383	0.000187629	6.989716166	1.807343351	8	19	thioester metabolic process	"ENSXMAG00000017128,ENSXMAG00000010204,ENSXMAG00000015573,ENSXMAG00000008007,ENSXMAG00000010958,ENSXMAG00000014638,ENSXMAG00000000852,ENSXMAG00000013172"	"acot15,aclya,elovl7a,mvk,dlat,dlst,acss2l,elovl1b"
GO:0033865	0.000304686	5.410026435	2.378083357	9	25	nucleoside bisphosphate metabolic process	"ENSXMAG00000017128,ENSXMAG00000010204,ENSXMAG00000015573,ENSXMAG00000015584,ENSXMAG00000008007,ENSXMAG00000010958,ENSXMAG00000014638,ENSXMAG00000000852,ENSXMAG00000013172"	"acot15,aclya,elovl7a,dcakd,mvk,dlat,dlst,acss2l,elovl1b"
GO:0033875	0.000304686	5.410026435	2.378083357	9	25	ribonucleoside bisphosphate metabolic process	"ENSXMAG00000017128,ENSXMAG00000010204,ENSXMAG00000015573,ENSXMAG00000015584,ENSXMAG00000008007,ENSXMAG00000010958,ENSXMAG00000014638,ENSXMAG00000000852,ENSXMAG00000013172"	"acot15,aclya,elovl7a,dcakd,mvk,dlat,dlst,acss2l,elovl1b"
GO:0034032	0.000304686	5.410026435	2.378083357	9	25	purine nucleoside bisphosphate metabolic process	"ENSXMAG00000017128,ENSXMAG00000010204,ENSXMAG00000015573,ENSXMAG00000015584,ENSXMAG00000008007,ENSXMAG00000010958,ENSXMAG00000014638,ENSXMAG00000000852,ENSXMAG00000013172"	"acot15,aclya,elovl7a,dcakd,mvk,dlat,dlst,acss2l,elovl1b"
GO:0001523	0.001287556	9.576576577	0.951233343	5	10	retinoid metabolic process	"ENSXMAG00000004889,ENSXMAG00000008236,ENSXMAG00000003107,ENSXMAG00000014477,ENSXMAG00000015366"	"cyp26c1,lratb.2,zgc:109982,dgat1b,dgat1a"
GO:0016101	0.001287556	9.576576577	0.951233343	5	10	diterpenoid metabolic process	"ENSXMAG00000004889,ENSXMAG00000008236,ENSXMAG00000003107,ENSXMAG00000014477,ENSXMAG00000015366"	"cyp26c1,lratb.2,zgc:109982,dgat1b,dgat1a"
GO:0006084	0.002176903	7.979229229	1.046356677	5	11	acetyl-CoA metabolic process	"ENSXMAG00000010204,ENSXMAG00000008007,ENSXMAG00000010958,ENSXMAG00000014638,ENSXMAG00000000852"	"aclya,mvk,dlat,dlst,acss2l"
GO:0006721	0.002176903	7.979229229	1.046356677	5	11	terpenoid metabolic process	"ENSXMAG00000004889,ENSXMAG00000008236,ENSXMAG00000003107,ENSXMAG00000014477,ENSXMAG00000015366"	"cyp26c1,lratb.2,zgc:109982,dgat1b,dgat1a"
GO:0042572	0.002246493	12.75362319	0.66586334	4	7	retinol metabolic process	"ENSXMAG00000008236,ENSXMAG00000003107,ENSXMAG00000014477,ENSXMAG00000015366"	"lratb.2,zgc:109982,dgat1b,dgat1a"
GO:0006720	0.002415277	4.795933735	1.99759002	7	21	isoprenoid metabolic process	"ENSXMAG00000004889,ENSXMAG00000008236,ENSXMAG00000019015,ENSXMAG00000003107,ENSXMAG00000008007,ENSXMAG00000014477,ENSXMAG00000015366"	"cyp26c1,lratb.2,crppa,zgc:109982,mvk,dgat1b,dgat1a"
