GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0005759	0.000509683662421411	3.97463936714751	3.55061908230153	11	39	mitochondrial matrix	ENSXMAG00000014547,ENSXMAG00000016866,ENSXMAG00000007937,ENSXMAG00000010958,ENSXMAG00000012165,ENSXMAG00000014638,ENSXMAG00000015694,ENSXMAG00000003102,ENSXMAG00000007270,ENSXMAG00000014869,ENSXMAG00000014954	supv3l1,sdhaf3,zgc:171480,dlat,mrps31,dlst,hadhab,etfa,sdhaf2,pcca,PDK2
GO:0005770	0.0499885567732131	2.51050080775444	2.73124544792425	6	30	late endosome	ENSXMAG00000014757,ENSXMAG00000008092,ENSXMAG00000013990,ENSXMAG00000003010,ENSXMAG00000014852,ENSXMAG00000016009	atl1,arl8bb,ankrd13a,abcb6a,ccz1,vps37c
GO:0005786	0.0438528113480719	10.0128410914928	0.364166059723234	2	4	signal recognition particle, endoplasmic reticulum targeting	ENSXMAG00000018315,ENSXMAG00000006625	srp54,srp14
GO:0016020	0.0246942883250906	1.18400016149219	319.100509832484	343	3505	membrane	ENSXMAG00000000062,ENSXMAG00000000219,ENSXMAG00000000542,ENSXMAG00000000709,ENSXMAG00000000933,ENSXMAG00000001035,ENSXMAG00000001221,ENSXMAG00000001318,ENSXMAG00000001944,ENSXMAG00000002643,ENSXMAG00000002812,ENSXMAG00000004276,ENSXMAG00000004286,ENSXMAG00000004481,ENSXMAG00000004606,ENSXMAG00000004910,ENSXMAG00000005224,ENSXMAG00000005706,ENSXMAG00000007280,ENSXMAG00000007547,ENSXMAG00000007686,ENSXMAG00000008055,ENSXMAG00000008157,ENSXMAG00000009095,ENSXMAG00000009436,ENSXMAG00000009620,ENSXMAG00000009715,ENSXMAG00000009937,ENSXMAG00000010246,ENSXMAG00000010653,ENSXMAG00000010894,ENSXMAG00000011006,ENSXMAG00000011691,ENSXMAG00000012008,ENSXMAG00000012261,ENSXMAG00000012465,ENSXMAG00000012472,ENSXMAG00000012650,ENSXMAG00000013181,ENSXMAG00000013444,ENSXMAG00000013541,ENSXMAG00000014061,ENSXMAG00000014092,ENSXMAG00000014163,ENSXMAG00000014315,ENSXMAG00000014724,ENSXMAG00000014757,ENSXMAG00000015032,ENSXMAG00000015267,ENSXMAG00000015951,ENSXMAG00000016117,ENSXMAG00000017128,ENSXMAG00000017323,ENSXMAG00000018141,ENSXMAG00000018346,ENSXMAG00000018374,ENSXMAG00000018377,ENSXMAG00000018754,ENSXMAG00000019925,ENSXMAG00000020234,ENSXMAG00000020268,ENSXMAG00000000570,ENSXMAG00000000695,ENSXMAG00000000977,ENSXMAG00000001734,ENSXMAG00000001838,ENSXMAG00000002047,ENSXMAG00000002241,ENSXMAG00000002274,ENSXMAG00000002675,ENSXMAG00000003131,ENSXMAG00000003346,ENSXMAG00000003732,ENSXMAG00000003888,ENSXMAG00000003898,ENSXMAG00000004089,ENSXMAG00000004416,ENSXMAG00000004609,ENSXMAG00000005510,ENSXMAG00000005991,ENSXMAG00000006008,ENSXMAG00000006758,ENSXMAG00000007584,ENSXMAG00000007635,ENSXMAG00000008020,ENSXMAG00000008092,ENSXMAG00000008236,ENSXMAG00000008287,ENSXMAG00000008580,ENSXMAG00000009063,ENSXMAG00000009090,ENSXMAG00000010085,ENSXMAG00000010137,ENSXMAG00000010197,ENSXMAG00000010203,ENSXMAG00000010209,ENSXMAG00000010220,ENSXMAG00000010308,ENSXMAG00000011540,ENSXMAG00000012028,ENSXMAG00000013723,ENSXMAG00000013984,ENSXMAG00000013990,ENSXMAG00000014449,ENSXMAG00000014822,ENSXMAG00000015036,ENSXMAG00000015068,ENSXMAG00000015386,ENSXMAG00000015397,ENSXMAG00000015573,ENSXMAG00000015584,ENSXMAG00000015768,ENSXMAG00000015899,ENSXMAG00000016567,ENSXMAG00000016656,ENSXMAG00000016760,ENSXMAG00000017251,ENSXMAG00000017404,ENSXMAG00000017407,ENSXMAG00000018096,ENSXMAG00000018191,ENSXMAG00000018317,ENSXMAG00000018701,ENSXMAG00000018770,ENSXMAG00000018819,ENSXMAG00000019004,ENSXMAG00000019120,ENSXMAG00000019252,ENSXMAG00000019620,ENSXMAG00000019962,ENSXMAG00000019967,ENSXMAG00000020180,ENSXMAG00000000161,ENSXMAG00000000770,ENSXMAG00000001290,ENSXMAG00000001562,ENSXMAG00000001660,ENSXMAG00000002029,ENSXMAG00000002147,ENSXMAG00000002202,ENSXMAG00000002398,ENSXMAG00000002524,ENSXMAG00000002558,ENSXMAG00000002585,ENSXMAG00000002674,ENSXMAG00000002906,ENSXMAG00000002929,ENSXMAG00000003010,ENSXMAG00000003107,ENSXMAG00000003413,ENSXMAG00000003611,ENSXMAG00000003625,ENSXMAG00000003782,ENSXMAG00000003958,ENSXMAG00000003971,ENSXMAG00000004299,ENSXMAG00000004331,ENSXMAG00000004522,ENSXMAG00000004626,ENSXMAG00000004772,ENSXMAG00000005076,ENSXMAG00000005585,ENSXMAG00000005734,ENSXMAG00000006605,ENSXMAG00000006612,ENSXMAG00000006658,ENSXMAG00000006959,ENSXMAG00000007334,ENSXMAG00000007813,ENSXMAG00000008270,ENSXMAG00000008834,ENSXMAG00000008952,ENSXMAG00000009155,ENSXMAG00000009232,ENSXMAG00000009309,ENSXMAG00000009400,ENSXMAG00000009430,ENSXMAG00000009549,ENSXMAG00000009749,ENSXMAG00000009774,ENSXMAG00000009927,ENSXMAG00000010100,ENSXMAG00000010236,ENSXMAG00000010681,ENSXMAG00000010759,ENSXMAG00000010933,ENSXMAG00000011232,ENSXMAG00000011254,ENSXMAG00000011316,ENSXMAG00000011380,ENSXMAG00000011785,ENSXMAG00000012102,ENSXMAG00000012399,ENSXMAG00000012900,ENSXMAG00000012938,ENSXMAG00000012988,ENSXMAG00000013049,ENSXMAG00000013143,ENSXMAG00000013315,ENSXMAG00000013426,ENSXMAG00000013491,ENSXMAG00000013520,ENSXMAG00000013521,ENSXMAG00000013725,ENSXMAG00000014041,ENSXMAG00000014477,ENSXMAG00000014482,ENSXMAG00000014638,ENSXMAG00000015020,ENSXMAG00000015069,ENSXMAG00000015084,ENSXMAG00000015169,ENSXMAG00000015366,ENSXMAG00000015610,ENSXMAG00000015803,ENSXMAG00000016085,ENSXMAG00000016166,ENSXMAG00000016198,ENSXMAG00000016260,ENSXMAG00000016423,ENSXMAG00000016424,ENSXMAG00000016428,ENSXMAG00000016466,ENSXMAG00000016480,ENSXMAG00000016481,ENSXMAG00000016508,ENSXMAG00000016541,ENSXMAG00000016836,ENSXMAG00000016898,ENSXMAG00000016920,ENSXMAG00000017002,ENSXMAG00000017101,ENSXMAG00000017450,ENSXMAG00000017453,ENSXMAG00000017490,ENSXMAG00000018194,ENSXMAG00000018211,ENSXMAG00000018265,ENSXMAG00000019069,ENSXMAG00000019211,ENSXMAG00000019300,ENSXMAG00000019594,ENSXMAG00000019605,ENSXMAG00000019892,ENSXMAG00000019977,ENSXMAG00000019988,ENSXMAG00000020088,ENSXMAG00000000281,ENSXMAG00000000419,ENSXMAG00000000462,ENSXMAG00000000796,ENSXMAG00000000924,ENSXMAG00000001169,ENSXMAG00000001350,ENSXMAG00000001773,ENSXMAG00000002229,ENSXMAG00000002648,ENSXMAG00000002979,ENSXMAG00000003626,ENSXMAG00000003728,ENSXMAG00000003814,ENSXMAG00000004047,ENSXMAG00000004081,ENSXMAG00000004534,ENSXMAG00000004547,ENSXMAG00000004587,ENSXMAG00000004662,ENSXMAG00000004757,ENSXMAG00000004797,ENSXMAG00000004853,ENSXMAG00000005186,ENSXMAG00000005204,ENSXMAG00000005236,ENSXMAG00000005449,ENSXMAG00000005740,ENSXMAG00000005867,ENSXMAG00000006047,ENSXMAG00000006184,ENSXMAG00000006351,ENSXMAG00000006601,ENSXMAG00000008553,ENSXMAG00000008852,ENSXMAG00000008925,ENSXMAG00000009041,ENSXMAG00000009059,ENSXMAG00000009289,ENSXMAG00000009926,ENSXMAG00000009941,ENSXMAG00000010026,ENSXMAG00000010174,ENSXMAG00000010253,ENSXMAG00000010322,ENSXMAG00000011000,ENSXMAG00000011209,ENSXMAG00000011220,ENSXMAG00000011639,ENSXMAG00000012103,ENSXMAG00000012379,ENSXMAG00000012641,ENSXMAG00000012659,ENSXMAG00000012702,ENSXMAG00000012826,ENSXMAG00000012860,ENSXMAG00000013172,ENSXMAG00000013258,ENSXMAG00000013340,ENSXMAG00000013469,ENSXMAG00000013513,ENSXMAG00000013768,ENSXMAG00000013810,ENSXMAG00000014085,ENSXMAG00000014668,ENSXMAG00000014845,ENSXMAG00000014856,ENSXMAG00000015107,ENSXMAG00000015131,ENSXMAG00000015185,ENSXMAG00000015503,ENSXMAG00000015612,ENSXMAG00000015667,ENSXMAG00000016009,ENSXMAG00000016069,ENSXMAG00000016124,ENSXMAG00000016426,ENSXMAG00000017103,ENSXMAG00000017181,ENSXMAG00000017663,ENSXMAG00000017751,ENSXMAG00000017819,ENSXMAG00000017997,ENSXMAG00000018069,ENSXMAG00000018511,ENSXMAG00000018614,ENSXMAG00000018925,ENSXMAG00000019003,ENSXMAG00000019274,ENSXMAG00000019302,ENSXMAG00000019463,ENSXMAG00000019730,ENSXMAG00000019964,ENSXMAG00000019991,ENSXMAG00000020089,ENSXMAG00000020094	STX2,armh3,MLLT10,sgce,mppe1,snx10a,SLC12A6,GGA1,sec24d,mc5rb,gle1,SEMA5B,prdm4,slc35a3b,tnfsf10,TYRP1,galnt14,slc26a3.1,tspan18b,p4htma,nipal3,nrp1a,ATP7B,rpsa,pacc1,eda,LRP1,antxr2a,sgms2a,pcdh15a,cyp46a1.4,NRXN2,zgc:55558,ppm1nb,borcs8,alg11,ACAP3,jam2a,slc25a43,SV2A,kdr,WSCD1,acvr2ba,PALLD,CDH18,cldn15lb,atl1,mul1a,slc7a4,saraf,sfxn5b,acot15,trpm4a,abcg5,gpr173,drd4b,loxl2a,FNDC5,gpr183a,B3GNT8,MYADM,dysf,bet1,GRAMD1B,LRRTM4,B4GALNT1,plod3,TENM3,SLC39A12,timm29,pnpla3,grm6a,SNX9,fam49ba,il1rapl2,PRKD2,egfl6,cdh23,ERC1,B3GNT9,dram2b,NOX5,snx14,cdon,trpv4,arl8bb,lratb.2,MPP3,MRC2,atp2b4,il1rapl1b,zdhhc23b,si:cabz01090165.1,MCUB,diras1b,SNX18,si:dkey-193c22.1,abcb9,ptpn1,slc27a1b,tmx2b,zgc:154006,ankrd13a,DLL4,mark3a,tnfsf10l,htr2cl1,slc25a14,gpc1b,elovl7a,dcakd,EIF5AL1,smpd3,SLC12A1,colec12,tmem106bb,slc8a1b,abcc9,tamm41,plp2b,ccr7,oprm1,micu2,atp6v0d1,TIMM44,tmem54a,slc51a,CACNA1D,TMEM100,FZD7,zgc:194679,CLDN20,tmem71,adcy5,KCNJ5,GRM2,cdh11,grm6b,gria2b,rock1,ITM2C,HPSE2,GJD2,coq5,hacd4,fras1,abcb6a,zgc:109982,xkr5a,sys1,gmppaa,GPR89B,nmt2,prlra,cdpf1,SLC35F2,CLDN10,chrna4b,slc30a5,tacr3l,dolpp1,PIK3R5,lsr,slc22a15,stim1b,slc14a2,slc13a2,inpp4ab,HTR3B,CLCN6,erc1a,nrcama,NPBWR1,SLC11A2,ADGRB3,opn1sw2,CNGA3,flt1,zdhhc14,agpat9l,SLC4A5,CNGA1,fam49a,STON1,PIGG,ZNHIT6,kcnj1b,slc6a7,ildr1b,ADGRL3,si:ch211-120k19.1,tmem59l,tmem116,MPV17L,sh3gl1b,SLC44A5,GABBR1,itgbl1,zdhhc16a,mgat1b,slc25a47a,bmpr2a,ptdss1a,dgat1b,cyp4t8,dlst,gapvd1,BEST4,COQ8A,rnf34a,dgat1a,nrxn3a,grip2a,NTRK3,lamb1a,slc30a9,ITGA10,SLC38A3,slc16a6a,arl6ip5b,AP3S1,kdsr,cnep1r1,CERS2,MMP16,p2rx7,adcy1b,slc4a1b,fzd9b,slc34a2a,appl2,zdhhc7,zgc:109965,RIMS1,slc29a1a,tmem150aa,mlc1,sh3gl1a,RNF152,si:dkey-148a17.5,GPR22,spry1,gjb10,fzd10,GPR37,PCDH1,tmem59,slc1a2b,slc2a3a,tnfrsf19,SUSD2,ppm1na,glrbb,zdhhc3a,GRM1,atp5mea,PTCHD1,SYT7,lmf2a,si:dkey-202l22.3,cnmd,PCDH17,flvcr1,si:dkey-97m3.1,sec23b,ADRA1D,nsmfb,cln3,rom1a,HS3ST5,wbp1,tmem54b,abcg4b,ACKR3,PANX3,scara5,mag,TMC2,prlhr2a,scn3b,KCNJ15,TRABD2A,gabrb2a,paqr3a,jagn1b,uso1,neo1a,zdhhc13,cers5,si:ch211-184m13.4,tyr,tspan11,tmtops2b,slc22a21,glra4b,NDUFV1,GBGT1,MYORG,NRN1,ttyh3b,elovl1b,rhbg,disp2,drp2,syndig1l,p2rx3b,SLITRK2,cog4,pvalb5,lrit1b,SLC23A2,FRMD3,KCNK2,QRFPR,CDH4,tspo,zgc:123321,vps37c,mep1ba,nipa2,npc1,rgs9b,ttyh2,LACTBL1,slc43a3a,GPAM,IGSF9B,timm44,TAP1,F2RL2,agmo,TMCO3,sema4e,blcap,LRRC3,cldni,b3galt2,ptrh2
GO:0031410	0.0479335514437419	1.44702780441035	21.1216314639476	29	232	cytoplasmic vesicle	ENSXMAG00000001035,ENSXMAG00000001318,ENSXMAG00000001944,ENSXMAG00000003909,ENSXMAG00000004910,ENSXMAG00000012472,ENSXMAG00000014757,ENSXMAG00000017773,ENSXMAG00000000570,ENSXMAG00000002455,ENSXMAG00000003732,ENSXMAG00000008092,ENSXMAG00000010209,ENSXMAG00000013990,ENSXMAG00000018191,ENSXMAG00000018317,ENSXMAG00000003010,ENSXMAG00000003782,ENSXMAG00000008220,ENSXMAG00000014852,ENSXMAG00000016466,ENSXMAG00000017453,ENSXMAG00000004757,ENSXMAG00000007634,ENSXMAG00000010253,ENSXMAG00000010728,ENSXMAG00000011209,ENSXMAG00000016009,ENSXMAG00000017703	snx10a,GGA1,sec24d,wdr91,TYRP1,ACAP3,atl1,pdia6,dysf,CADPS2,SNX9,arl8bb,SNX18,ankrd13a,ccr7,oprm1,abcb6a,SV2A,wdfy1,ccz1,AP3S1,appl2,sec23b,dennd6aa,zdhhc13,PTPRN,tyr,vps37c,plekhm1
GO:0032838	0.0121779972729366	10.0273311897106	0.546249089584851	3	6	plasma membrane bounded cell projection cytoplasm	ENSXMAG00000000884,ENSXMAG00000013083,ENSXMAG00000018983	DNAH5,flr,kif5aa
GO:0033162	0.0121779972729366	10.0273311897106	0.546249089584851	3	6	melanosome membrane	ENSXMAG00000004910,ENSXMAG00000003010,ENSXMAG00000011209	TYRP1,abcb6a,tyr
GO:0042470	0.0133494831709708	5.73544973544974	1.00145666423889	4	11	melanosome	ENSXMAG00000004910,ENSXMAG00000017773,ENSXMAG00000003010,ENSXMAG00000011209	TYRP1,pdia6,abcb6a,tyr
GO:0045009	0.0121779972729366	10.0273311897106	0.546249089584851	3	6	chitosome	ENSXMAG00000004910,ENSXMAG00000003010,ENSXMAG00000011209	TYRP1,abcb6a,tyr
GO:0048500	0.0438528113480719	10.0128410914928	0.364166059723234	2	4	signal recognition particle	ENSXMAG00000018315,ENSXMAG00000006625	srp54,srp14
