GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0003777	0.0294426322594376	2.44240826743651	3.74750215862835	8	39	microtubule motor activity	ENSXMAG00000000884,ENSXMAG00000005017,ENSXMAG00000013974,ENSXMAG00000015704,ENSXMAG00000018983,ENSXMAG00000012940,ENSXMAG00000015666,ENSXMAG00000011641	DNAH5,kif4,kif7,kif2c,kif5aa,kif20a,DNAH12,KIF13B
GO:0003839	0.0485161124556523	9.42857142857143	0.384359195756753	2	4	gamma-glutamylcyclotransferase activity	ENSXMAG00000003367,ENSXMAG00000014444	ggcta,CHAC1
GO:0004069	0.00922253436648021	Inf	0.192179597878377	2	2	L-aspartate:2-oxoglutarate aminotransferase activity	ENSXMAG00000010511,ENSXMAG00000005669	got2b,GOT1
GO:0004144	0.00922253436648021	Inf	0.192179597878377	2	2	diacylglycerol O-acyltransferase activity	ENSXMAG00000014477,ENSXMAG00000015366	dgat1b,dgat1a
GO:0004308	0.0485161124556523	9.42857142857143	0.384359195756753	2	4	exo-alpha-sialidase activity	ENSXMAG00000000259,ENSXMAG00000001188	neu4,NEU3
GO:0004312	0.0477759141872255	4.71778350515464	0.864808190452695	3	9	fatty acid synthase activity	ENSXMAG00000015573,ENSXMAG00000016914,ENSXMAG00000013172	elovl7a,OXSM,elovl1b
GO:0004693	0.00328255619714373	28.3260309278351	0.384359195756753	3	4	cyclin-dependent protein serine/threonine kinase activity	ENSXMAG00000002007,ENSXMAG00000007316,ENSXMAG00000016145	cdkl5,cdk7,cdk10
GO:0004983	0.0342456175421436	5.66211340206186	0.768718391513507	3	8	neuropeptide Y receptor activity	ENSXMAG00000004081,ENSXMAG00000008852,ENSXMAG00000015185	si:dkey-202l22.3,prlhr2a,QRFPR
GO:0005021	0.0141567323063063	9.43943298969072	0.57653879363513	3	6	vascular endothelial growth factor-activated receptor activity	ENSXMAG00000008055,ENSXMAG00000013541,ENSXMAG00000009774	nrp1a,kdr,flt1
GO:0005164	0.011074692144021	6.29849462365591	0.960897989391884	4	10	tumor necrosis factor receptor binding	ENSXMAG00000004606,ENSXMAG00000009620,ENSXMAG00000015036,ENSXMAG00000018391	tnfsf10,eda,tnfsf10l,traf3
GO:0005242	0.0489257489436948	3.43319648093842	1.44134698408783	4	15	inward rectifier potassium channel activity	ENSXMAG00000017404,ENSXMAG00000001290,ENSXMAG00000011316,ENSXMAG00000009041	abcc9,KCNJ5,kcnj1b,KCNJ15
GO:0008142	0.0485161124556523	9.42857142857143	0.384359195756753	2	4	oxysterol binding	ENSXMAG00000019925,ENSXMAG00000011000	gpr183a,si:ch211-184m13.4
GO:0008188	0.0187351896237537	3.33810212312609	2.21006537560133	6	23	neuropeptide receptor activity	ENSXMAG00000018317,ENSXMAG00000005585,ENSXMAG00000009309,ENSXMAG00000004081,ENSXMAG00000008852,ENSXMAG00000015185	oprm1,tacr3l,NPBWR1,si:dkey-202l22.3,prlhr2a,QRFPR
GO:0008312	0.0485161124556523	9.42857142857143	0.384359195756753	2	4	7S RNA binding	ENSXMAG00000018315,ENSXMAG00000006625	srp54,srp14
GO:0008483	0.0489257489436948	3.43319648093842	1.44134698408783	4	15	transaminase activity	ENSXMAG00000009040,ENSXMAG00000010511,ENSXMAG00000005669,ENSXMAG00000008775	tat,got2b,GOT1,gfpt2
GO:0015095	0.025899334326398	18.8597168597169	0.288269396817565	2	3	magnesium ion transmembrane transporter activity	ENSXMAG00000007686,ENSXMAG00000016124	nipal3,nipa2
GO:0016247	0.0477759141872255	4.71778350515464	0.864808190452695	3	9	channel regulator activity	ENSXMAG00000006959,ENSXMAG00000013147,ENSXMAG00000008925	stim1b,gem,scn3b
GO:0016409	0.033404171674202	2.83622250970246	2.4983347724189	6	26	palmitoyltransferase activity	ENSXMAG00000010085,ENSXMAG00000009927,ENSXMAG00000013491,ENSXMAG00000017490,ENSXMAG00000002648,ENSXMAG00000010253	zdhhc23b,zdhhc14,zdhhc16a,zdhhc7,zdhhc3a,zdhhc13
GO:0016411	0.00922253436648021	Inf	0.192179597878377	2	2	acylglycerol O-acyltransferase activity	ENSXMAG00000014477,ENSXMAG00000015366	dgat1b,dgat1a
GO:0016417	0.00296453020764248	3.99153525837941	2.59442457135809	8	27	S-acyltransferase activity	ENSXMAG00000010085,ENSXMAG00000009927,ENSXMAG00000010958,ENSXMAG00000013491,ENSXMAG00000014638,ENSXMAG00000017490,ENSXMAG00000002648,ENSXMAG00000010253	zdhhc23b,zdhhc14,dlat,zdhhc16a,dlst,zdhhc7,zdhhc3a,zdhhc13
GO:0016620	0.0240026247725044	3.63496322798648	1.72961638090539	5	18	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	ENSXMAG00000006313,ENSXMAG00000008597,ENSXMAG00000001007,ENSXMAG00000001303,ENSXMAG00000004662	aldh9a1a.1,aldh16a1,GAPDH,aldh1a3,si:dkey-97m3.1
GO:0016746	0.00549306794246908	1.92520653485566	13.1643024546688	23	137	acyltransferase activity	ENSXMAG00000008236,ENSXMAG00000010085,ENSXMAG00000010204,ENSXMAG00000015573,ENSXMAG00000003971,ENSXMAG00000009927,ENSXMAG00000010100,ENSXMAG00000010958,ENSXMAG00000013491,ENSXMAG00000014477,ENSXMAG00000014638,ENSXMAG00000015366,ENSXMAG00000016508,ENSXMAG00000016914,ENSXMAG00000017490,ENSXMAG00000002648,ENSXMAG00000004206,ENSXMAG00000010253,ENSXMAG00000010322,ENSXMAG00000013172,ENSXMAG00000017640,ENSXMAG00000017819,ENSXMAG00000018589	lratb.2,zdhhc23b,aclya,elovl7a,nmt2,zdhhc14,agpat9l,dlat,zdhhc16a,dgat1b,dlst,dgat1a,CERS2,OXSM,zdhhc7,zdhhc3a,gtf2b,zdhhc13,cers5,elovl1b,acaa1,GPAM,tgm2b
