"","x"
"1","ENSXMAG00000000033"
"2","ENSXMAG00000000189"
"3","ENSXMAG00000000298"
"4","ENSXMAG00000000308"
"5","ENSXMAG00000000448"
"6","ENSXMAG00000000488"
"7","ENSXMAG00000000513"
"8","ENSXMAG00000000523"
"9","ENSXMAG00000000538"
"10","ENSXMAG00000000793"
"11","ENSXMAG00000000816"
"12","ENSXMAG00000001310"
"13","ENSXMAG00000001323"
"14","ENSXMAG00000001390"
"15","ENSXMAG00000001452"
"16","ENSXMAG00000001730"
"17","ENSXMAG00000001743"
"18","ENSXMAG00000002071"
"19","ENSXMAG00000002105"
"20","ENSXMAG00000002361"
"21","ENSXMAG00000002495"
"22","ENSXMAG00000002526"
"23","ENSXMAG00000002576"
"24","ENSXMAG00000002603"
"25","ENSXMAG00000002660"
"26","ENSXMAG00000002748"
"27","ENSXMAG00000002779"
"28","ENSXMAG00000002811"
"29","ENSXMAG00000002838"
"30","ENSXMAG00000002954"
"31","ENSXMAG00000002956"
"32","ENSXMAG00000003049"
"33","ENSXMAG00000003083"
"34","ENSXMAG00000003304"
"35","ENSXMAG00000003601"
"36","ENSXMAG00000003613"
"37","ENSXMAG00000003669"
"38","ENSXMAG00000003692"
"39","ENSXMAG00000003709"
"40","ENSXMAG00000003730"
"41","ENSXMAG00000003741"
"42","ENSXMAG00000003839"
"43","ENSXMAG00000004175"
"44","ENSXMAG00000004306"
"45","ENSXMAG00000004447"
"46","ENSXMAG00000004605"
"47","ENSXMAG00000004701"
"48","ENSXMAG00000005310"
"49","ENSXMAG00000005324"
"50","ENSXMAG00000005345"
"51","ENSXMAG00000005387"
"52","ENSXMAG00000005629"
"53","ENSXMAG00000005938"
"54","ENSXMAG00000006009"
"55","ENSXMAG00000006060"
"56","ENSXMAG00000006335"
"57","ENSXMAG00000006542"
"58","ENSXMAG00000006544"
"59","ENSXMAG00000006607"
"60","ENSXMAG00000006704"
"61","ENSXMAG00000006726"
"62","ENSXMAG00000006884"
"63","ENSXMAG00000006888"
"64","ENSXMAG00000006996"
"65","ENSXMAG00000007086"
"66","ENSXMAG00000007456"
"67","ENSXMAG00000007565"
"68","ENSXMAG00000007713"
"69","ENSXMAG00000007714"
"70","ENSXMAG00000007777"
"71","ENSXMAG00000008150"
"72","ENSXMAG00000008378"
"73","ENSXMAG00000008482"
"74","ENSXMAG00000008503"
"75","ENSXMAG00000008511"
"76","ENSXMAG00000008639"
"77","ENSXMAG00000008652"
"78","ENSXMAG00000008707"
"79","ENSXMAG00000008748"
"80","ENSXMAG00000008873"
"81","ENSXMAG00000009054"
"82","ENSXMAG00000009122"
"83","ENSXMAG00000009168"
"84","ENSXMAG00000009212"
"85","ENSXMAG00000009449"
"86","ENSXMAG00000009470"
"87","ENSXMAG00000009569"
"88","ENSXMAG00000009631"
"89","ENSXMAG00000009710"
"90","ENSXMAG00000009816"
"91","ENSXMAG00000009825"
"92","ENSXMAG00000009902"
"93","ENSXMAG00000009935"
"94","ENSXMAG00000009961"
"95","ENSXMAG00000010114"
"96","ENSXMAG00000010131"
"97","ENSXMAG00000010362"
"98","ENSXMAG00000010445"
"99","ENSXMAG00000010570"
"100","ENSXMAG00000010583"
"101","ENSXMAG00000010607"
"102","ENSXMAG00000010612"
"103","ENSXMAG00000010714"
"104","ENSXMAG00000010723"
"105","ENSXMAG00000010936"
"106","ENSXMAG00000011063"
"107","ENSXMAG00000011221"
"108","ENSXMAG00000011228"
"109","ENSXMAG00000011385"
"110","ENSXMAG00000011547"
"111","ENSXMAG00000011663"
"112","ENSXMAG00000011769"
"113","ENSXMAG00000011775"
"114","ENSXMAG00000011846"
"115","ENSXMAG00000011847"
"116","ENSXMAG00000011920"
"117","ENSXMAG00000012037"
"118","ENSXMAG00000012087"
"119","ENSXMAG00000012212"
"120","ENSXMAG00000012277"
"121","ENSXMAG00000012316"
"122","ENSXMAG00000012892"
"123","ENSXMAG00000012931"
"124","ENSXMAG00000013112"
"125","ENSXMAG00000013217"
"126","ENSXMAG00000013358"
"127","ENSXMAG00000013375"
"128","ENSXMAG00000013569"
"129","ENSXMAG00000013652"
"130","ENSXMAG00000013740"
"131","ENSXMAG00000013800"
"132","ENSXMAG00000013822"
"133","ENSXMAG00000013837"
"134","ENSXMAG00000013887"
"135","ENSXMAG00000013897"
"136","ENSXMAG00000014025"
"137","ENSXMAG00000014069"
"138","ENSXMAG00000014420"
"139","ENSXMAG00000014448"
"140","ENSXMAG00000014703"
"141","ENSXMAG00000015124"
"142","ENSXMAG00000015129"
"143","ENSXMAG00000015151"
"144","ENSXMAG00000015305"
"145","ENSXMAG00000015333"
"146","ENSXMAG00000015409"
"147","ENSXMAG00000015418"
"148","ENSXMAG00000015939"
"149","ENSXMAG00000015975"
"150","ENSXMAG00000016367"
"151","ENSXMAG00000016553"
"152","ENSXMAG00000016554"
"153","ENSXMAG00000016568"
"154","ENSXMAG00000016580"
"155","ENSXMAG00000016621"
"156","ENSXMAG00000016979"
"157","ENSXMAG00000017022"
"158","ENSXMAG00000017058"
"159","ENSXMAG00000017134"
"160","ENSXMAG00000017270"
"161","ENSXMAG00000017271"
"162","ENSXMAG00000017479"
"163","ENSXMAG00000017594"
"164","ENSXMAG00000017617"
"165","ENSXMAG00000017698"
"166","ENSXMAG00000017847"
"167","ENSXMAG00000017891"
"168","ENSXMAG00000018107"
"169","ENSXMAG00000018128"
"170","ENSXMAG00000018155"
"171","ENSXMAG00000018176"
"172","ENSXMAG00000018192"
"173","ENSXMAG00000018283"
"174","ENSXMAG00000018408"
"175","ENSXMAG00000018475"
"176","ENSXMAG00000018645"
"177","ENSXMAG00000018653"
"178","ENSXMAG00000018724"
"179","ENSXMAG00000018830"
"180","ENSXMAG00000018840"
"181","ENSXMAG00000018848"
"182","ENSXMAG00000018911"
"183","ENSXMAG00000018978"
"184","ENSXMAG00000019007"
"185","ENSXMAG00000019116"
"186","ENSXMAG00000019359"
"187","ENSXMAG00000019396"
"188","ENSXMAG00000019634"
"189","ENSXMAG00000019739"
"190","ENSXMAG00000019745"
"191","ENSXMAG00000019768"
"192","ENSXMAG00000019933"
"193","ENSXMAG00000020097"
"194","ENSXMAG00000020135"
"195","ENSXMAG00000020369"
