GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0044283	2.19E-06	9.240591398	1.177629714	9	117	small molecule biosynthetic process	"ENSXMAG00000002576,ENSXMAG00000003083,ENSXMAG00000002105,ENSXMAG00000010445,ENSXMAG00000018645,ENSXMAG00000002603,ENSXMAG00000005310,ENSXMAG00000016554,ENSXMAG00000017271"	"acer1,scd,gatm,pck1,dpydb,gamt,fbp1b,oat,pah"
GO:0006082	3.21E-05	5.218424754	2.496172384	11	248	organic acid metabolic process	"ENSXMAG00000003083,ENSXMAG00000011846,ENSXMAG00000002105,ENSXMAG00000008511,ENSXMAG00000010936,ENSXMAG00000013800,ENSXMAG00000018645,ENSXMAG00000001743,ENSXMAG00000002603,ENSXMAG00000016554,ENSXMAG00000017271"	"scd,acox3,gatm,aldob,mlsl,zgc:92040,dpydb,fah,gamt,oat,pah"
GO:0019752	3.21E-05	5.218424754	2.496172384	11	248	carboxylic acid metabolic process	"ENSXMAG00000003083,ENSXMAG00000011846,ENSXMAG00000002105,ENSXMAG00000008511,ENSXMAG00000010936,ENSXMAG00000013800,ENSXMAG00000018645,ENSXMAG00000001743,ENSXMAG00000002603,ENSXMAG00000016554,ENSXMAG00000017271"	"scd,acox3,gatm,aldob,mlsl,zgc:92040,dpydb,fah,gamt,oat,pah"
GO:0043436	3.21E-05	5.218424754	2.496172384	11	248	oxoacid metabolic process	"ENSXMAG00000003083,ENSXMAG00000011846,ENSXMAG00000002105,ENSXMAG00000008511,ENSXMAG00000010936,ENSXMAG00000013800,ENSXMAG00000018645,ENSXMAG00000001743,ENSXMAG00000002603,ENSXMAG00000016554,ENSXMAG00000017271"	"scd,acox3,gatm,aldob,mlsl,zgc:92040,dpydb,fah,gamt,oat,pah"
GO:0016053	5.62E-05	10.30421836	0.684434363	6	68	organic acid biosynthetic process	"ENSXMAG00000003083,ENSXMAG00000002105,ENSXMAG00000018645,ENSXMAG00000002603,ENSXMAG00000016554,ENSXMAG00000017271"	"scd,gatm,dpydb,gamt,oat,pah"
GO:0046394	5.62E-05	10.30421836	0.684434363	6	68	carboxylic acid biosynthetic process	"ENSXMAG00000003083,ENSXMAG00000002105,ENSXMAG00000018645,ENSXMAG00000002603,ENSXMAG00000016554,ENSXMAG00000017271"	"scd,gatm,dpydb,gamt,oat,pah"
GO:0044281	7.20E-05	3.720301553	4.871562234	15	484	small molecule metabolic process	"ENSXMAG00000002576,ENSXMAG00000003083,ENSXMAG00000011846,ENSXMAG00000002105,ENSXMAG00000008511,ENSXMAG00000010445,ENSXMAG00000010936,ENSXMAG00000013800,ENSXMAG00000018645,ENSXMAG00000001743,ENSXMAG00000002603,ENSXMAG00000002811,ENSXMAG00000005310,ENSXMAG00000016554,ENSXMAG00000017271"	"acer1,scd,acox3,gatm,aldob,pck1,mlsl,zgc:92040,dpydb,fah,gamt,mat1a,fbp1b,oat,pah"
GO:0006600	9.99E-05	Inf	0.020130422	2	2	creatine metabolic process	"ENSXMAG00000002105,ENSXMAG00000002603"	"gatm,gamt"
GO:0006601	9.99E-05	Inf	0.020130422	2	2	creatine biosynthetic process	"ENSXMAG00000002105,ENSXMAG00000002603"	"gatm,gamt"
GO:1901606	0.000843545	19.21047794	0.191239013	3	19	alpha-amino acid catabolic process	"ENSXMAG00000013800,ENSXMAG00000001743,ENSXMAG00000017271"	"zgc:92040,fah,pah"
