"","x"
"1","ENSXMAG00000000032"
"2","ENSXMAG00000000098"
"3","ENSXMAG00000000192"
"4","ENSXMAG00000000363"
"5","ENSXMAG00000000597"
"6","ENSXMAG00000000885"
"7","ENSXMAG00000000986"
"8","ENSXMAG00000000994"
"9","ENSXMAG00000001595"
"10","ENSXMAG00000001886"
"11","ENSXMAG00000001985"
"12","ENSXMAG00000002019"
"13","ENSXMAG00000002103"
"14","ENSXMAG00000002218"
"15","ENSXMAG00000002232"
"16","ENSXMAG00000002248"
"17","ENSXMAG00000002611"
"18","ENSXMAG00000002652"
"19","ENSXMAG00000002884"
"20","ENSXMAG00000002925"
"21","ENSXMAG00000002966"
"22","ENSXMAG00000003114"
"23","ENSXMAG00000003275"
"24","ENSXMAG00000003520"
"25","ENSXMAG00000003592"
"26","ENSXMAG00000003700"
"27","ENSXMAG00000003886"
"28","ENSXMAG00000003903"
"29","ENSXMAG00000004017"
"30","ENSXMAG00000004414"
"31","ENSXMAG00000004561"
"32","ENSXMAG00000004577"
"33","ENSXMAG00000004657"
"34","ENSXMAG00000004678"
"35","ENSXMAG00000004864"
"36","ENSXMAG00000005615"
"37","ENSXMAG00000005732"
"38","ENSXMAG00000005795"
"39","ENSXMAG00000005917"
"40","ENSXMAG00000005931"
"41","ENSXMAG00000005940"
"42","ENSXMAG00000005967"
"43","ENSXMAG00000006004"
"44","ENSXMAG00000006395"
"45","ENSXMAG00000006597"
"46","ENSXMAG00000006659"
"47","ENSXMAG00000007128"
"48","ENSXMAG00000007382"
"49","ENSXMAG00000007655"
"50","ENSXMAG00000007860"
"51","ENSXMAG00000007945"
"52","ENSXMAG00000008059"
"53","ENSXMAG00000008189"
"54","ENSXMAG00000008259"
"55","ENSXMAG00000008301"
"56","ENSXMAG00000008334"
"57","ENSXMAG00000008402"
"58","ENSXMAG00000008498"
"59","ENSXMAG00000008569"
"60","ENSXMAG00000008742"
"61","ENSXMAG00000008842"
"62","ENSXMAG00000008934"
"63","ENSXMAG00000009028"
"64","ENSXMAG00000009310"
"65","ENSXMAG00000009333"
"66","ENSXMAG00000009420"
"67","ENSXMAG00000009556"
"68","ENSXMAG00000009678"
"69","ENSXMAG00000009845"
"70","ENSXMAG00000010002"
"71","ENSXMAG00000010045"
"72","ENSXMAG00000010111"
"73","ENSXMAG00000010202"
"74","ENSXMAG00000010247"
"75","ENSXMAG00000010608"
"76","ENSXMAG00000010855"
"77","ENSXMAG00000010955"
"78","ENSXMAG00000011378"
"79","ENSXMAG00000011409"
"80","ENSXMAG00000011588"
"81","ENSXMAG00000011630"
"82","ENSXMAG00000011705"
"83","ENSXMAG00000011792"
"84","ENSXMAG00000011898"
"85","ENSXMAG00000011901"
"86","ENSXMAG00000012094"
"87","ENSXMAG00000012446"
"88","ENSXMAG00000012690"
"89","ENSXMAG00000012797"
"90","ENSXMAG00000013154"
"91","ENSXMAG00000013435"
"92","ENSXMAG00000013490"
"93","ENSXMAG00000013523"
"94","ENSXMAG00000013534"
"95","ENSXMAG00000013613"
"96","ENSXMAG00000013832"
"97","ENSXMAG00000013943"
"98","ENSXMAG00000014473"
"99","ENSXMAG00000014531"
"100","ENSXMAG00000014777"
"101","ENSXMAG00000015163"
"102","ENSXMAG00000015433"
"103","ENSXMAG00000015514"
"104","ENSXMAG00000015670"
"105","ENSXMAG00000015761"
"106","ENSXMAG00000015869"
"107","ENSXMAG00000015883"
"108","ENSXMAG00000015918"
"109","ENSXMAG00000016194"
"110","ENSXMAG00000016231"
"111","ENSXMAG00000016486"
"112","ENSXMAG00000016852"
"113","ENSXMAG00000016996"
"114","ENSXMAG00000017424"
"115","ENSXMAG00000017607"
"116","ENSXMAG00000017720"
"117","ENSXMAG00000018091"
"118","ENSXMAG00000018586"
"119","ENSXMAG00000018642"
"120","ENSXMAG00000019021"
"121","ENSXMAG00000019117"
"122","ENSXMAG00000019287"
"123","ENSXMAG00000019822"
"124","ENSXMAG00000020128"
"125","ENSXMAG00000020353"
