GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001609	0.0216771308271554	69.3620689655172	0.021832983841125	1	3	G protein-coupled adenosine receptor activity	ENSXMAG00000010202	adora1b
GO:0001626	0.00727766128037499	Inf	0.00727766128037498	1	1	nociceptin receptor activity	ENSXMAG00000009310	oprl1
GO:0003676	0.0021725801412346	2.46901535682023	8.97335635870236	18	1233	nucleic acid binding	ENSXMAG00000001595,ENSXMAG00000002248,ENSXMAG00000004017,ENSXMAG00000005732,ENSXMAG00000008569,ENSXMAG00000009333,ENSXMAG00000009678,ENSXMAG00000011901,ENSXMAG00000018642,ENSXMAG00000004561,ENSXMAG00000011792,ENSXMAG00000013534,ENSXMAG00000020128,ENSXMAG00000008059,ENSXMAG00000008189,ENSXMAG00000010247,ENSXMAG00000002218,ENSXMAG00000008742	bsx,BHLHE40,fosab,noto,eif3ha,hnrnpc,smarca5,hdx,ptbp2b,phc2a,ubald1b,eif4g2b,sox2,rbm4.2,TEAD3,cpeb4a,atf1,AARS2
GO:0003677	0.011343259061527	2.43991196333816	5.10891821882324	11	702	DNA binding	ENSXMAG00000001595,ENSXMAG00000002248,ENSXMAG00000004017,ENSXMAG00000005732,ENSXMAG00000009678,ENSXMAG00000011901,ENSXMAG00000004561,ENSXMAG00000011792,ENSXMAG00000020128,ENSXMAG00000008189,ENSXMAG00000002218	bsx,BHLHE40,fosab,noto,smarca5,hdx,phc2a,ubald1b,sox2,TEAD3,atf1
GO:0003682	0.0162631521146578	11.260350877193	0.196496854570125	2	27	chromatin binding	ENSXMAG00000009678,ENSXMAG00000020128	smarca5,sox2
GO:0003700	0.0300022981043666	2.74288756136511	2.36523991612187	6	325	DNA-binding transcription factor activity	ENSXMAG00000001595,ENSXMAG00000004017,ENSXMAG00000005732,ENSXMAG00000020128,ENSXMAG00000008189,ENSXMAG00000002218	bsx,fosab,noto,sox2,TEAD3,atf1
GO:0003729	0.0237934210047122	9.07413695529145	0.240162822252374	2	33	mRNA binding	ENSXMAG00000008059,ENSXMAG00000010247	rbm4.2,cpeb4a
GO:0003730	0.00327939286267354	28.2035087719298	0.0873319353644998	2	12	mRNA 3'-UTR binding	ENSXMAG00000008059,ENSXMAG00000010247	rbm4.2,cpeb4a
GO:0003743	0.0186377948305146	10.4236517218973	0.211052177130875	2	29	translation initiation factor activity	ENSXMAG00000008569,ENSXMAG00000013534	eif3ha,eif4g2b
GO:0004146	0.00727766128037499	Inf	0.00727766128037498	1	1	dihydrofolate reductase activity	ENSXMAG00000019287	zgc:153031
GO:0004463	0.00727766128037499	Inf	0.00727766128037498	1	1	leukotriene-A4 hydrolase activity	ENSXMAG00000002884	lta4h
GO:0004683	0.0428921579679317	27.7344827586207	0.0436659676822499	1	6	calmodulin-dependent protein kinase activity	ENSXMAG00000012446	camk2d2
GO:0004788	0.00727766128037499	Inf	0.00727766128037498	1	1	thiamine diphosphokinase activity	ENSXMAG00000000597	tpk1
GO:0004812	0.0237934210047122	9.07413695529145	0.240162822252374	2	33	aminoacyl-tRNA ligase activity	ENSXMAG00000013523,ENSXMAG00000008742	vars2,AARS2
GO:0004813	0.0145032494847246	138.741379310345	0.01455532256075	1	2	alanine-tRNA ligase activity	ENSXMAG00000008742	AARS2
GO:0004832	0.0145032494847246	138.741379310345	0.01455532256075	1	2	valine-tRNA ligase activity	ENSXMAG00000013523	vars2
GO:0004952	0.0216771308271554	69.3620689655172	0.021832983841125	1	3	dopamine neurotransmitter receptor activity	ENSXMAG00000008934	drd2a
GO:0004985	0.0216771308271554	69.3620689655172	0.021832983841125	1	3	G protein-coupled opioid receptor activity	ENSXMAG00000009310	oprl1
GO:0005049	0.0428921579679317	27.7344827586207	0.0436659676822499	1	6	nuclear export signal receptor activity	ENSXMAG00000011630	xpo6
GO:0005516	0.0422108517538577	6.53202774377805	0.327494757616874	2	45	calmodulin binding	ENSXMAG00000012446,ENSXMAG00000015883	camk2d2,stra6
GO:0008116	0.00727766128037499	Inf	0.00727766128037498	1	1	prostaglandin-I synthase activity	ENSXMAG00000016194	ptgis
GO:0008135	0.0372208316787021	7.02456140350877	0.305661773775749	2	42	translation factor activity, RNA binding	ENSXMAG00000008569,ENSXMAG00000013534	eif3ha,eif4g2b
GO:0008395	0.0287996689911727	46.235632183908	0.0291106451214999	1	4	steroid hydroxylase activity	ENSXMAG00000002103	cyp1d1
GO:0015174	0.0358712251468586	34.6724137931034	0.0363883064018749	1	5	basic amino acid transmembrane transporter activity	ENSXMAG00000007655	slc38a9
GO:0015175	0.0216771308271554	69.3620689655172	0.021832983841125	1	3	neutral amino acid transmembrane transporter activity	ENSXMAG00000007655	slc38a9
GO:0015179	0.0498628236486983	23.1091954022989	0.0509436289626249	1	7	L-amino acid transmembrane transporter activity	ENSXMAG00000007655	slc38a9
GO:0015181	0.0358712251468586	34.6724137931034	0.0363883064018749	1	5	arginine transmembrane transporter activity	ENSXMAG00000007655	slc38a9
GO:0015190	0.00727766128037499	Inf	0.00727766128037498	1	1	L-leucine transmembrane transporter activity	ENSXMAG00000007655	slc38a9
GO:0015658	0.0216771308271554	69.3620689655172	0.021832983841125	1	3	branched-chain amino acid transmembrane transporter activity	ENSXMAG00000007655	slc38a9
GO:0015665	0.0287996689911727	46.235632183908	0.0291106451214999	1	4	alcohol transmembrane transporter activity	ENSXMAG00000015883	stra6
GO:0016705	0.00265157748373653	7.62870813397129	0.582212902429999	4	80	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	ENSXMAG00000015514,ENSXMAG00000000363,ENSXMAG00000002103,ENSXMAG00000016194	alkbh5,kdm6bb,cyp1d1,ptgis
GO:0016706	0.0119423280618902	13.4118629908104	0.167386209448625	2	23	2-oxoglutarate-dependent dioxygenase activity	ENSXMAG00000015514,ENSXMAG00000000363	alkbh5,kdm6bb
GO:0016712	0.0498628236486983	23.1091954022989	0.0509436289626249	1	7	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	ENSXMAG00000002103	cyp1d1
