"","x"
"1","ENSXMAG00000000490"
"2","ENSXMAG00000001796"
"3","ENSXMAG00000001888"
"4","ENSXMAG00000002589"
"5","ENSXMAG00000003481"
"6","ENSXMAG00000003887"
"7","ENSXMAG00000004064"
"8","ENSXMAG00000004091"
"9","ENSXMAG00000005454"
"10","ENSXMAG00000005459"
"11","ENSXMAG00000005636"
"12","ENSXMAG00000006038"
"13","ENSXMAG00000006390"
"14","ENSXMAG00000006903"
"15","ENSXMAG00000007425"
"16","ENSXMAG00000007524"
"17","ENSXMAG00000008164"
"18","ENSXMAG00000008181"
"19","ENSXMAG00000008441"
"20","ENSXMAG00000009125"
"21","ENSXMAG00000009914"
"22","ENSXMAG00000010974"
"23","ENSXMAG00000011669"
"24","ENSXMAG00000013855"
"25","ENSXMAG00000014187"
"26","ENSXMAG00000014572"
"27","ENSXMAG00000014897"
"28","ENSXMAG00000015159"
"29","ENSXMAG00000015299"
"30","ENSXMAG00000015340"
"31","ENSXMAG00000015450"
"32","ENSXMAG00000015614"
"33","ENSXMAG00000015940"
"34","ENSXMAG00000016003"
"35","ENSXMAG00000016131"
"36","ENSXMAG00000016308"
"37","ENSXMAG00000018125"
"38","ENSXMAG00000018786"
"39","ENSXMAG00000018950"
"40","ENSXMAG00000019139"
"41","ENSXMAG00000020043"
"42","ENSXMAG00000020204"
"43","ENSXMAG00000020298"
