GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000151	0.0463605146305818	23.7083333333333	0.0473415877640204	1	25	ubiquitin ligase complex	ENSXMAG00000015159	CUL3
GO:0005622	0.00533391854147892	9.66640316205534	7.20917698470503	12	3807	intracellular anatomical structure	ENSXMAG00000002589,ENSXMAG00000009914,ENSXMAG00000015299,ENSXMAG00000018786,ENSXMAG00000020204,ENSXMAG00000004091,ENSXMAG00000006390,ENSXMAG00000007524,ENSXMAG00000009125,ENSXMAG00000011669,ENSXMAG00000014572,ENSXMAG00000006903	nop53,cdk8,prpf40a,maco1b,phax,RPL5,dnajc2,tfip11,RSBN1L,fxr2,riok1,zgc:158803
GO:0005634	0.0103485257754882	4.28998862343572	2.78747268754552	7	1472	nucleus	ENSXMAG00000002589,ENSXMAG00000015299,ENSXMAG00000018786,ENSXMAG00000020204,ENSXMAG00000007524,ENSXMAG00000009125,ENSXMAG00000006903	nop53,prpf40a,maco1b,phax,tfip11,RSBN1L,zgc:158803
GO:0005685	0.00943526457094757	142.666666666667	0.00946831755280408	1	5	U1 snRNP	ENSXMAG00000006903	zgc:158803
GO:0005791	0.00943526457094757	142.666666666667	0.00946831755280408	1	5	rough endoplasmic reticulum	ENSXMAG00000018786	maco1b
GO:0030532	0.0225066260401811	51.8257575757576	0.0227239621267298	1	12	small nuclear ribonucleoprotein complex	ENSXMAG00000006903	zgc:158803
GO:0030867	0.00755481165614347	190.25	0.00757465404224326	1	4	rough endoplasmic reticulum membrane	ENSXMAG00000018786	maco1b
GO:0031461	0.0354186058829863	31.6388888888889	0.0359796067006555	1	19	cullin-RING ubiquitin ligase complex	ENSXMAG00000015159	CUL3
GO:0031965	0.0335837276091315	33.5049019607843	0.0340859431900947	1	18	nuclear membrane	ENSXMAG00000018786	maco1b
GO:0097525	0.020649088565912	57.0166666666667	0.020830298616169	1	11	spliceosomal snRNP complex	ENSXMAG00000006903	zgc:158803
GO:0120114	0.0335837276091315	33.5049019607843	0.0340859431900947	1	18	Sm-like protein family complex	ENSXMAG00000006903	zgc:158803
GO:1990904	0.00577181398446508	10.029648241206	0.382520029133285	3	202	ribonucleoprotein complex	ENSXMAG00000004091,ENSXMAG00000007524,ENSXMAG00000006903	RPL5,tfip11,zgc:158803
