GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000149	0.00934343258722814	149.722222222222	0.00937461453065252	1	4	SNARE binding	ENSXMAG00000013855	txlng
GO:0003676	0.0174364745469907	3.26495377922784	2.88972492907364	7	1233	nucleic acid binding	ENSXMAG00000020204,ENSXMAG00000003481,ENSXMAG00000004091,ENSXMAG00000007524,ENSXMAG00000011669,ENSXMAG00000000490,ENSXMAG00000006903	phax,atxn2,RPL5,tfip11,fxr2,htatsf1,zgc:158803
GO:0003723	0.000314799841512332	8.38425082026978	1.00308375477982	6	428	RNA binding	ENSXMAG00000020204,ENSXMAG00000003481,ENSXMAG00000004091,ENSXMAG00000011669,ENSXMAG00000000490,ENSXMAG00000006903	phax,atxn2,RPL5,fxr2,htatsf1,zgc:158803
GO:0003729	0.0026313465217848	30.5768500948767	0.0773405698778833	2	33	mRNA binding	ENSXMAG00000011669,ENSXMAG00000006903	fxr2,zgc:158803
GO:0004674	0.0136875668476851	6.83333333333333	0.513260145553226	3	219	protein serine/threonine kinase activity	ENSXMAG00000007425,ENSXMAG00000009914,ENSXMAG00000014572	riok2,cdk8,riok1
GO:0005488	0.00264179688907676	Inf	13.907240656223	19	5934	binding	ENSXMAG00000007425,ENSXMAG00000009914,ENSXMAG00000015159,ENSXMAG00000015299,ENSXMAG00000015450,ENSXMAG00000016308,ENSXMAG00000020204,ENSXMAG00000003481,ENSXMAG00000004091,ENSXMAG00000006390,ENSXMAG00000007524,ENSXMAG00000008164,ENSXMAG00000011669,ENSXMAG00000013855,ENSXMAG00000014572,ENSXMAG00000014897,ENSXMAG00000000490,ENSXMAG00000006903,ENSXMAG00000015940	riok2,cdk8,CUL3,prpf40a,MTG2,rrp9,phax,atxn2,RPL5,dnajc2,tfip11,pef1,fxr2,txlng,riok1,ppm1g,htatsf1,zgc:158803,znf131
GO:0008097	0.00468210300115302	449.277777777778	0.00468730726532626	1	2	5S rRNA binding	ENSXMAG00000004091	RPL5
GO:0019843	0.0346132941387205	32.0396825396825	0.035154804489947	1	15	rRNA binding	ENSXMAG00000004091	RPL5
GO:0019905	0.00934343258722814	149.722222222222	0.00937461453065252	1	4	syntaxin binding	ENSXMAG00000013855	txlng
GO:0030544	0.0116663345717829	112.277777777778	0.0117182681633157	1	5	Hsp70 protein binding	ENSXMAG00000006390	dnajc2
GO:0031072	0.0232036498180718	49.8703703703704	0.0234365363266313	1	10	heat shock protein binding	ENSXMAG00000006390	dnajc2
GO:0031625	0.0232036498180718	49.8703703703704	0.0234365363266313	1	10	ubiquitin protein ligase binding	ENSXMAG00000015159	CUL3
GO:0043021	0.0300646711774754	37.3888888888889	0.0304674972246207	1	13	ribonucleoprotein complex binding	ENSXMAG00000006390	dnajc2
GO:0043022	0.0162966671802487	74.8333333333333	0.0164055754286419	1	7	ribosome binding	ENSXMAG00000006390	dnajc2
GO:0044389	0.0232036498180718	49.8703703703704	0.0234365363266313	1	10	ubiquitin-like protein ligase binding	ENSXMAG00000015159	CUL3
GO:0097159	0.0133820515011263	3.07874449339207	5.87788331071913	11	2508	organic cyclic compound binding	ENSXMAG00000007425,ENSXMAG00000009914,ENSXMAG00000015450,ENSXMAG00000020204,ENSXMAG00000003481,ENSXMAG00000004091,ENSXMAG00000007524,ENSXMAG00000011669,ENSXMAG00000014572,ENSXMAG00000000490,ENSXMAG00000006903	riok2,cdk8,MTG2,phax,atxn2,RPL5,tfip11,fxr2,riok1,htatsf1,zgc:158803
GO:1901363	0.0128807076064205	3.10025150905433	5.84975946712717	11	2496	heterocyclic compound binding	ENSXMAG00000007425,ENSXMAG00000009914,ENSXMAG00000015450,ENSXMAG00000020204,ENSXMAG00000003481,ENSXMAG00000004091,ENSXMAG00000007524,ENSXMAG00000011669,ENSXMAG00000014572,ENSXMAG00000000490,ENSXMAG00000006903	riok2,cdk8,MTG2,phax,atxn2,RPL5,tfip11,fxr2,riok1,htatsf1,zgc:158803
