GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000981	0.0137798928602509	6.59020475926951	0.507956087331935	3	142	DNA-binding transcription factor activity, RNA polymerase II-specific	ENSXMAG00000010113,ENSXMAG00000014973,ENSXMAG00000016469	ALX3,dlx3b,emx3
GO:0003700	0.0272964270991053	3.86641744548287	1.16257555199211	4	325	DNA-binding transcription factor activity	ENSXMAG00000005803,ENSXMAG00000010113,ENSXMAG00000014973,ENSXMAG00000016469	tfap2c,ALX3,dlx3b,emx3
GO:0003810	0.0142346487568957	96.1309523809524	0.0143086221783644	1	4	protein-glutamine gamma-glutamyltransferase activity	ENSXMAG00000019372	tgm5l
GO:0003878	0.00714195476605817	288.464285714286	0.00715431108918219	1	2	ATP citrate synthase activity	ENSXMAG00000008800	ACLY
GO:0004105	0.0106944388267346	144.214285714286	0.0107314666337733	1	3	choline-phosphate cytidylyltransferase activity	ENSXMAG00000019090	pcyt1ba
GO:0004953	0.0247820420946616	48.0476190476191	0.0250400888121377	1	7	icosanoid receptor activity	ENSXMAG00000005433	ltb4r2b
GO:0004974	0.0106944388267346	144.214285714286	0.0107314666337733	1	3	leukotriene receptor activity	ENSXMAG00000005433	ltb4r2b
GO:0005198	0.0316399346183429	4.73918269230769	0.697545331195263	3	195	structural molecule activity	ENSXMAG00000007306,ENSXMAG00000018197,ENSXMAG00000006072	cldn8.2,krt97,lim2.2
GO:0005212	0.0142346487568957	96.1309523809524	0.0143086221783644	1	4	structural constituent of eye lens	ENSXMAG00000006072	lim2.2
GO:0005372	0.0106944388267346	144.214285714286	0.0107314666337733	1	3	water transmembrane transporter activity	ENSXMAG00000019407	aqp3a
GO:0005436	0.00714195476605817	288.464285714286	0.00715431108918219	1	2	sodium:phosphate symporter activity	ENSXMAG00000008720	SLC34A1
GO:0008378	0.00357715554459159	Inf	0.00357715554459109	1	1	galactosyltransferase activity	ENSXMAG00000016863	c1galt1a
GO:0015105	0.00357715554459159	Inf	0.00357715554459109	1	1	arsenite transmembrane transporter activity	ENSXMAG00000019407	aqp3a
GO:0015144	0.0247820420946616	48.0476190476191	0.0250400888121377	1	7	carbohydrate transmembrane transporter activity	ENSXMAG00000019407	aqp3a
GO:0015166	0.00357715554459159	Inf	0.00357715554459109	1	1	polyol transmembrane transporter activity	ENSXMAG00000019407	aqp3a
GO:0015168	0.00357715554459159	Inf	0.00357715554459109	1	1	glycerol transmembrane transporter activity	ENSXMAG00000019407	aqp3a
GO:0015204	0.00714195476605817	288.464285714286	0.00715431108918219	1	2	urea transmembrane transporter activity	ENSXMAG00000019407	aqp3a
GO:0015370	0.0386758616115237	28.8142857142857	0.039348710990502	1	11	solute:sodium symporter activity	ENSXMAG00000008720	SLC34A1
GO:0016263	0.00357715554459159	Inf	0.00357715554459109	1	1	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity	ENSXMAG00000016863	c1galt1a
GO:0016755	0.0282735631785201	41.1785714285714	0.0286172443567288	1	8	aminoacyltransferase activity	ENSXMAG00000019372	tgm5l
GO:0031683	0.0282735631785201	41.1785714285714	0.0286172443567288	1	8	G-protein beta/gamma-subunit complex binding	ENSXMAG00000004946	gna14
GO:0042887	0.0142346487568957	96.1309523809524	0.0143086221783644	1	4	amide transmembrane transporter activity	ENSXMAG00000019407	aqp3a
GO:0044877	0.0343951913456338	7.40555555555556	0.29332675465647	2	82	protein-containing complex binding	ENSXMAG00000003115,ENSXMAG00000004946	scinla,gna14
GO:0045125	0.0317530133165399	36.0267857142857	0.0321943999013198	1	9	bioactive lipid receptor activity	ENSXMAG00000010359	LPAR6
GO:0046912	0.0106944388267346	144.214285714286	0.0107314666337733	1	3	acyltransferase, acyl groups converted into alkyl on transfer	ENSXMAG00000008800	ACLY
GO:0048531	0.00357715554459159	Inf	0.00357715554459109	1	1	beta-1,3-galactosyltransferase activity	ENSXMAG00000016863	c1galt1a
GO:0070567	0.0282735631785201	41.1785714285714	0.0286172443567288	1	8	cytidylyltransferase activity	ENSXMAG00000019090	pcyt1ba
GO:0070915	0.0142346487568957	96.1309523809524	0.0143086221783644	1	4	lysophosphatidic acid receptor activity	ENSXMAG00000010359	LPAR6
GO:0140103	0.0317530133165399	36.0267857142857	0.0321943999013198	1	9	catalytic activity, acting on a glycoprotein	ENSXMAG00000016863	c1galt1a
GO:0140110	0.0439673767437211	3.29582887700535	1.35216479585543	4	378	transcription regulator activity	ENSXMAG00000005803,ENSXMAG00000010113,ENSXMAG00000014973,ENSXMAG00000016469	tfap2c,ALX3,dlx3b,emx3
GO:1901618	0.0212784096889062	57.6642857142857	0.0214629332675466	1	6	organic hydroxy compound transmembrane transporter activity	ENSXMAG00000019407	aqp3a
