"","x"
"1","ENSXMAG00000000050"
"2","ENSXMAG00000000594"
"3","ENSXMAG00000001716"
"4","ENSXMAG00000001891"
"5","ENSXMAG00000002035"
"6","ENSXMAG00000003594"
"7","ENSXMAG00000003974"
"8","ENSXMAG00000004427"
"9","ENSXMAG00000006518"
"10","ENSXMAG00000008218"
"11","ENSXMAG00000008343"
"12","ENSXMAG00000009079"
"13","ENSXMAG00000009409"
"14","ENSXMAG00000009412"
"15","ENSXMAG00000010432"
"16","ENSXMAG00000011573"
"17","ENSXMAG00000011723"
"18","ENSXMAG00000011751"
"19","ENSXMAG00000012640"
"20","ENSXMAG00000013076"
"21","ENSXMAG00000014197"
"22","ENSXMAG00000014784"
"23","ENSXMAG00000015170"
"24","ENSXMAG00000015543"
"25","ENSXMAG00000015741"
"26","ENSXMAG00000016709"
"27","ENSXMAG00000017297"
"28","ENSXMAG00000017674"
"29","ENSXMAG00000018372"
"30","ENSXMAG00000019916"
"31","ENSXMAG00000020218"
"32","ENSXMAG00000020222"
"33","ENSXMAG00000020228"
"34","ENSXMAG00000020561"
"35","ENSXMAG00000020645"
"36","ENSXMAG00000020671"
"37","ENSXMAG00000020725"
