GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001503	0.0324356362481316	35.8061224489796	0.0328891409129572	1	29	ossification	ENSXMAG00000001716	shox
GO:0001704	0.0246918422527247	47.7891156462585	0.0249503827615537	1	22	formation of primary germ layer	ENSXMAG00000003974	fgf17
GO:0001706	0.0157754358898748	77.2857142857143	0.0158775163028069	1	14	endoderm formation	ENSXMAG00000003974	fgf17
GO:0001708	0.0313326845653137	37.1375661375661	0.0317550326056138	1	28	cell fate specification	ENSXMAG00000003974	fgf17
GO:0001711	0.00904140363259665	143.65306122449	0.00907286645874681	1	8	endodermal cell fate commitment	ENSXMAG00000003974	fgf17
GO:0001714	0.00904140363259665	143.65306122449	0.00907286645874681	1	8	endodermal cell fate specification	ENSXMAG00000003974	fgf17
GO:0003008	0.001358784014687	19.5314285714286	0.241565069464134	3	213	system process	ENSXMAG00000015543,ENSXMAG00000017297,ENSXMAG00000020222	OTOF,exorh,or15.37
GO:0007154	0.00138707847004103	11.7098121085595	1.63651828749646	6	1443	cell communication	ENSXMAG00000020218,ENSXMAG00000003974,ENSXMAG00000011573,ENSXMAG00000015741,ENSXMAG00000017297,ENSXMAG00000020222	lpar5b,fgf17,sv2ba,oprd1b,exorh,or15.37
GO:0007165	0.00927996950565136	6.89885728178945	1.56053303090445	5	1376	signal transduction	ENSXMAG00000020218,ENSXMAG00000003974,ENSXMAG00000015741,ENSXMAG00000017297,ENSXMAG00000020222	lpar5b,fgf17,oprd1b,exorh,or15.37
GO:0007186	0.000270430827523869	20.8819875776398	0.369719308193933	4	326	G protein-coupled receptor signaling pathway	ENSXMAG00000020218,ENSXMAG00000015741,ENSXMAG00000017297,ENSXMAG00000020222	lpar5b,oprd1b,exorh,or15.37
GO:0007492	0.0269098687686689	43.6211180124224	0.0272185993762404	1	24	endoderm development	ENSXMAG00000003974	fgf17
GO:0007498	0.0346382434728075	33.4095238095238	0.0351573575276439	1	31	mesoderm development	ENSXMAG00000003974	fgf17
GO:0007600	0.00307585672148341	31.4054054054054	0.0861922313580947	2	76	sensory perception	ENSXMAG00000017297,ENSXMAG00000020222	exorh,or15.37
GO:0007601	0.0477619882604959	23.8231292517007	0.0487666572157641	1	43	visual perception	ENSXMAG00000017297	exorh
GO:0007602	0.0235811710410551	50.1857142857143	0.0238162744542104	1	21	phototransduction	ENSXMAG00000017297	exorh
GO:0007606	0.0101665340286994	125.678571428571	0.0102069747660902	1	9	sensory perception of chemical stimulus	ENSXMAG00000020222	or15.37
GO:0007608	0.00904140363259665	143.65306122449	0.00907286645874681	1	8	sensory perception of smell	ENSXMAG00000020222	or15.37
GO:0009581	0.0324356362481316	35.8061224489796	0.0328891409129572	1	29	detection of external stimulus	ENSXMAG00000017297	exorh
GO:0009582	0.0324356362481316	35.8061224489796	0.0328891409129572	1	29	detection of abiotic stimulus	ENSXMAG00000017297	exorh
GO:0009583	0.0280172259592594	41.7976190476191	0.0283527076835838	1	25	detection of light stimulus	ENSXMAG00000017297	exorh
GO:0009593	0.00791515433995016	167.619047619048	0.00793875815140346	1	7	detection of chemical stimulus	ENSXMAG00000020222	or15.37
GO:0009605	0.0358097726518288	8.33333333333333	0.309611567904735	2	273	response to external stimulus	ENSXMAG00000015543,ENSXMAG00000017297	OTOF,exorh
GO:0009612	0.0101665340286994	125.678571428571	0.0102069747660902	1	9	response to mechanical stimulus	ENSXMAG00000015543	OTOF
GO:0009628	0.00547755879979098	23.1533333333333	0.115679047349022	2	102	response to abiotic stimulus	ENSXMAG00000015543,ENSXMAG00000017297	OTOF,exorh
GO:0009996	0.00452968354331051	335.380952380952	0.00453643322937341	1	4	negative regulation of cell fate specification	ENSXMAG00000003974	fgf17
GO:0010453	0.0101665340286994	125.678571428571	0.0102069747660902	1	9	regulation of cell fate commitment	ENSXMAG00000003974	fgf17
GO:0010454	0.00452968354331051	335.380952380952	0.00453643322937341	1	4	negative regulation of cell fate commitment	ENSXMAG00000003974	fgf17
GO:0010996	0.00339894912166427	503.142857142857	0.00340232492203005	1	3	response to auditory stimulus	ENSXMAG00000015543	OTOF
GO:0014072	0.00226709102867384	1006.42857142857	0.0022682166146867	1	2	response to isoquinoline alkaloid	ENSXMAG00000015741	oprd1b
