"","x"
"1","ENSXMAG00000000005"
"2","ENSXMAG00000000012"
"3","ENSXMAG00000000016"
"4","ENSXMAG00000000017"
"5","ENSXMAG00000000018"
"6","ENSXMAG00000000020"
"7","ENSXMAG00000000023"
"8","ENSXMAG00000000029"
"9","ENSXMAG00000000034"
"10","ENSXMAG00000000046"
"11","ENSXMAG00000000053"
"12","ENSXMAG00000000055"
"13","ENSXMAG00000000069"
"14","ENSXMAG00000000075"
"15","ENSXMAG00000000078"
"16","ENSXMAG00000000084"
"17","ENSXMAG00000000087"
"18","ENSXMAG00000000093"
"19","ENSXMAG00000000097"
"20","ENSXMAG00000000099"
"21","ENSXMAG00000000101"
"22","ENSXMAG00000000105"
"23","ENSXMAG00000000107"
"24","ENSXMAG00000000117"
"25","ENSXMAG00000000129"
"26","ENSXMAG00000000135"
"27","ENSXMAG00000000142"
"28","ENSXMAG00000000145"
"29","ENSXMAG00000000148"
"30","ENSXMAG00000000150"
"31","ENSXMAG00000000155"
"32","ENSXMAG00000000167"
"33","ENSXMAG00000000170"
"34","ENSXMAG00000000172"
"35","ENSXMAG00000000174"
"36","ENSXMAG00000000182"
"37","ENSXMAG00000000186"
"38","ENSXMAG00000000193"
"39","ENSXMAG00000000194"
"40","ENSXMAG00000000195"
"41","ENSXMAG00000000198"
"42","ENSXMAG00000000200"
"43","ENSXMAG00000000202"
"44","ENSXMAG00000000203"
"45","ENSXMAG00000000208"
"46","ENSXMAG00000000209"
"47","ENSXMAG00000000215"
"48","ENSXMAG00000000216"
"49","ENSXMAG00000000220"
"50","ENSXMAG00000000221"
"51","ENSXMAG00000000233"
"52","ENSXMAG00000000235"
"53","ENSXMAG00000000237"
"54","ENSXMAG00000000238"
"55","ENSXMAG00000000240"
"56","ENSXMAG00000000249"
"57","ENSXMAG00000000251"
"58","ENSXMAG00000000258"
"59","ENSXMAG00000000275"
"60","ENSXMAG00000000279"
"61","ENSXMAG00000000280"
"62","ENSXMAG00000000284"
"63","ENSXMAG00000000285"
"64","ENSXMAG00000000287"
"65","ENSXMAG00000000291"
"66","ENSXMAG00000000292"
"67","ENSXMAG00000000293"
"68","ENSXMAG00000000295"
"69","ENSXMAG00000000296"
"70","ENSXMAG00000000301"
"71","ENSXMAG00000000302"
"72","ENSXMAG00000000304"
"73","ENSXMAG00000000307"
"74","ENSXMAG00000000309"
"75","ENSXMAG00000000311"
"76","ENSXMAG00000000316"
"77","ENSXMAG00000000322"
"78","ENSXMAG00000000331"
"79","ENSXMAG00000000354"
"80","ENSXMAG00000000356"
"81","ENSXMAG00000000357"
"82","ENSXMAG00000000360"
"83","ENSXMAG00000000367"
"84","ENSXMAG00000000373"
"85","ENSXMAG00000000382"
"86","ENSXMAG00000000384"
"87","ENSXMAG00000000385"
"88","ENSXMAG00000000390"
"89","ENSXMAG00000000405"
"90","ENSXMAG00000000408"
"91","ENSXMAG00000000418"
"92","ENSXMAG00000000426"
"93","ENSXMAG00000000432"
"94","ENSXMAG00000000434"
"95","ENSXMAG00000000436"
"96","ENSXMAG00000000437"
"97","ENSXMAG00000000438"
"98","ENSXMAG00000000439"
"99","ENSXMAG00000000442"
"100","ENSXMAG00000000445"
"101","ENSXMAG00000000446"
"102","ENSXMAG00000000449"
"103","ENSXMAG00000000450"
"104","ENSXMAG00000000452"
"105","ENSXMAG00000000457"
"106","ENSXMAG00000000470"
"107","ENSXMAG00000000472"
"108","ENSXMAG00000000495"
"109","ENSXMAG00000000504"
"110","ENSXMAG00000000510"
"111","ENSXMAG00000000514"
"112","ENSXMAG00000000522"
"113","ENSXMAG00000000524"
"114","ENSXMAG00000000525"
"115","ENSXMAG00000000531"
"116","ENSXMAG00000000533"
"117","ENSXMAG00000000552"
"118","ENSXMAG00000000554"
"119","ENSXMAG00000000566"
"120","ENSXMAG00000000571"
"121","ENSXMAG00000000573"
"122","ENSXMAG00000000575"
"123","ENSXMAG00000000576"
"124","ENSXMAG00000000580"
"125","ENSXMAG00000000584"
"126","ENSXMAG00000000585"
"127","ENSXMAG00000000588"
"128","ENSXMAG00000000592"
"129","ENSXMAG00000000593"
"130","ENSXMAG00000000599"
"131","ENSXMAG00000000618"
"132","ENSXMAG00000000621"
"133","ENSXMAG00000000634"
"134","ENSXMAG00000000654"
"135","ENSXMAG00000000676"
"136","ENSXMAG00000000677"
"137","ENSXMAG00000000680"
"138","ENSXMAG00000000682"
"139","ENSXMAG00000000696"
"140","ENSXMAG00000000698"
"141","ENSXMAG00000000702"
"142","ENSXMAG00000000719"
"143","ENSXMAG00000000724"
"144","ENSXMAG00000000725"
"145","ENSXMAG00000000727"
"146","ENSXMAG00000000746"
"147","ENSXMAG00000000749"
"148","ENSXMAG00000000753"
"149","ENSXMAG00000000761"
"150","ENSXMAG00000000762"
"151","ENSXMAG00000000771"
"152","ENSXMAG00000000778"
"153","ENSXMAG00000000784"
"154","ENSXMAG00000000785"
"155","ENSXMAG00000000791"
"156","ENSXMAG00000000800"
"157","ENSXMAG00000000802"
"158","ENSXMAG00000000803"
"159","ENSXMAG00000000807"
"160","ENSXMAG00000000831"
"161","ENSXMAG00000000833"
"162","ENSXMAG00000000840"
"163","ENSXMAG00000000843"
"164","ENSXMAG00000000853"
"165","ENSXMAG00000000854"
"166","ENSXMAG00000000858"
"167","ENSXMAG00000000861"
"168","ENSXMAG00000000862"
"169","ENSXMAG00000000866"
"170","ENSXMAG00000000883"
"171","ENSXMAG00000000900"
"172","ENSXMAG00000000901"
"173","ENSXMAG00000000904"
"174","ENSXMAG00000000906"
"175","ENSXMAG00000000919"
"176","ENSXMAG00000000920"
"177","ENSXMAG00000000925"
"178","ENSXMAG00000000929"
"179","ENSXMAG00000000931"
"180","ENSXMAG00000000950"
"181","ENSXMAG00000000956"
"182","ENSXMAG00000000957"
"183","ENSXMAG00000000958"
"184","ENSXMAG00000000968"
"185","ENSXMAG00000000974"
"186","ENSXMAG00000000975"
"187","ENSXMAG00000000976"
"188","ENSXMAG00000000982"
"189","ENSXMAG00000000992"
"190","ENSXMAG00000000995"
"191","ENSXMAG00000000996"
"192","ENSXMAG00000001002"
"193","ENSXMAG00000001004"
"194","ENSXMAG00000001011"
"195","ENSXMAG00000001012"
"196","ENSXMAG00000001014"
"197","ENSXMAG00000001028"
"198","ENSXMAG00000001041"
"199","ENSXMAG00000001042"
"200","ENSXMAG00000001043"
"201","ENSXMAG00000001044"
"202","ENSXMAG00000001045"
"203","ENSXMAG00000001054"
"204","ENSXMAG00000001055"
"205","ENSXMAG00000001057"
"206","ENSXMAG00000001058"
"207","ENSXMAG00000001066"
"208","ENSXMAG00000001079"
"209","ENSXMAG00000001082"
"210","ENSXMAG00000001095"
"211","ENSXMAG00000001113"
"212","ENSXMAG00000001114"
"213","ENSXMAG00000001121"
"214","ENSXMAG00000001124"
"215","ENSXMAG00000001125"
"216","ENSXMAG00000001127"
"217","ENSXMAG00000001139"
"218","ENSXMAG00000001140"
"219","ENSXMAG00000001141"
"220","ENSXMAG00000001149"
"221","ENSXMAG00000001152"
"222","ENSXMAG00000001157"
"223","ENSXMAG00000001161"
"224","ENSXMAG00000001177"
"225","ENSXMAG00000001178"
"226","ENSXMAG00000001183"
"227","ENSXMAG00000001194"
"228","ENSXMAG00000001196"
"229","ENSXMAG00000001200"
"230","ENSXMAG00000001208"
"231","ENSXMAG00000001219"
"232","ENSXMAG00000001222"
"233","ENSXMAG00000001225"
"234","ENSXMAG00000001228"
"235","ENSXMAG00000001231"
"236","ENSXMAG00000001234"
"237","ENSXMAG00000001236"
"238","ENSXMAG00000001243"
"239","ENSXMAG00000001245"
"240","ENSXMAG00000001247"
"241","ENSXMAG00000001249"
"242","ENSXMAG00000001250"
"243","ENSXMAG00000001256"
"244","ENSXMAG00000001258"
"245","ENSXMAG00000001260"
"246","ENSXMAG00000001264"
"247","ENSXMAG00000001281"
"248","ENSXMAG00000001282"
"249","ENSXMAG00000001288"
"250","ENSXMAG00000001294"
"251","ENSXMAG00000001299"
"252","ENSXMAG00000001305"
"253","ENSXMAG00000001313"
"254","ENSXMAG00000001319"
"255","ENSXMAG00000001321"
"256","ENSXMAG00000001325"
"257","ENSXMAG00000001336"
"258","ENSXMAG00000001345"
"259","ENSXMAG00000001355"
"260","ENSXMAG00000001361"
"261","ENSXMAG00000001365"
"262","ENSXMAG00000001379"
"263","ENSXMAG00000001385"
"264","ENSXMAG00000001391"
"265","ENSXMAG00000001394"
"266","ENSXMAG00000001400"
"267","ENSXMAG00000001401"
"268","ENSXMAG00000001405"
"269","ENSXMAG00000001411"
"270","ENSXMAG00000001415"
"271","ENSXMAG00000001419"
"272","ENSXMAG00000001420"
"273","ENSXMAG00000001423"
"274","ENSXMAG00000001427"
"275","ENSXMAG00000001430"
"276","ENSXMAG00000001435"
"277","ENSXMAG00000001440"
"278","ENSXMAG00000001442"
"279","ENSXMAG00000001447"
"280","ENSXMAG00000001449"
"281","ENSXMAG00000001451"
"282","ENSXMAG00000001457"
"283","ENSXMAG00000001462"
"284","ENSXMAG00000001467"
"285","ENSXMAG00000001471"
"286","ENSXMAG00000001476"
"287","ENSXMAG00000001479"
"288","ENSXMAG00000001481"
"289","ENSXMAG00000001484"
"290","ENSXMAG00000001487"
"291","ENSXMAG00000001488"
"292","ENSXMAG00000001507"
"293","ENSXMAG00000001509"
"294","ENSXMAG00000001516"
"295","ENSXMAG00000001522"
"296","ENSXMAG00000001523"
"297","ENSXMAG00000001530"
"298","ENSXMAG00000001540"
"299","ENSXMAG00000001544"
"300","ENSXMAG00000001546"
"301","ENSXMAG00000001547"
"302","ENSXMAG00000001554"
"303","ENSXMAG00000001555"
"304","ENSXMAG00000001560"
"305","ENSXMAG00000001567"
"306","ENSXMAG00000001578"
"307","ENSXMAG00000001601"
"308","ENSXMAG00000001603"
"309","ENSXMAG00000001607"
"310","ENSXMAG00000001609"
"311","ENSXMAG00000001610"
"312","ENSXMAG00000001637"
"313","ENSXMAG00000001638"
"314","ENSXMAG00000001639"
"315","ENSXMAG00000001646"
"316","ENSXMAG00000001647"
"317","ENSXMAG00000001651"
"318","ENSXMAG00000001654"
"319","ENSXMAG00000001667"
"320","ENSXMAG00000001676"
"321","ENSXMAG00000001681"
"322","ENSXMAG00000001688"
"323","ENSXMAG00000001693"
"324","ENSXMAG00000001695"
"325","ENSXMAG00000001704"
"326","ENSXMAG00000001711"
"327","ENSXMAG00000001722"
"328","ENSXMAG00000001729"
"329","ENSXMAG00000001733"
"330","ENSXMAG00000001735"
"331","ENSXMAG00000001745"
"332","ENSXMAG00000001746"
"333","ENSXMAG00000001747"
"334","ENSXMAG00000001748"
"335","ENSXMAG00000001758"
"336","ENSXMAG00000001759"
"337","ENSXMAG00000001765"
"338","ENSXMAG00000001774"
"339","ENSXMAG00000001777"
"340","ENSXMAG00000001778"
"341","ENSXMAG00000001780"
"342","ENSXMAG00000001781"
"343","ENSXMAG00000001785"
"344","ENSXMAG00000001788"
"345","ENSXMAG00000001792"
"346","ENSXMAG00000001797"
"347","ENSXMAG00000001799"
"348","ENSXMAG00000001802"
"349","ENSXMAG00000001806"
"350","ENSXMAG00000001807"
"351","ENSXMAG00000001812"
"352","ENSXMAG00000001816"
"353","ENSXMAG00000001817"
"354","ENSXMAG00000001821"
"355","ENSXMAG00000001834"
"356","ENSXMAG00000001839"
"357","ENSXMAG00000001841"
"358","ENSXMAG00000001843"
"359","ENSXMAG00000001845"
"360","ENSXMAG00000001857"
"361","ENSXMAG00000001860"
"362","ENSXMAG00000001864"
"363","ENSXMAG00000001865"
"364","ENSXMAG00000001871"
"365","ENSXMAG00000001877"
"366","ENSXMAG00000001881"
"367","ENSXMAG00000001882"
"368","ENSXMAG00000001889"
"369","ENSXMAG00000001894"
"370","ENSXMAG00000001895"
"371","ENSXMAG00000001896"
"372","ENSXMAG00000001898"
"373","ENSXMAG00000001900"
"374","ENSXMAG00000001901"
"375","ENSXMAG00000001903"
"376","ENSXMAG00000001904"
"377","ENSXMAG00000001912"
"378","ENSXMAG00000001927"
"379","ENSXMAG00000001933"
"380","ENSXMAG00000001940"
"381","ENSXMAG00000001949"
"382","ENSXMAG00000001950"
"383","ENSXMAG00000001964"
"384","ENSXMAG00000001966"
"385","ENSXMAG00000001969"
"386","ENSXMAG00000001973"
"387","ENSXMAG00000001980"
"388","ENSXMAG00000001992"
"389","ENSXMAG00000001997"
"390","ENSXMAG00000002008"
"391","ENSXMAG00000002010"
"392","ENSXMAG00000002017"
"393","ENSXMAG00000002022"
"394","ENSXMAG00000002024"
"395","ENSXMAG00000002026"
"396","ENSXMAG00000002031"
"397","ENSXMAG00000002036"
"398","ENSXMAG00000002038"
"399","ENSXMAG00000002040"
"400","ENSXMAG00000002044"
"401","ENSXMAG00000002046"
"402","ENSXMAG00000002048"
"403","ENSXMAG00000002057"
"404","ENSXMAG00000002076"
"405","ENSXMAG00000002084"
"406","ENSXMAG00000002085"
"407","ENSXMAG00000002106"
"408","ENSXMAG00000002109"
"409","ENSXMAG00000002111"
"410","ENSXMAG00000002113"
"411","ENSXMAG00000002115"
