GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001527	0.0436091403134375	Inf	0.417771303714494	2	2	microfibril	ENSXMAG00000002249,ENSXMAG00000016681	FBN1,MFAP2
GO:0002102	0.0307044000586264	11.3836477987421	0.835542607428988	3	4	podosome	ENSXMAG00000000382,ENSXMAG00000010441,ENSXMAG00000015558	dbnla,vcla,vclb
GO:0005576	6.77029079471384e-05	1.58282109349725	82.5098324836125	114	395	extracellular region	ENSXMAG00000000284,ENSXMAG00000000354,ENSXMAG00000000677,ENSXMAG00000000682,ENSXMAG00000000785,ENSXMAG00000000925,ENSXMAG00000001177,ENSXMAG00000001821,ENSXMAG00000002010,ENSXMAG00000002179,ENSXMAG00000002785,ENSXMAG00000003209,ENSXMAG00000004024,ENSXMAG00000004055,ENSXMAG00000004643,ENSXMAG00000005131,ENSXMAG00000006650,ENSXMAG00000006746,ENSXMAG00000007790,ENSXMAG00000007799,ENSXMAG00000007930,ENSXMAG00000008324,ENSXMAG00000008874,ENSXMAG00000009006,ENSXMAG00000009137,ENSXMAG00000009205,ENSXMAG00000009998,ENSXMAG00000010121,ENSXMAG00000010254,ENSXMAG00000010309,ENSXMAG00000010463,ENSXMAG00000010470,ENSXMAG00000010485,ENSXMAG00000011257,ENSXMAG00000011418,ENSXMAG00000012321,ENSXMAG00000014013,ENSXMAG00000014250,ENSXMAG00000014880,ENSXMAG00000015141,ENSXMAG00000015155,ENSXMAG00000016415,ENSXMAG00000016470,ENSXMAG00000016530,ENSXMAG00000017061,ENSXMAG00000017786,ENSXMAG00000018333,ENSXMAG00000018396,ENSXMAG00000018426,ENSXMAG00000018691,ENSXMAG00000019046,ENSXMAG00000019254,ENSXMAG00000000233,ENSXMAG00000001149,ENSXMAG00000001806,ENSXMAG00000002408,ENSXMAG00000002628,ENSXMAG00000003815,ENSXMAG00000003970,ENSXMAG00000004388,ENSXMAG00000006011,ENSXMAG00000006331,ENSXMAG00000006360,ENSXMAG00000007191,ENSXMAG00000007226,ENSXMAG00000007775,ENSXMAG00000008075,ENSXMAG00000010221,ENSXMAG00000013055,ENSXMAG00000013814,ENSXMAG00000013888,ENSXMAG00000014279,ENSXMAG00000014607,ENSXMAG00000015415,ENSXMAG00000015574,ENSXMAG00000016121,ENSXMAG00000017714,ENSXMAG00000019533,ENSXMAG00000000495,ENSXMAG00000001765,ENSXMAG00000005343,ENSXMAG00000005549,ENSXMAG00000006156,ENSXMAG00000007513,ENSXMAG00000007673,ENSXMAG00000008784,ENSXMAG00000009527,ENSXMAG00000010263,ENSXMAG00000010465,ENSXMAG00000012850,ENSXMAG00000013581,ENSXMAG00000014506,ENSXMAG00000014713,ENSXMAG00000015109,ENSXMAG00000015364,ENSXMAG00000015394,ENSXMAG00000016163,ENSXMAG00000016681,ENSXMAG00000017893,ENSXMAG00000017900,ENSXMAG00000018904,ENSXMAG00000019113,ENSXMAG00000019256,ENSXMAG00000019671,ENSXMAG00000000279,ENSXMAG00000002618,ENSXMAG00000006373,ENSXMAG00000008749,ENSXMAG00000009523,ENSXMAG00000012949,ENSXMAG00000013819,ENSXMAG00000014265,ENSXMAG00000014441,ENSXMAG00000018601	COL12A1,pcolcea,OLFM3,tfpi2,PAMR1,proza,ADAMTS17,fn1a,serpinb1l3,scg3,prrg2,THBS2,tmprss13b,fstl1b,zgc:173556,adm2a,NID1,frzb,mmp2,igfbp5a,lgi1b,tmem98,hpn,C1QTNF2,ADAMTS1,tnfsf10,bmp3,SOGA3,dkk2,fbln1,sfrp1a,loxl2b,aspn,ccn1,hgfa,adamts15a,serpinh1a,htra1b,il17d,igfbp7,ADAMTS14,dpt,c7b,sema3fa,EGFLAM,apoda.1,htra1a,prrg1,alkal1,PXDN,ADAMTS6,sparc,NBL1,tgfb1a,MSMP,slit1a,pcolce2b,GREM2,TGFB3,HGF,bmp6,igfbp3,GLIPR1,RELN,THBS1,vwc2,lipg,lipia,ndnf,wnt11,CPXM1,ntn4,sxph,gal,zpax1,nog2,STC2,C4orf48,scube1,ADA2,f2,wnt7aa,clu,ntn2,igfbp6b,WNT8A,rln3b,apln,inhbab,tgfb3,ndr2,AEBP1,spon1b,uts2a,MFAP2,spaw,tcn2,nrg2b,pros1,NXPH2,CD109,pyya,il34,spon2b,wnt16,npb,gcga,rln3a,PLAT,apoeb
GO:0005581	0.000782938911698062	7.61150070126227	2.50662782228696	8	12	collagen trimer	ENSXMAG00000000284,ENSXMAG00000000807,ENSXMAG00000008006,ENSXMAG00000012380,ENSXMAG00000018799,ENSXMAG00000002243,ENSXMAG00000004856,ENSXMAG00000009740	COL12A1,COL6A6,colec11,COL4A1,col28a1b,COLEC12,col28a2a,si:ch211-93i7.4
GO:0005604	0.0234206058550142	4.74720083974808	1.87997086671522	5	9	basement membrane	ENSXMAG00000006650,ENSXMAG00000012380,ENSXMAG00000016442,ENSXMAG00000019254,ENSXMAG00000012335	NID1,COL4A1,lamb2,sparc,HSPG2
GO:0005886	0.0185668566015731	1.20072771376592	185.699344501092	210	889	plasma membrane	ENSXMAG00000000012,ENSXMAG00000000470,ENSXMAG00000000919,ENSXMAG00000000931,ENSXMAG00000001095,ENSXMAG00000001127,ENSXMAG00000001141,ENSXMAG00000001157,ENSXMAG00000001249,ENSXMAG00000001695,ENSXMAG00000001711,ENSXMAG00000001857,ENSXMAG00000001882,ENSXMAG00000001997,ENSXMAG00000002295,ENSXMAG00000002413,ENSXMAG00000002566,ENSXMAG00000002600,ENSXMAG00000002955,ENSXMAG00000003277,ENSXMAG00000004007,ENSXMAG00000004235,ENSXMAG00000004242,ENSXMAG00000004371,ENSXMAG00000004643,ENSXMAG00000005624,ENSXMAG00000005676,ENSXMAG00000006227,ENSXMAG00000006344,ENSXMAG00000007146,ENSXMAG00000007197,ENSXMAG00000007610,ENSXMAG00000007759,ENSXMAG00000008324,ENSXMAG00000008554,ENSXMAG00000008588,ENSXMAG00000008649,ENSXMAG00000008839,ENSXMAG00000009153,ENSXMAG00000009512,ENSXMAG00000009592,ENSXMAG00000009787,ENSXMAG00000009982,ENSXMAG00000010192,ENSXMAG00000010441,ENSXMAG00000010444,ENSXMAG00000010490,ENSXMAG00000010902,ENSXMAG00000010944,ENSXMAG00000011004,ENSXMAG00000011036,ENSXMAG00000011178,ENSXMAG00000011562,ENSXMAG00000011851,ENSXMAG00000012780,ENSXMAG00000013193,ENSXMAG00000013494,ENSXMAG00000013821,ENSXMAG00000014052,ENSXMAG00000014365,ENSXMAG00000015476,ENSXMAG00000015558,ENSXMAG00000015733,ENSXMAG00000016083,ENSXMAG00000016316,ENSXMAG00000016470,ENSXMAG00000016482,ENSXMAG00000017176,ENSXMAG00000017529,ENSXMAG00000018793,ENSXMAG00000019535,ENSXMAG00000019630,ENSXMAG00000019716,ENSXMAG00000019997,ENSXMAG00000020027,ENSXMAG00000020196,ENSXMAG00000020275,ENSXMAG00000020359,ENSXMAG00000000055,ENSXMAG00000001043,ENSXMAG00000001540,ENSXMAG00000002363,ENSXMAG00000002912,ENSXMAG00000002968,ENSXMAG00000002988,ENSXMAG00000003022,ENSXMAG00000003524,ENSXMAG00000003829,ENSXMAG00000004079,ENSXMAG00000004214,ENSXMAG00000004673,ENSXMAG00000004882,ENSXMAG00000004948,ENSXMAG00000005273,ENSXMAG00000005838,ENSXMAG00000005926,ENSXMAG00000006066,ENSXMAG00000006154,ENSXMAG00000006463,ENSXMAG00000006533,ENSXMAG00000007385,ENSXMAG00000008163,ENSXMAG00000008306,ENSXMAG00000008463,ENSXMAG00000009000,ENSXMAG00000009105,ENSXMAG00000009513,ENSXMAG00000009518,ENSXMAG00000009948,ENSXMAG00000010464,ENSXMAG00000010697,ENSXMAG00000011092,ENSXMAG00000011191,ENSXMAG00000011265,ENSXMAG00000011615,ENSXMAG00000012019,ENSXMAG00000012113,ENSXMAG00000012381,ENSXMAG00000012925,ENSXMAG00000012966,ENSXMAG00000013366,ENSXMAG00000013646,ENSXMAG00000013675,ENSXMAG00000013762,ENSXMAG00000014274,ENSXMAG00000014297,ENSXMAG00000014306,ENSXMAG00000014457,ENSXMAG00000014533,ENSXMAG00000015770,ENSXMAG00000016712,ENSXMAG00000016744,ENSXMAG00000016798,ENSXMAG00000016932,ENSXMAG00000017591,ENSXMAG00000017644,ENSXMAG00000017689,ENSXMAG00000018348,ENSXMAG00000018457,ENSXMAG00000018764,ENSXMAG00000018788,ENSXMAG00000018941,ENSXMAG00000019347,ENSXMAG00000019464,ENSXMAG00000019863,ENSXMAG00000019945,ENSXMAG00000019951,ENSXMAG00000020055,ENSXMAG00000020230,ENSXMAG00000000018,ENSXMAG00000002115,ENSXMAG00000002814,ENSXMAG00000002941,ENSXMAG00000003393,ENSXMAG00000004048,ENSXMAG00000004259,ENSXMAG00000006003,ENSXMAG00000006106,ENSXMAG00000007020,ENSXMAG00000007496,ENSXMAG00000007694,ENSXMAG00000007717,ENSXMAG00000008492,ENSXMAG00000008865,ENSXMAG00000009263,ENSXMAG00000010988,ENSXMAG00000011009,ENSXMAG00000011164,ENSXMAG00000011728,ENSXMAG00000011865,ENSXMAG00000011951,ENSXMAG00000012116,ENSXMAG00000012791,ENSXMAG00000012814,ENSXMAG00000012971,ENSXMAG00000012982,ENSXMAG00000014291,ENSXMAG00000015634,ENSXMAG00000015901,ENSXMAG00000016284,ENSXMAG00000017758,ENSXMAG00000017879,ENSXMAG00000017974,ENSXMAG00000019488,ENSXMAG00000019722,ENSXMAG00000019815,ENSXMAG00000020215,ENSXMAG00000020329,ENSXMAG00000000680,ENSXMAG00000001379,ENSXMAG00000001845,ENSXMAG00000002276,ENSXMAG00000004208,ENSXMAG00000004545,ENSXMAG00000008393,ENSXMAG00000008883,ENSXMAG00000008904,ENSXMAG00000009676,ENSXMAG00000010158,ENSXMAG00000011526,ENSXMAG00000011578,ENSXMAG00000015247,ENSXMAG00000016186,ENSXMAG00000017350,ENSXMAG00000017676,ENSXMAG00000018106,ENSXMAG00000018901,ENSXMAG00000019460,ENSXMAG00000019501,ENSXMAG00000019798	MADD,ADRB2,gprc5ba,xkr4,ltb4r2a,il2rb,sgcg,vangl2,ada,slc7a8a,GABRG2,adgra2,stom,si:ch211-251b21.1,ESYT1,nf2a,CNNM1,cldn19,MYOF,notch1b,mxra8a,ap2s1,CACNB4,atp1b3a,zgc:173556,unc5b,htr2b,slc23a1,ADCYAP1R1,trpc4b,slc9a3.2,myo6a,MYPN,tmem98,pdgfrb,csf1ra,itgb3a,CDC42,slc6a6b,fgfr2,ednraa,unc5a,pkd2,hcrtr2,vcla,JPH1,hdr,l1cama,cryaba,itga9,cacna1c,erbb3b,nherf1a,chrne,SCN4A,kdrl,EPHA3,dpp4,rnf34b,pdgfra,PTK2,vclb,slc8a1a,spire2,NFASC,c7b,egfra,gng5,cltrn,fat1a,gpr182,cnr1,ACKR4,s1pr5a,gas1b,ccr12a,P2RY1,gas1a,ADGRD1,AP2A2,ITGA4,ESYT2,prkcq,STAC2,slc28a1,cdhr1a,plgrkt,gja5a,PKN2,ephb3a,ADGRL3,cdh5,LRRC8C,EPHB3,AXL,cavin2b,cdk5r2a,cftr,VIPR2,ephb4b,gja4,epha4a,slco1c1,adra1bb,zgc:91890,vipr1b,gper1,PCDH7,kirrel3l,cldn15a,lhcgr,MCOLN3,tie1,scn1laa,appb,fat3a,agrn,notch2,GRIN2C,GPR37L1,nlgn2a,chrnb1,gja10a,ITGA8,nf2b,cdh12a,met,cavin1b,hycc2,dsc2l,NTRK2,pcdh18b,adcyap1r1a,glra3,ITGA7,chrm2a,FAT4,EVC,rffl,fgfr4,NPY2R,KCNS1,KCNA3,paqr7b,s1pr3a,s1pr2,ackr4b,lpar6a,KCNA4,ptpra,SLC6A15,gap43,PLXNB3,ptk2bb,bmpr1aa,bbs2,robo3,cdh2,TJP1,si:dkey-221l4.10,p2rx2,GJC1,ptger1b,gabra6a,cacna1sb,itgb1a,naalad2,GPR158,DSCAML1,slc9a5,cldn15b,ADGRB1,mxra8b,CASR,ATP6V1A,sgcb,nkain4,GRIA2,PTPRE,mtnr1bb,FNBP1,GRM4,adra2da,paqr8,s1pr5b,adra2a,gpr3,CALCR,KCNB1,GBA2,cacnb2a,GABRA5,pcdh8,or30bu2,tmem147,vezt,flt4,ITGA2,gria3a,slc52a3,aplnra,cacnb3a,grm5a,mcoln2,tas1r1,kcna2b,npy7r,s1pr1
GO:0005912	0.0389132806438225	3.79706088173548	2.08885651857247	5	10	adherens junction	ENSXMAG00000010441,ENSXMAG00000015558,ENSXMAG00000017157,ENSXMAG00000019513,ENSXMAG00000008904	vcla,vclb,ssx2ipa,ccdc85b,vezt
GO:0030312	0.000232523065480032	3.43919491525424	7.93765477057538	18	38	external encapsulating structure	ENSXMAG00000001821,ENSXMAG00000002249,ENSXMAG00000004643,ENSXMAG00000006650,ENSXMAG00000007790,ENSXMAG00000009137,ENSXMAG00000012321,ENSXMAG00000012380,ENSXMAG00000012509,ENSXMAG00000016442,ENSXMAG00000019254,ENSXMAG00000003843,ENSXMAG00000004942,ENSXMAG00000004709,ENSXMAG00000012335,ENSXMAG00000013737,ENSXMAG00000016681,ENSXMAG00000001547	fn1a,FBN1,zgc:173556,NID1,mmp2,ADAMTS1,adamts15a,COL4A1,MMP23B,lamb2,sparc,MMP15,MMP24,HSPG2,MMP11,MFAP2,mmp14a
GO:0031011	0.0197953068078036	7.59300699300699	1.25331391114348	4	6	Ino80 complex	ENSXMAG00000006742,ENSXMAG00000002691,ENSXMAG00000005219,ENSXMAG00000010963	ino80,uchl5,mcrs1,ino80e
GO:0031012	0.000232523065480032	3.43919491525424	7.93765477057538	18	38	extracellular matrix	ENSXMAG00000001821,ENSXMAG00000002249,ENSXMAG00000004643,ENSXMAG00000006650,ENSXMAG00000007790,ENSXMAG00000009137,ENSXMAG00000012321,ENSXMAG00000012380,ENSXMAG00000012509,ENSXMAG00000016442,ENSXMAG00000019254,ENSXMAG00000003843,ENSXMAG00000004942,ENSXMAG00000004709,ENSXMAG00000012335,ENSXMAG00000013737,ENSXMAG00000016681,ENSXMAG00000001547	fn1a,FBN1,zgc:173556,NID1,mmp2,ADAMTS1,adamts15a,COL4A1,MMP23B,lamb2,sparc,MMP15,MMP24,HSPG2,MMP11,MFAP2,mmp14a
