"","x"
"1","ENSXMAG00000001116"
"2","ENSXMAG00000001539"
"3","ENSXMAG00000003026"
"4","ENSXMAG00000006166"
"5","ENSXMAG00000010319"
"6","ENSXMAG00000010411"
"7","ENSXMAG00000013111"
"8","ENSXMAG00000013126"
"9","ENSXMAG00000014160"
"10","ENSXMAG00000015926"
"11","ENSXMAG00000016065"
"12","ENSXMAG00000016463"
"13","ENSXMAG00000016849"
"14","ENSXMAG00000019170"
"15","ENSXMAG00000019346"
"16","ENSXMAG00000019481"
"17","ENSXMAG00000019627"
"18","ENSXMAG00000020119"
"19","ENSXMAG00000020221"
"20","ENSXMAG00000020326"
"21","ENSXMAG00000020333"
"22","ENSXMAG00000020529"
"23","ENSXMAG00000020569"
"24","ENSXMAG00000020650"
"25","ENSXMAG00000020743"
