"","x"
"1","ENSXMAG00000000009"
"2","ENSXMAG00000000013"
"3","ENSXMAG00000000096"
"4","ENSXMAG00000000118"
"5","ENSXMAG00000000214"
"6","ENSXMAG00000000300"
"7","ENSXMAG00000000314"
"8","ENSXMAG00000000366"
"9","ENSXMAG00000000476"
"10","ENSXMAG00000000551"
"11","ENSXMAG00000000591"
"12","ENSXMAG00000000658"
"13","ENSXMAG00000000794"
"14","ENSXMAG00000000813"
"15","ENSXMAG00000000859"
"16","ENSXMAG00000001101"
"17","ENSXMAG00000001144"
"18","ENSXMAG00000001147"
"19","ENSXMAG00000001150"
"20","ENSXMAG00000001171"
"21","ENSXMAG00000001314"
"22","ENSXMAG00000001352"
"23","ENSXMAG00000001418"
"24","ENSXMAG00000001491"
"25","ENSXMAG00000001493"
"26","ENSXMAG00000001506"
"27","ENSXMAG00000001512"
"28","ENSXMAG00000001525"
"29","ENSXMAG00000001527"
"30","ENSXMAG00000001543"
"31","ENSXMAG00000001570"
"32","ENSXMAG00000001591"
"33","ENSXMAG00000001600"
"34","ENSXMAG00000001625"
"35","ENSXMAG00000001656"
"36","ENSXMAG00000001724"
"37","ENSXMAG00000001829"
"38","ENSXMAG00000001852"
"39","ENSXMAG00000001868"
"40","ENSXMAG00000001883"
"41","ENSXMAG00000001939"
"42","ENSXMAG00000002032"
"43","ENSXMAG00000002157"
"44","ENSXMAG00000002302"
"45","ENSXMAG00000002386"
"46","ENSXMAG00000002421"
"47","ENSXMAG00000002565"
"48","ENSXMAG00000002577"
"49","ENSXMAG00000002605"
"50","ENSXMAG00000002656"
"51","ENSXMAG00000002666"
"52","ENSXMAG00000002701"
"53","ENSXMAG00000002712"
"54","ENSXMAG00000002806"
"55","ENSXMAG00000002866"
"56","ENSXMAG00000002924"
"57","ENSXMAG00000002927"
"58","ENSXMAG00000002994"
"59","ENSXMAG00000003002"
"60","ENSXMAG00000003019"
"61","ENSXMAG00000003020"
"62","ENSXMAG00000003073"
"63","ENSXMAG00000003082"
"64","ENSXMAG00000003108"
"65","ENSXMAG00000003120"
"66","ENSXMAG00000003236"
"67","ENSXMAG00000003352"
"68","ENSXMAG00000003528"
"69","ENSXMAG00000003530"
"70","ENSXMAG00000003627"
"71","ENSXMAG00000003638"
"72","ENSXMAG00000003684"
"73","ENSXMAG00000003869"
"74","ENSXMAG00000003895"
"75","ENSXMAG00000003896"
"76","ENSXMAG00000003915"
"77","ENSXMAG00000003945"
"78","ENSXMAG00000003984"
"79","ENSXMAG00000004022"
"80","ENSXMAG00000004160"
"81","ENSXMAG00000004168"
"82","ENSXMAG00000004171"
"83","ENSXMAG00000004192"
"84","ENSXMAG00000004194"
"85","ENSXMAG00000004234"
