GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0002221	0.0101691381507169	15.9059633027523	0.15735752764389	2	10	pattern recognition receptor signaling pathway	ENSXMAG00000020395,ENSXMAG00000008414	tlr22,tlr1
GO:0002224	0.00645885556036578	21.2140672782875	0.125886022115112	2	8	toll-like receptor signaling pathway	ENSXMAG00000020395,ENSXMAG00000008414	tlr22,tlr1
GO:0002250	0.000200517546044692	38.5444444444444	0.125886022115112	3	8	adaptive immune response	ENSXMAG00000000300,ENSXMAG00000016406,ENSXMAG00000009665	BTK,c6,tec
GO:0002252	0.0146120685743367	12.7211009174312	0.188829033172668	2	12	immune effector process	ENSXMAG00000006858,ENSXMAG00000016406	cxcr3.2,c6
GO:0002253	0.0101691381507169	15.9059633027523	0.15735752764389	2	10	activation of immune response	ENSXMAG00000016406,ENSXMAG00000006774	c6,cd79a
GO:0002263	0.0157357527643885	Inf	0.015735752764389	1	1	cell activation involved in immune response	ENSXMAG00000006858	cxcr3.2
GO:0002275	0.0157357527643885	Inf	0.015735752764389	1	1	myeloid cell activation involved in immune response	ENSXMAG00000006858	cxcr3.2
GO:0002281	0.0157357527643885	Inf	0.015735752764389	1	1	macrophage activation involved in immune response	ENSXMAG00000006858	cxcr3.2
GO:0002320	0.0312260875783902	63.1090909090909	0.031471505528778	1	2	lymphoid progenitor cell differentiation	ENSXMAG00000017015	irf4a
GO:0002366	0.0157357527643885	Inf	0.015735752764389	1	1	leukocyte activation involved in immune response	ENSXMAG00000006858	cxcr3.2
GO:0002376	5.82538010999967e-13	8.08793856346936	3.98114544939042	24	253	immune system process	ENSXMAG00000003082,ENSXMAG00000006858,ENSXMAG00000011352,ENSXMAG00000011763,ENSXMAG00000013364,ENSXMAG00000014635,ENSXMAG00000016471,ENSXMAG00000000300,ENSXMAG00000002656,ENSXMAG00000004434,ENSXMAG00000006850,ENSXMAG00000007629,ENSXMAG00000008646,ENSXMAG00000016406,ENSXMAG00000017015,ENSXMAG00000009665,ENSXMAG00000011074,ENSXMAG00000011176,ENSXMAG00000014628,ENSXMAG00000020395,ENSXMAG00000004433,ENSXMAG00000006774,ENSXMAG00000008414,ENSXMAG00000012582	irf8,cxcr3.2,ptpn6,nfkbiaa,tnfb,psmb13a,INPP5D,BTK,zap70,TLR7,CXCR3,tlr9,cd74a,c6,irf4a,tec,acod1,lyn,psmb12,tlr22,TLR8,cd79a,tlr1,tnfsf13b
GO:0002429	0.0312260875783902	63.1090909090909	0.031471505528778	1	2	immune response-activating cell surface receptor signaling pathway	ENSXMAG00000006774	cd79a
GO:0002522	0.0312260875783902	63.1090909090909	0.031471505528778	1	2	leukocyte migration involved in immune response	ENSXMAG00000006858	cxcr3.2
GO:0002682	3.87495507741772e-07	14.4969824193125	0.708108874397505	8	45	regulation of immune system process	ENSXMAG00000003082,ENSXMAG00000006850,ENSXMAG00000016406,ENSXMAG00000017015,ENSXMAG00000011176,ENSXMAG00000020395,ENSXMAG00000006774,ENSXMAG00000008414	irf8,CXCR3,c6,irf4a,lyn,tlr22,cd79a,tlr1
GO:0002684	0.0225446161131227	9.78122794636556	0.236036291465835	2	15	positive regulation of immune system process	ENSXMAG00000016406,ENSXMAG00000006774	c6,cd79a
GO:0002685	0.00237918093012663	42.4464831804281	0.078678763821945	2	5	regulation of leukocyte migration	ENSXMAG00000006850,ENSXMAG00000011176	CXCR3,lyn
GO:0002688	0.0312260875783902	63.1090909090909	0.031471505528778	1	2	regulation of leukocyte chemotaxis	ENSXMAG00000011176	lyn
GO:0002757	0.0312260875783902	63.1090909090909	0.031471505528778	1	2	immune response-activating signal transduction	ENSXMAG00000006774	cd79a
GO:0002764	0.000966849609830867	19.2583333333333	0.204564785937057	3	13	immune response-regulating signaling pathway	ENSXMAG00000020395,ENSXMAG00000006774,ENSXMAG00000008414	tlr22,cd79a,tlr1
GO:0002768	0.0464747977710731	31.55	0.047207258293167	1	3	immune response-regulating cell surface receptor signaling pathway	ENSXMAG00000006774	cd79a
GO:0003342	0.0312260875783902	63.1090909090909	0.031471505528778	1	2	proepicardium development	ENSXMAG00000012137	sox9b
GO:0003343	0.0312260875783902	63.1090909090909	0.031471505528778	1	2	septum transversum development	ENSXMAG00000012137	sox9b
GO:0006421	0.0312260875783902	63.1090909090909	0.031471505528778	1	2	asparaginyl-tRNA aminoacylation	ENSXMAG00000011755	NARS1
