GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000220	0.0259688928053682	51.6439393939394	0.0262199563000728	1	4	vacuolar proton-transporting V-type ATPase, V0 domain	ENSXMAG00000018056	atp6v0a2b
GO:0001401	0.00655498907501773	Inf	0.00655498907501821	1	1	SAM complex	ENSXMAG00000007237	mtx3
GO:0005742	0.0130679589892991	154.977272727273	0.0131099781500364	1	2	mitochondrial outer membrane translocase complex	ENSXMAG00000007237	mtx3
GO:0005774	0.032006424511578	7.69030062393647	0.281864530225783	2	43	vacuolar membrane	ENSXMAG00000018056,ENSXMAG00000019282	atp6v0a2b,LAMP1
GO:0016020	0.0484466151437517	1.74367088607595	22.9752367079388	29	3505	membrane	ENSXMAG00000002661,ENSXMAG00000002752,ENSXMAG00000008830,ENSXMAG00000010390,ENSXMAG00000012871,ENSXMAG00000018056,ENSXMAG00000001000,ENSXMAG00000002944,ENSXMAG00000003075,ENSXMAG00000006548,ENSXMAG00000008541,ENSXMAG00000009818,ENSXMAG00000011135,ENSXMAG00000015970,ENSXMAG00000016875,ENSXMAG00000016905,ENSXMAG00000019008,ENSXMAG00000019224,ENSXMAG00000000636,ENSXMAG00000002525,ENSXMAG00000005772,ENSXMAG00000007237,ENSXMAG00000000704,ENSXMAG00000005827,ENSXMAG00000008941,ENSXMAG00000009662,ENSXMAG00000013214,ENSXMAG00000018866,ENSXMAG00000019282	stt3b,gabbr2,tmem147,samd8,PORCN,atp6v0a2b,tmem14cb,LSAMP,mfsd10,drd2l,sacm1lb,gpr157,lmbr1l,ABCA12,lmbrd2a,bace2,cog7,SLC26A2,pign,mpv17l2,cntn4,mtx3,casd1,OPN4,negr1,frem3,GALNT17,slc25a36a,LAMP1
GO:0016471	0.0259688928053682	51.6439393939394	0.0262199563000728	1	4	vacuolar proton-transporting V-type ATPase complex	ENSXMAG00000018056	atp6v0a2b
GO:0017119	0.0195391730131192	77.4772727272727	0.0196649672250546	1	3	Golgi transport complex	ENSXMAG00000019008	cog7
GO:0019005	0.0195391730131192	77.4772727272727	0.0196649672250546	1	3	SCF ubiquitin ligase complex	ENSXMAG00000005523	fbxw5
GO:0033179	0.0450116794125496	25.8106060606061	0.0458849235251275	1	7	proton-transporting V-type ATPase, V0 domain	ENSXMAG00000018056	atp6v0a2b
GO:0080008	0.0195391730131192	77.4772727272727	0.0196649672250546	1	3	Cul4-RING E3 ubiquitin ligase complex	ENSXMAG00000005523	fbxw5
GO:0098799	0.0130679589892991	154.977272727273	0.0131099781500364	1	2	outer mitochondrial membrane protein complex	ENSXMAG00000007237	mtx3
