"","x"
"1","ENSXMAG00000000207"
"2","ENSXMAG00000000416"
"3","ENSXMAG00000001203"
"4","ENSXMAG00000001475"
"5","ENSXMAG00000001861"
"6","ENSXMAG00000001965"
"7","ENSXMAG00000003477"
"8","ENSXMAG00000005071"
"9","ENSXMAG00000006346"
"10","ENSXMAG00000006476"
"11","ENSXMAG00000007069"
"12","ENSXMAG00000007149"
"13","ENSXMAG00000007891"
"14","ENSXMAG00000008180"
"15","ENSXMAG00000009318"
"16","ENSXMAG00000009601"
"17","ENSXMAG00000009725"
"18","ENSXMAG00000009732"
"19","ENSXMAG00000010207"
"20","ENSXMAG00000010769"
"21","ENSXMAG00000011080"
"22","ENSXMAG00000011586"
"23","ENSXMAG00000012072"
"24","ENSXMAG00000012815"
"25","ENSXMAG00000013706"
"26","ENSXMAG00000014634"
"27","ENSXMAG00000014642"
"28","ENSXMAG00000015249"
"29","ENSXMAG00000015348"
"30","ENSXMAG00000015654"
"31","ENSXMAG00000016315"
"32","ENSXMAG00000016585"
"33","ENSXMAG00000017146"
"34","ENSXMAG00000018114"
"35","ENSXMAG00000018190"
"36","ENSXMAG00000019029"
"37","ENSXMAG00000019319"
"38","ENSXMAG00000019450"
"39","ENSXMAG00000019845"
"40","ENSXMAG00000019860"
"41","ENSXMAG00000020175"
"42","ENSXMAG00000020374"
"43","ENSXMAG00000020399"
"44","ENSXMAG00000020692"
"45","ENSXMAG00000020705"
"46","ENSXMAG00000020720"
