GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0002039	0.0134983910912595	96.2023809523809	0.0135685210312076	1	5	p53 binding	ENSXMAG00000009732	ppp1r13ba
GO:0004033	0.0134983910912595	96.2023809523809	0.0135685210312076	1	5	aldo-keto reductase (NADP) activity	ENSXMAG00000012815	rdh8b
GO:0004303	0.010812704246068	128.285714285714	0.0108548168249661	1	4	estradiol 17-beta-dehydrogenase activity	ENSXMAG00000012815	rdh8b
GO:0004697	0.0425852699966566	25.6190476190476	0.0434192672998643	1	16	protein kinase C activity	ENSXMAG00000001861	prkcda
GO:0004698	0.0425852699966566	25.6190476190476	0.0434192672998643	1	16	calcium-dependent protein kinase C activity	ENSXMAG00000001861	prkcda
GO:0005215	0.0319181627539417	3.24448529411765	1.83717774762551	5	677	transporter activity	ENSXMAG00000001965,ENSXMAG00000014634,ENSXMAG00000011080,ENSXMAG00000012072,ENSXMAG00000018114	slc2a9l1,CACNG1,slc22a6l,slc22a4,si:ch211-225b11.1
GO:0005245	0.0451885482144389	24.014880952381	0.0461329715061058	1	17	voltage-gated calcium channel activity	ENSXMAG00000014634	CACNG1
GO:0008106	0.0134983910912595	96.2023809523809	0.0135685210312076	1	5	alcohol dehydrogenase (NADP+) activity	ENSXMAG00000012815	rdh8b
GO:0009931	0.0425852699966566	25.6190476190476	0.0434192672998643	1	16	calcium-dependent protein serine/threonine kinase activity	ENSXMAG00000001861	prkcda
GO:0010857	0.0425852699966566	25.6190476190476	0.0434192672998643	1	16	calcium-dependent protein kinase activity	ENSXMAG00000001861	prkcda
GO:0016229	0.0294669276286682	38.4523809523809	0.0298507462686567	1	11	steroid dehydrogenase activity	ENSXMAG00000012815	rdh8b
GO:0016702	0.0477850688497025	22.5994397759104	0.0488466757123474	1	18	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	ENSXMAG00000001475	bco2l
GO:0022857	0.0270014440177039	3.40408013905407	1.7584803256445	5	648	transmembrane transporter activity	ENSXMAG00000001965,ENSXMAG00000014634,ENSXMAG00000011080,ENSXMAG00000012072,ENSXMAG00000018114	slc2a9l1,CACNG1,slc22a6l,slc22a4,si:ch211-225b11.1
GO:0033764	0.0241716984000216	48.0773809523809	0.0244233378561737	1	9	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	ENSXMAG00000012815	rdh8b
GO:0052650	0.00812003900150116	192.452380952381	0.00814111261872456	1	3	NADP-retinol dehydrogenase activity	ENSXMAG00000012815	rdh8b
