"","x"
"1","ENSXMAG00000000064"
"2","ENSXMAG00000000176"
"3","ENSXMAG00000000177"
"4","ENSXMAG00000000187"
"5","ENSXMAG00000001622"
"6","ENSXMAG00000002874"
"7","ENSXMAG00000003235"
"8","ENSXMAG00000004351"
"9","ENSXMAG00000004719"
"10","ENSXMAG00000005033"
"11","ENSXMAG00000005555"
"12","ENSXMAG00000006489"
"13","ENSXMAG00000006780"
"14","ENSXMAG00000007474"
"15","ENSXMAG00000009303"
"16","ENSXMAG00000009688"
"17","ENSXMAG00000010698"
"18","ENSXMAG00000012615"
"19","ENSXMAG00000014478"
"20","ENSXMAG00000014657"
"21","ENSXMAG00000014938"
"22","ENSXMAG00000015296"
"23","ENSXMAG00000016112"
"24","ENSXMAG00000016118"
"25","ENSXMAG00000017265"
"26","ENSXMAG00000017386"
"27","ENSXMAG00000017410"
"28","ENSXMAG00000017427"
"29","ENSXMAG00000017680"
"30","ENSXMAG00000018014"
"31","ENSXMAG00000018591"
"32","ENSXMAG00000018593"
"33","ENSXMAG00000018597"
"34","ENSXMAG00000018603"
"35","ENSXMAG00000018608"
"36","ENSXMAG00000019421"
"37","ENSXMAG00000020073"
"38","ENSXMAG00000020211"
"39","ENSXMAG00000020280"
"40","ENSXMAG00000020290"
