GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000280	0.0469096320674875	23.3866666666667	0.0479160759852566	1	26	nuclear division	ENSXMAG00000018597	apoa2
GO:0001702	0.0309066150994869	36.5885416666667	0.0313297419903601	1	17	gastrulation with mouth forming second	ENSXMAG00000018597	apoa2
GO:0006081	0.0255174013276039	45.0512820512821	0.0258009639920612	1	14	cellular aldehyde metabolic process	ENSXMAG00000007474	akr1a1a
GO:0006144	0.0110106202965933	117.266666666667	0.0110575559965977	1	6	purine nucleobase metabolic process	ENSXMAG00000005033	urahb
GO:0006644	0.0176806637646744	11.3513513513514	0.208250637935923	2	113	phospholipid metabolic process	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0006820	0.0170930174769741	11.5629691409508	0.204564785937057	2	111	anion transport	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0006869	0.00055860581665295	23.4337078651685	0.169549191947831	3	92	lipid transport	ENSXMAG00000002874,ENSXMAG00000005555,ENSXMAG00000018014	apoa1b,pla2g12b,PLA2G12B
GO:0007160	0.0128348061558649	97.7083333333333	0.0129004819960306	1	7	cell-matrix adhesion	ENSXMAG00000006780	epdr1
GO:0007210	0.0164738637667625	73.2604166666667	0.0165863339948965	1	9	serotonin receptor signaling pathway	ENSXMAG00000009303	HTR2A
GO:0009056	0.0407071775211176	4.64683840749414	0.792458179756167	3	430	catabolic process	ENSXMAG00000005555,ENSXMAG00000007474,ENSXMAG00000018014	pla2g12b,akr1a1a,PLA2G12B
GO:0009112	0.0201005348629935	58.5916666666667	0.0202721859937624	1	11	nucleobase metabolic process	ENSXMAG00000005033	urahb
GO:0010876	0.000652350023251991	22.1712765957447	0.178763821944996	3	97	lipid localization	ENSXMAG00000002874,ENSXMAG00000005555,ENSXMAG00000018014	apoa1b,pla2g12b,PLA2G12B
GO:0015711	0.00123778458837769	47.2323232323232	0.0534448539835554	2	29	organic anion transport	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0015718	0.000170848685409576	142.060606060606	0.0202721859937624	2	11	monocarboxylic acid transport	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0015849	0.00271322685204195	31.0421286031042	0.0792458179756167	2	43	organic acid transport	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0015908	6.55051409654416e-05	255.854545454545	0.0129004819960306	2	7	fatty acid transport	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0015909	4.68380883975712e-05	319.863636363636	0.0110575559965977	2	6	long-chain fatty acid transport	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0016042	0.00592669135913561	20.466275659824	0.117947263963709	2	64	lipid catabolic process	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0031589	0.0128348061558649	97.7083333333333	0.0129004819960306	1	7	cell-substrate adhesion	ENSXMAG00000006780	epdr1
GO:0032309	3.12578948375374e-05	426.545454545455	0.00921462999716473	2	5	icosanoid secretion	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0033036	0.0351494851617389	4.94143920595534	0.748227955769776	3	406	macromolecule localization	ENSXMAG00000002874,ENSXMAG00000005555,ENSXMAG00000018014	apoa1b,pla2g12b,PLA2G12B
GO:0046185	0.0110106202965933	117.266666666667	0.0110575559965977	1	6	aldehyde catabolic process	ENSXMAG00000007474	akr1a1a
GO:0046903	0.00409764414715934	24.9197860962567	0.0976750779699461	2	53	secretion	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0046942	0.000776156184225382	60.7792207792208	0.0423872979869578	2	23	carboxylic acid transport	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0050482	3.12578948375374e-05	426.545454545455	0.00921462999716473	2	5	arachidonic acid secretion	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0055113	0.0237148581029681	48.8125	0.0239580379926283	1	13	epiboly involved in gastrulation with mouth forming second	ENSXMAG00000018597	apoa2
GO:0071417	0.0469096320674875	23.3866666666667	0.0479160759852566	1	26	cellular response to organonitrogen compound	ENSXMAG00000009303	HTR2A
GO:0071702	0.0439002080544361	4.50068181818182	0.816416217748795	3	443	organic substance transport	ENSXMAG00000002874,ENSXMAG00000005555,ENSXMAG00000018014	apoa1b,pla2g12b,PLA2G12B
GO:0071715	3.12578948375374e-05	426.545454545455	0.00921462999716473	2	5	icosanoid transport	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0071867	0.0255174013276039	45.0512820512821	0.0258009639920612	1	14	response to monoamine	ENSXMAG00000009303	HTR2A
GO:0071868	0.0237148581029681	48.8125	0.0239580379926283	1	13	cellular response to monoamine stimulus	ENSXMAG00000009303	HTR2A
GO:0071869	0.0255174013276039	45.0512820512821	0.0258009639920612	1	14	response to catecholamine	ENSXMAG00000009303	HTR2A
GO:0071870	0.0237148581029681	48.8125	0.0239580379926283	1	13	cellular response to catecholamine stimulus	ENSXMAG00000009303	HTR2A
GO:0090504	0.0433746351451301	25.4275362318841	0.0442302239863907	1	24	epiboly	ENSXMAG00000018597	apoa2
GO:0098657	0.00735291018848272	195.5	0.00737170399773178	1	4	import into cell	ENSXMAG00000020290	kcnj1a.6
GO:0098659	0.00551937620616549	293.291666666667	0.00552877799829884	1	3	inorganic cation import across plasma membrane	ENSXMAG00000020290	kcnj1a.6
GO:0098664	0.0146558856960911	83.7380952380952	0.0147434079954636	1	8	G protein-coupled serotonin receptor signaling pathway	ENSXMAG00000009303	HTR2A
GO:0098739	0.00551937620616549	293.291666666667	0.00552877799829884	1	3	import across plasma membrane	ENSXMAG00000020290	kcnj1a.6
GO:0099587	0.00551937620616549	293.291666666667	0.00552877799829884	1	3	inorganic ion import across plasma membrane	ENSXMAG00000020290	kcnj1a.6
GO:1901575	0.0272493933022073	5.48712328767123	0.678196767791324	3	368	organic substance catabolic process	ENSXMAG00000005555,ENSXMAG00000007474,ENSXMAG00000018014	pla2g12b,akr1a1a,PLA2G12B
GO:1903350	0.0237148581029681	48.8125	0.0239580379926283	1	13	response to dopamine	ENSXMAG00000009303	HTR2A
GO:1903351	0.0237148581029681	48.8125	0.0239580379926283	1	13	cellular response to dopamine	ENSXMAG00000009303	HTR2A
GO:1903963	3.12578948375374e-05	426.545454545455	0.00921462999716473	2	5	arachidonate transport	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:1990573	0.00551937620616549	293.291666666667	0.00552877799829884	1	3	potassium ion import across plasma membrane	ENSXMAG00000020290	kcnj1a.6
