GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0005576	0.000121806379596654	16.5769230769231	0.575382374362709	5	395	extracellular region	ENSXMAG00000002874,ENSXMAG00000005555,ENSXMAG00000010698,ENSXMAG00000018014,ENSXMAG00000006780	apoa1b,pla2g12b,serpina1l,PLA2G12B,epdr1
GO:0005901	0.0159186253312873	76.0555555555556	0.0160233066278223	1	11	caveola	ENSXMAG00000009303	HTR2A
GO:0016324	0.0187882932065655	63.3611111111111	0.0189366351056082	1	13	apical plasma membrane	ENSXMAG00000007474	akr1a1a
GO:0030424	0.0372582873923832	30.3555555555556	0.0378732702112163	1	26	axon	ENSXMAG00000009303	HTR2A
GO:0030425	0.0386660103235243	29.1837606837607	0.0393299344501093	1	27	dendrite	ENSXMAG00000009303	HTR2A
GO:0036477	0.044278395629063	25.2777777777778	0.045156591405681	1	31	somatodendritic compartment	ENSXMAG00000009303	HTR2A
GO:0044853	0.0159186253312873	76.0555555555556	0.0160233066278223	1	11	plasma membrane raft	ENSXMAG00000009303	HTR2A
GO:0045121	0.0230786750520212	50.6666666666667	0.023306627822287	1	16	membrane raft	ENSXMAG00000009303	HTR2A
GO:0045177	0.0187882932065655	63.3611111111111	0.0189366351056082	1	13	apical part of cell	ENSXMAG00000007474	akr1a1a
GO:0097447	0.0386660103235243	29.1837606837607	0.0393299344501093	1	27	dendritic tree	ENSXMAG00000009303	HTR2A
GO:0098590	0.0190224543034517	11.3293918918919	0.21849963583394	2	150	plasma membrane region	ENSXMAG00000007474,ENSXMAG00000009303	akr1a1a,HTR2A
GO:0098857	0.0230786750520212	50.6666666666667	0.023306627822287	1	16	membrane microdomain	ENSXMAG00000009303	HTR2A
