GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0004033	0.00921935954922137	144.428571428571	0.00925126433945973	1	5	aldo-keto reductase (NADP) activity	ENSXMAG00000007474	akr1a1a
GO:0004177	0.0417563394944894	26.2012987012987	0.0425558159615147	1	23	aminopeptidase activity	ENSXMAG00000006489	anpepb.1
GO:0004620	0.00227610414141105	33.4927234927235	0.0721598618477859	2	39	phospholipase activity	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0004623	8.89043494107159e-05	207.333333333333	0.0148020229431356	2	8	phospholipase A2 activity	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0004993	0.016537663775491	72.1785714285714	0.0166522758110275	1	9	G protein-coupled serotonin receptor activity	ENSXMAG00000009303	HTR2A
GO:0005242	0.0274205767424993	41.2142857142857	0.0277537930183792	1	15	inward rectifier potassium channel activity	ENSXMAG00000020290	kcnj1a.6
GO:0005509	0.00281098030078786	8.44637996733805	0.625385469347478	4	338	calcium ion binding	ENSXMAG00000005555,ENSXMAG00000014657,ENSXMAG00000018014,ENSXMAG00000006780	pla2g12b,pvalb8,PLA2G12B,epdr1
GO:0008106	0.00921935954922137	144.428571428571	0.00925126433945973	1	5	alcohol dehydrogenase (NADP+) activity	ENSXMAG00000007474	akr1a1a
GO:0008227	0.0435343769645028	25.0590062111801	0.0444060688294067	1	24	G protein-coupled amine receptor activity	ENSXMAG00000009303	HTR2A
GO:0016298	0.00343169433129576	26.9096989966555	0.0888121376588134	2	48	lipase activity	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0016620	0.032819784033702	33.9285714285714	0.033304551622055	1	18	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	ENSXMAG00000004351	aldh8a1
GO:0016812	0.00554117692682976	288.928571428571	0.00555075860367584	1	3	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides	ENSXMAG00000005033	urahb
GO:0016903	0.0435343769645028	25.0590062111801	0.0444060688294067	1	24	oxidoreductase activity, acting on the aldehyde or oxo group of donors	ENSXMAG00000004351	aldh8a1
GO:0033971	0.00185025286789209	Inf	0.00185025286789195	1	1	hydroxyisourate hydrolase activity	ENSXMAG00000005033	urahb
GO:0052689	0.00251339056386897	31.767258382643	0.0758603675835698	2	41	carboxylic ester hydrolase activity	ENSXMAG00000005555,ENSXMAG00000018014	pla2g12b,PLA2G12B
GO:0099589	0.016537663775491	72.1785714285714	0.0166522758110275	1	9	serotonin receptor activity	ENSXMAG00000009303	HTR2A
