"","x"
"1","ENSXMAG00000000083"
"2","ENSXMAG00000000115"
"3","ENSXMAG00000000213"
"4","ENSXMAG00000000222"
"5","ENSXMAG00000000239"
"6","ENSXMAG00000000271"
"7","ENSXMAG00000000272"
"8","ENSXMAG00000000312"
"9","ENSXMAG00000000456"
"10","ENSXMAG00000000603"
"11","ENSXMAG00000000608"
"12","ENSXMAG00000000659"
"13","ENSXMAG00000000739"
"14","ENSXMAG00000000744"
"15","ENSXMAG00000000850"
"16","ENSXMAG00000000905"
"17","ENSXMAG00000000944"
"18","ENSXMAG00000000983"
"19","ENSXMAG00000001034"
"20","ENSXMAG00000001050"
"21","ENSXMAG00000001053"
"22","ENSXMAG00000001062"
"23","ENSXMAG00000001068"
"24","ENSXMAG00000001138"
"25","ENSXMAG00000001172"
"26","ENSXMAG00000001191"
"27","ENSXMAG00000001195"
"28","ENSXMAG00000001202"
"29","ENSXMAG00000001232"
"30","ENSXMAG00000001238"
"31","ENSXMAG00000001265"
"32","ENSXMAG00000001320"
"33","ENSXMAG00000001359"
"34","ENSXMAG00000001513"
"35","ENSXMAG00000001635"
"36","ENSXMAG00000001763"
"37","ENSXMAG00000001768"
"38","ENSXMAG00000001801"
"39","ENSXMAG00000001815"
"40","ENSXMAG00000001820"
"41","ENSXMAG00000001850"
"42","ENSXMAG00000001960"
"43","ENSXMAG00000001976"
"44","ENSXMAG00000001991"
"45","ENSXMAG00000002045"
"46","ENSXMAG00000002119"
"47","ENSXMAG00000002225"
"48","ENSXMAG00000002284"
"49","ENSXMAG00000002328"
"50","ENSXMAG00000002347"
"51","ENSXMAG00000002504"
"52","ENSXMAG00000002534"
"53","ENSXMAG00000002537"
"54","ENSXMAG00000002722"
"55","ENSXMAG00000002771"
"56","ENSXMAG00000002986"
"57","ENSXMAG00000003024"
"58","ENSXMAG00000003069"
"59","ENSXMAG00000003094"
"60","ENSXMAG00000003127"
"61","ENSXMAG00000003137"
"62","ENSXMAG00000003178"
"63","ENSXMAG00000003229"
"64","ENSXMAG00000003283"
"65","ENSXMAG00000003343"
"66","ENSXMAG00000003387"
"67","ENSXMAG00000003401"
"68","ENSXMAG00000003448"
"69","ENSXMAG00000003463"
"70","ENSXMAG00000003476"
"71","ENSXMAG00000003490"
"72","ENSXMAG00000003563"
"73","ENSXMAG00000003612"
"74","ENSXMAG00000003634"
"75","ENSXMAG00000003690"
"76","ENSXMAG00000003744"
"77","ENSXMAG00000003755"
"78","ENSXMAG00000003804"
"79","ENSXMAG00000003920"
"80","ENSXMAG00000003993"
"81","ENSXMAG00000004030"
"82","ENSXMAG00000004111"
"83","ENSXMAG00000004174"
"84","ENSXMAG00000004211"
"85","ENSXMAG00000004265"
"86","ENSXMAG00000004320"
"87","ENSXMAG00000004361"
"88","ENSXMAG00000004372"
"89","ENSXMAG00000004383"
"90","ENSXMAG00000004485"
"91","ENSXMAG00000004486"
"92","ENSXMAG00000004517"
"93","ENSXMAG00000004541"
"94","ENSXMAG00000004599"
"95","ENSXMAG00000004675"
"96","ENSXMAG00000004720"
"97","ENSXMAG00000004737"
"98","ENSXMAG00000004832"
"99","ENSXMAG00000004833"
"100","ENSXMAG00000004926"
"101","ENSXMAG00000004936"
"102","ENSXMAG00000005009"
"103","ENSXMAG00000005059"
"104","ENSXMAG00000005067"
"105","ENSXMAG00000005068"
"106","ENSXMAG00000005070"
"107","ENSXMAG00000005085"
"108","ENSXMAG00000005101"
"109","ENSXMAG00000005111"
"110","ENSXMAG00000005167"
"111","ENSXMAG00000005230"
"112","ENSXMAG00000005260"
"113","ENSXMAG00000005298"
"114","ENSXMAG00000005300"
"115","ENSXMAG00000005354"
"116","ENSXMAG00000005377"
"117","ENSXMAG00000005452"
"118","ENSXMAG00000005471"
"119","ENSXMAG00000005476"
"120","ENSXMAG00000005514"
"121","ENSXMAG00000005516"
"122","ENSXMAG00000005535"
"123","ENSXMAG00000005563"
"124","ENSXMAG00000005604"
"125","ENSXMAG00000005699"
"126","ENSXMAG00000005759"
"127","ENSXMAG00000005770"
"128","ENSXMAG00000005792"
"129","ENSXMAG00000005830"
"130","ENSXMAG00000005841"
"131","ENSXMAG00000005845"
"132","ENSXMAG00000005853"
"133","ENSXMAG00000005854"
"134","ENSXMAG00000005916"
"135","ENSXMAG00000005959"
"136","ENSXMAG00000005988"
"137","ENSXMAG00000006015"
"138","ENSXMAG00000006119"
"139","ENSXMAG00000006135"
"140","ENSXMAG00000006147"
"141","ENSXMAG00000006190"
"142","ENSXMAG00000006302"
"143","ENSXMAG00000006359"
"144","ENSXMAG00000006389"
"145","ENSXMAG00000006418"
"146","ENSXMAG00000006452"
"147","ENSXMAG00000006596"
"148","ENSXMAG00000006629"
"149","ENSXMAG00000006633"
"150","ENSXMAG00000006664"
"151","ENSXMAG00000006727"
"152","ENSXMAG00000006728"
"153","ENSXMAG00000006799"
"154","ENSXMAG00000006895"
"155","ENSXMAG00000006966"
"156","ENSXMAG00000007008"
"157","ENSXMAG00000007047"
"158","ENSXMAG00000007048"
"159","ENSXMAG00000007063"
"160","ENSXMAG00000007068"
"161","ENSXMAG00000007089"
"162","ENSXMAG00000007099"
"163","ENSXMAG00000007164"
"164","ENSXMAG00000007184"
"165","ENSXMAG00000007188"
"166","ENSXMAG00000007273"
"167","ENSXMAG00000007279"
"168","ENSXMAG00000007289"
"169","ENSXMAG00000007330"
"170","ENSXMAG00000007353"
"171","ENSXMAG00000007450"
"172","ENSXMAG00000007505"
"173","ENSXMAG00000007508"
"174","ENSXMAG00000007515"
"175","ENSXMAG00000007530"
"176","ENSXMAG00000007607"
"177","ENSXMAG00000007676"
"178","ENSXMAG00000007792"
"179","ENSXMAG00000007849"
"180","ENSXMAG00000007876"
"181","ENSXMAG00000007929"
"182","ENSXMAG00000007966"
"183","ENSXMAG00000007967"
"184","ENSXMAG00000007969"
"185","ENSXMAG00000007984"
"186","ENSXMAG00000007994"
"187","ENSXMAG00000007998"
"188","ENSXMAG00000008049"
"189","ENSXMAG00000008088"
"190","ENSXMAG00000008251"
"191","ENSXMAG00000008258"
"192","ENSXMAG00000008283"
"193","ENSXMAG00000008285"
"194","ENSXMAG00000008336"
"195","ENSXMAG00000008338"
"196","ENSXMAG00000008348"
"197","ENSXMAG00000008394"
"198","ENSXMAG00000008401"
"199","ENSXMAG00000008426"
"200","ENSXMAG00000008468"
"201","ENSXMAG00000008483"
"202","ENSXMAG00000008542"
"203","ENSXMAG00000008599"
"204","ENSXMAG00000008675"
"205","ENSXMAG00000008687"
"206","ENSXMAG00000008700"
"207","ENSXMAG00000008901"
"208","ENSXMAG00000008935"
"209","ENSXMAG00000008945"
"210","ENSXMAG00000008959"
"211","ENSXMAG00000008988"
"212","ENSXMAG00000009030"
"213","ENSXMAG00000009071"
"214","ENSXMAG00000009076"
"215","ENSXMAG00000009140"
"216","ENSXMAG00000009150"
"217","ENSXMAG00000009221"
"218","ENSXMAG00000009312"
"219","ENSXMAG00000009345"
"220","ENSXMAG00000009472"
"221","ENSXMAG00000009505"
"222","ENSXMAG00000009509"
"223","ENSXMAG00000009605"
"224","ENSXMAG00000009658"
"225","ENSXMAG00000009747"
"226","ENSXMAG00000009781"
"227","ENSXMAG00000009829"
"228","ENSXMAG00000010031"
"229","ENSXMAG00000010061"
"230","ENSXMAG00000010098"
"231","ENSXMAG00000010112"
"232","ENSXMAG00000010139"
"233","ENSXMAG00000010155"
"234","ENSXMAG00000010231"
"235","ENSXMAG00000010258"
"236","ENSXMAG00000010320"
"237","ENSXMAG00000010324"
"238","ENSXMAG00000010351"
"239","ENSXMAG00000010377"
"240","ENSXMAG00000010401"
"241","ENSXMAG00000010404"
"242","ENSXMAG00000010503"
"243","ENSXMAG00000010514"
"244","ENSXMAG00000010594"
"245","ENSXMAG00000010706"
"246","ENSXMAG00000010736"
"247","ENSXMAG00000010800"
"248","ENSXMAG00000010819"
"249","ENSXMAG00000010823"
"250","ENSXMAG00000010871"
"251","ENSXMAG00000010876"
"252","ENSXMAG00000010898"
"253","ENSXMAG00000011021"
"254","ENSXMAG00000011066"
"255","ENSXMAG00000011075"
"256","ENSXMAG00000011153"
"257","ENSXMAG00000011189"
"258","ENSXMAG00000011404"
"259","ENSXMAG00000011500"
"260","ENSXMAG00000011589"
"261","ENSXMAG00000011599"
"262","ENSXMAG00000011612"
"263","ENSXMAG00000011640"
"264","ENSXMAG00000011766"
"265","ENSXMAG00000011771"
"266","ENSXMAG00000011781"
"267","ENSXMAG00000011881"
"268","ENSXMAG00000011889"
"269","ENSXMAG00000011975"
"270","ENSXMAG00000012014"
"271","ENSXMAG00000012062"
"272","ENSXMAG00000012066"
"273","ENSXMAG00000012092"
"274","ENSXMAG00000012093"
"275","ENSXMAG00000012194"
"276","ENSXMAG00000012226"
"277","ENSXMAG00000012283"
"278","ENSXMAG00000012437"
"279","ENSXMAG00000012457"
"280","ENSXMAG00000012478"
"281","ENSXMAG00000012493"
"282","ENSXMAG00000012525"
"283","ENSXMAG00000012548"
"284","ENSXMAG00000012573"
"285","ENSXMAG00000012591"
"286","ENSXMAG00000012592"
"287","ENSXMAG00000012607"
"288","ENSXMAG00000012623"
"289","ENSXMAG00000012675"
"290","ENSXMAG00000012730"
"291","ENSXMAG00000012758"
"292","ENSXMAG00000012809"
"293","ENSXMAG00000012855"
"294","ENSXMAG00000012910"
"295","ENSXMAG00000012926"
"296","ENSXMAG00000012964"
"297","ENSXMAG00000012979"
"298","ENSXMAG00000012987"
"299","ENSXMAG00000013014"
"300","ENSXMAG00000013176"
"301","ENSXMAG00000013180"
"302","ENSXMAG00000013255"
"303","ENSXMAG00000013257"
"304","ENSXMAG00000013272"
"305","ENSXMAG00000013303"
"306","ENSXMAG00000013382"
"307","ENSXMAG00000013415"
"308","ENSXMAG00000013429"
"309","ENSXMAG00000013536"
"310","ENSXMAG00000013539"
"311","ENSXMAG00000013587"
"312","ENSXMAG00000013623"
"313","ENSXMAG00000013688"
"314","ENSXMAG00000013729"
"315","ENSXMAG00000013809"
"316","ENSXMAG00000013864"
"317","ENSXMAG00000013925"
"318","ENSXMAG00000013966"
"319","ENSXMAG00000014005"
"320","ENSXMAG00000014024"
"321","ENSXMAG00000014026"
"322","ENSXMAG00000014042"
"323","ENSXMAG00000014071"
"324","ENSXMAG00000014185"
"325","ENSXMAG00000014264"
"326","ENSXMAG00000014318"
"327","ENSXMAG00000014331"
"328","ENSXMAG00000014332"
"329","ENSXMAG00000014383"
"330","ENSXMAG00000014398"
"331","ENSXMAG00000014429"
"332","ENSXMAG00000014446"
"333","ENSXMAG00000014447"
"334","ENSXMAG00000014514"
"335","ENSXMAG00000014585"
"336","ENSXMAG00000014590"
"337","ENSXMAG00000014604"
"338","ENSXMAG00000014680"
"339","ENSXMAG00000014711"
"340","ENSXMAG00000014828"
"341","ENSXMAG00000014837"
"342","ENSXMAG00000014866"
"343","ENSXMAG00000014874"
"344","ENSXMAG00000014939"
"345","ENSXMAG00000014949"
"346","ENSXMAG00000014964"
"347","ENSXMAG00000015042"
"348","ENSXMAG00000015125"
"349","ENSXMAG00000015182"
"350","ENSXMAG00000015208"
"351","ENSXMAG00000015209"
"352","ENSXMAG00000015388"
"353","ENSXMAG00000015413"
"354","ENSXMAG00000015568"
"355","ENSXMAG00000015583"
"356","ENSXMAG00000015593"
"357","ENSXMAG00000015627"
"358","ENSXMAG00000015692"
"359","ENSXMAG00000015754"
"360","ENSXMAG00000015762"
"361","ENSXMAG00000015826"
"362","ENSXMAG00000015862"
"363","ENSXMAG00000015873"
"364","ENSXMAG00000015893"
"365","ENSXMAG00000015917"
"366","ENSXMAG00000015934"
"367","ENSXMAG00000015944"
"368","ENSXMAG00000015955"
"369","ENSXMAG00000015992"
"370","ENSXMAG00000016097"
"371","ENSXMAG00000016119"
"372","ENSXMAG00000016147"
"373","ENSXMAG00000016151"
"374","ENSXMAG00000016155"
"375","ENSXMAG00000016171"
"376","ENSXMAG00000016282"
"377","ENSXMAG00000016309"
"378","ENSXMAG00000016322"
"379","ENSXMAG00000016324"
"380","ENSXMAG00000016337"
"381","ENSXMAG00000016401"
"382","ENSXMAG00000016433"
"383","ENSXMAG00000016485"
"384","ENSXMAG00000016505"
"385","ENSXMAG00000016517"
"386","ENSXMAG00000016566"
"387","ENSXMAG00000016572"
"388","ENSXMAG00000016670"
"389","ENSXMAG00000016702"
"390","ENSXMAG00000016854"
"391","ENSXMAG00000016872"
"392","ENSXMAG00000016922"
"393","ENSXMAG00000016929"
"394","ENSXMAG00000016989"
"395","ENSXMAG00000017019"
"396","ENSXMAG00000017057"
"397","ENSXMAG00000017069"
"398","ENSXMAG00000017072"
"399","ENSXMAG00000017081"
"400","ENSXMAG00000017107"
"401","ENSXMAG00000017169"
"402","ENSXMAG00000017247"
"403","ENSXMAG00000017291"
"404","ENSXMAG00000017342"
