GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0060021	0.001765259	80.46783626	0.073575276	2	3	roof of mouth development	"ENSXMAG00000015762,ENSXMAG00000015992"	"pax9,wwp2"
GO:0006109	0.003473556	40.22807018	0.098100369	2	4	regulation of carbohydrate metabolic process	"ENSXMAG00000005830,ENSXMAG00000013864"	"pth1r,scn1lab"
GO:0035907	0.005696039	26.81481481	0.122625461	2	5	dorsal aorta development	"ENSXMAG00000005830,ENSXMAG00000015893"	"pth1r,amotl2b"
GO:0048588	0.006555314	6.008327854	0.760277857	4	31	developmental cell growth	"ENSXMAG00000002504,ENSXMAG00000008700,ENSXMAG00000014398,ENSXMAG00000008483"	"nos1,arl3l2,ret,TRARG1"
GO:0016049	0.008207906	5.592328096	0.809328041	4	33	cell growth	"ENSXMAG00000002504,ENSXMAG00000008700,ENSXMAG00000014398,ENSXMAG00000008483"	"nos1,arl3l2,ret,TRARG1"
GO:0005975	0.009153822	2.560682849	4.193790757	10	171	carbohydrate metabolic process	"ENSXMAG00000005830,ENSXMAG00000007063,ENSXMAG00000007505,ENSXMAG00000015413,ENSXMAG00000015568,ENSXMAG00000016872,ENSXMAG00000018938,ENSXMAG00000013864,ENSXMAG00000017019,ENSXMAG00000008401"	"pth1r,gpia,zgc:172295,glb1l,fbp1a,HYAL2,pgk1,scn1lab,b4galt2,KLB"
GO:0035904	0.011580679	16.08421053	0.171675645	2	7	aorta development	"ENSXMAG00000005830,ENSXMAG00000015893"	"pth1r,amotl2b"
GO:0048511	0.013470685	4.766446223	0.931953502	4	38	rhythmic process	"ENSXMAG00000000239,ENSXMAG00000018709,ENSXMAG00000013864,ENSXMAG00000016922"	"ENOX2,nr1d2a,scn1lab,nmu"
GO:0016051	0.015847578	6.373374613	0.539552027	3	22	carbohydrate biosynthetic process	"ENSXMAG00000005830,ENSXMAG00000007063,ENSXMAG00000015568"	"pth1r,gpia,fbp1a"
GO:0006486	0.017338206	2.802563194	2.673235044	7	109	protein glycosylation	"ENSXMAG00000004265,ENSXMAG00000005959,ENSXMAG00000007289,ENSXMAG00000002771,ENSXMAG00000017019,ENSXMAG00000020287,ENSXMAG00000016401"	"GALNT8,dpagt1,b3gat2,GALNT12,b4galt2,dpm3,st6galnac3"
GO:0043413	0.017338206	2.802563194	2.673235044	7	109	macromolecule glycosylation	"ENSXMAG00000004265,ENSXMAG00000005959,ENSXMAG00000007289,ENSXMAG00000002771,ENSXMAG00000017019,ENSXMAG00000020287,ENSXMAG00000016401"	"GALNT8,dpagt1,b3gat2,GALNT12,b4galt2,dpm3,st6galnac3"
GO:0016052	0.017465424	4.378058532	1.005528778	4	41	carbohydrate catabolic process	"ENSXMAG00000007063,ENSXMAG00000007505,ENSXMAG00000018938,ENSXMAG00000013864"	"gpia,zgc:172295,pgk1,scn1lab"
GO:0070085	0.018980312	2.747856812	2.722285228	7	111	glycosylation	"ENSXMAG00000004265,ENSXMAG00000005959,ENSXMAG00000007289,ENSXMAG00000002771,ENSXMAG00000017019,ENSXMAG00000020287,ENSXMAG00000016401"	"GALNT8,dpagt1,b3gat2,GALNT12,b4galt2,dpm3,st6galnac3"
GO:0062012	0.01922275	11.48538012	0.220725829	2	9	regulation of small molecule metabolic process	"ENSXMAG00000005830,ENSXMAG00000013864"	"pth1r,scn1lab"
GO:0048675	0.020098641	5.764705882	0.588602212	3	24	axon extension	"ENSXMAG00000008700,ENSXMAG00000014398,ENSXMAG00000008483"	"arl3l2,ret,TRARG1"
GO:1990138	0.020098641	5.764705882	0.588602212	3	24	neuron projection extension	"ENSXMAG00000008700,ENSXMAG00000014398,ENSXMAG00000008483"	"arl3l2,ret,TRARG1"
GO:1901135	0.020887649	1.896708089	8.412106606	15	343	carbohydrate derivative metabolic process	"ENSXMAG00000004265,ENSXMAG00000005959,ENSXMAG00000007063,ENSXMAG00000007099,ENSXMAG00000007289,ENSXMAG00000007505,ENSXMAG00000008542,ENSXMAG00000018938,ENSXMAG00000002771,ENSXMAG00000012809,ENSXMAG00000013864,ENSXMAG00000017019,ENSXMAG00000020287,ENSXMAG00000006302,ENSXMAG00000016401"	"GALNT8,dpagt1,gpia,AMPD2,b3gat2,zgc:172295,pnp5a,pgk1,GALNT12,ctps1a,scn1lab,b4galt2,dpm3,uck2a,st6galnac3"
GO:0007623	0.022436533	5.501871658	0.613127304	3	25	circadian rhythm	"ENSXMAG00000018709,ENSXMAG00000013864,ENSXMAG00000016922"	"nr1d2a,scn1lab,nmu"
GO:0009101	0.023557479	2.619873991	2.844910689	7	116	glycoprotein biosynthetic process	"ENSXMAG00000004265,ENSXMAG00000005959,ENSXMAG00000007289,ENSXMAG00000002771,ENSXMAG00000017019,ENSXMAG00000020287,ENSXMAG00000016401"	"GALNT8,dpagt1,b3gat2,GALNT12,b4galt2,dpm3,st6galnac3"
GO:0001957	0.024525092	Inf	0.024525092	1	1	intramembranous ossification	ENSXMAG00000003993	wls
GO:0002232	0.024525092	Inf	0.024525092	1	1	leukocyte chemotaxis involved in inflammatory response	ENSXMAG00000006359	NSMAF
GO:0002233	0.024525092	Inf	0.024525092	1	1	leukocyte chemotaxis involved in immune response	ENSXMAG00000006359	NSMAF
