GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000145	0.0254169763882385	9.65606936416185	0.254916241806264	2	10	exocyst	ENSXMAG00000015934,ENSXMAG00000001053	exoc3l1,exoc3
GO:0005938	0.0304079428311025	4.84447674418605	0.688273852876912	3	27	cell cortex	ENSXMAG00000015934,ENSXMAG00000001053,ENSXMAG00000010139	exoc3l1,exoc3,ctnna1
GO:0009897	0.0254916241806267	Inf	0.0254916241806264	1	1	external side of plasma membrane	ENSXMAG00000000239	ENOX2
GO:0015630	0.0231399135581824	2.30104834924112	4.1551347414421	9	163	microtubule cytoskeleton	ENSXMAG00000007984,ENSXMAG00000011589,ENSXMAG00000015917,ENSXMAG00000015955,ENSXMAG00000004383,ENSXMAG00000008700,ENSXMAG00000012493,ENSXMAG00000016309,ENSXMAG00000005452	sass6,hook1,KIF1A,TUBA4A,specc1la,arl3l2,DCTN6,usp33,kifap3a
GO:0016020	0.0217406512140644	1.38261806780325	89.3481427530954	103	3505	membrane	ENSXMAG00000000115,ENSXMAG00000000222,ENSXMAG00000000239,ENSXMAG00000000272,ENSXMAG00000001068,ENSXMAG00000001265,ENSXMAG00000001635,ENSXMAG00000001763,ENSXMAG00000001768,ENSXMAG00000001820,ENSXMAG00000001976,ENSXMAG00000002504,ENSXMAG00000004211,ENSXMAG00000004265,ENSXMAG00000004936,ENSXMAG00000005260,ENSXMAG00000005298,ENSXMAG00000005699,ENSXMAG00000005830,ENSXMAG00000005959,ENSXMAG00000006119,ENSXMAG00000006664,ENSXMAG00000007047,ENSXMAG00000007164,ENSXMAG00000007273,ENSXMAG00000007289,ENSXMAG00000007505,ENSXMAG00000007676,ENSXMAG00000007967,ENSXMAG00000008251,ENSXMAG00000008687,ENSXMAG00000008959,ENSXMAG00000009071,ENSXMAG00000009505,ENSXMAG00000010324,ENSXMAG00000013257,ENSXMAG00000013536,ENSXMAG00000013688,ENSXMAG00000014590,ENSXMAG00000014604,ENSXMAG00000015944,ENSXMAG00000016324,ENSXMAG00000017069,ENSXMAG00000017247,ENSXMAG00000017400,ENSXMAG00000017441,ENSXMAG00000017638,ENSXMAG00000018148,ENSXMAG00000000905,ENSXMAG00000002771,ENSXMAG00000003490,ENSXMAG00000003993,ENSXMAG00000004737,ENSXMAG00000005009,ENSXMAG00000005354,ENSXMAG00000005471,ENSXMAG00000005988,ENSXMAG00000006147,ENSXMAG00000006596,ENSXMAG00000008049,ENSXMAG00000009221,ENSXMAG00000009829,ENSXMAG00000010098,ENSXMAG00000010594,ENSXMAG00000010736,ENSXMAG00000011612,ENSXMAG00000011975,ENSXMAG00000012573,ENSXMAG00000013180,ENSXMAG00000013303,ENSXMAG00000013864,ENSXMAG00000014026,ENSXMAG00000014398,ENSXMAG00000016337,ENSXMAG00000017019,ENSXMAG00000017072,ENSXMAG00000017405,ENSXMAG00000019243,ENSXMAG00000019495,ENSXMAG00000020287,ENSXMAG00000001195,ENSXMAG00000003920,ENSXMAG00000004832,ENSXMAG00000005377,ENSXMAG00000008283,ENSXMAG00000008401,ENSXMAG00000009140,ENSXMAG00000009605,ENSXMAG00000010139,ENSXMAG00000011881,ENSXMAG00000013255,ENSXMAG00000013966,ENSXMAG00000016171,ENSXMAG00000018048,ENSXMAG00000004599,ENSXMAG00000005516,ENSXMAG00000007089,ENSXMAG00000008258,ENSXMAG00000008483,ENSXMAG00000016401,ENSXMAG00000016702,ENSXMAG00000017169,ENSXMAG00000019499	slc2a15b,GRIN2A,ENOX2,atp6ap1a,ap5z1,clic3,bmpr1bb,mep1a.2,mep1a.1,TMEM184C,pth2ra,nos1,vangl1,GALNT8,GORASP2,ptger1a,cgrrf1,tbxas1,pth1r,dpagt1,fam210b,slc24a2,ANO9,COG1,syt7b,b3gat2,zgc:172295,slmapa,rab9a,fstl4,stard3,kcnh4a,tspan14,lrfn1,slc22a18,SLC9A1,FGFRL1,chrnb1l,PSD,mpp2b,plppr3a,ca14,csf1b,pals1b,AMFR,MDGA1,alas1,SERINC4,cacng6a,GALNT12,MMD2,wls,herpud2,ABCD2,gabrr1,il17a/f1,cept1b,fam234b,PIK3R6,cpo,slc22a13b,ucp1,drd3,ACVR2A,GRAMD2B,slc38a11,gdpd3a,GABRA6,tmed1a,iglon5,scn1lab,gpat4,ret,CLRN3,b4galt2,prph2a,kcnk3a,abcc8,SLC25A53,dpm3,CNNM4,DCSTAMP,TMC7,PCDH8,asic2,KLB,ALK,SLC35F3,ctnna1,mpzl2b,GDPD2,slc6a4b,OCA2,opn7c,NCEH1,igf2r,TRHR,tlr2,TRARG1,st6galnac3,gprc5c,UNC5C,RAB9B
GO:0016342	0.0254916241806267	Inf	0.0254916241806264	1	1	catenin complex	ENSXMAG00000010139	ctnna1
GO:0019898	0.036057393068571	7.72254335260116	0.305899490167516	2	12	extrinsic component of membrane	ENSXMAG00000006596,ENSXMAG00000010139	PIK3R6,ctnna1
GO:0030054	0.0109266867152162	2.12497933542734	7.0611798980335	14	277	cell junction	ENSXMAG00000000222,ENSXMAG00000002504,ENSXMAG00000007273,ENSXMAG00000013688,ENSXMAG00000017247,ENSXMAG00000001050,ENSXMAG00000004383,ENSXMAG00000005354,ENSXMAG00000007184,ENSXMAG00000010706,ENSXMAG00000012573,ENSXMAG00000013864,ENSXMAG00000010139,ENSXMAG00000014447	GRIN2A,nos1,syt7b,chrnb1l,pals1b,BCR,specc1la,gabrr1,homer1b,PATJ,GABRA6,scn1lab,ctnna1,tes
GO:0030139	0.0419119487250342	7.0194429847609	0.331391114348143	2	13	endocytic vesicle	ENSXMAG00000007967,ENSXMAG00000019499	rab9a,RAB9B
GO:0030666	0.0206760513563857	11.0371593724195	0.229424617625637	2	9	endocytic vesicle membrane	ENSXMAG00000007967,ENSXMAG00000019499	rab9a,RAB9B
GO:0030670	0.00905961618122573	19.3236994219653	0.152949745083758	2	6	phagocytic vesicle membrane	ENSXMAG00000007967,ENSXMAG00000019499	rab9a,RAB9B
GO:0034702	0.0369748722967362	2.57454971064439	2.47268754552076	6	97	ion channel complex	ENSXMAG00000000222,ENSXMAG00000001265,ENSXMAG00000013688,ENSXMAG00000005354,ENSXMAG00000012573,ENSXMAG00000013864	GRIN2A,clic3,chrnb1l,gabrr1,GABRA6,scn1lab
GO:0043197	0.0124720556312821	15.4566473988439	0.178441369264385	2	7	dendritic spine	ENSXMAG00000002504,ENSXMAG00000001050	nos1,BCR
GO:0043235	0.0304079428311025	4.84447674418605	0.688273852876912	3	27	receptor complex	ENSXMAG00000000222,ENSXMAG00000013688,ENSXMAG00000010594	GRIN2A,chrnb1l,ACVR2A
GO:0044309	0.0124720556312821	15.4566473988439	0.178441369264385	2	7	neuron spine	ENSXMAG00000002504,ENSXMAG00000001050	nos1,BCR
GO:0044599	0.0254916241806267	Inf	0.0254916241806264	1	1	AP-5 adaptor complex	ENSXMAG00000001068	ap5z1
GO:0045202	0.0378043418304249	2.0920011406573	4.53750910415149	9	178	synapse	ENSXMAG00000000222,ENSXMAG00000002504,ENSXMAG00000007273,ENSXMAG00000013688,ENSXMAG00000001050,ENSXMAG00000005354,ENSXMAG00000007184,ENSXMAG00000012573,ENSXMAG00000013864	GRIN2A,nos1,syt7b,chrnb1l,BCR,gabrr1,homer1b,GABRA6,scn1lab
GO:0045335	0.0254169763882385	9.65606936416185	0.254916241806264	2	10	phagocytic vesicle	ENSXMAG00000007967,ENSXMAG00000019499	rab9a,RAB9B
GO:0098794	0.00932800469209311	3.19961240310078	2.37072104879825	7	93	postsynapse	ENSXMAG00000000222,ENSXMAG00000002504,ENSXMAG00000013688,ENSXMAG00000001050,ENSXMAG00000005354,ENSXMAG00000007184,ENSXMAG00000012573	GRIN2A,nos1,chrnb1l,BCR,gabrr1,homer1b,GABRA6
GO:0099023	0.0175599832165181	6.12392900856793	0.56081573197378	3	22	vesicle tethering complex	ENSXMAG00000007164,ENSXMAG00000015934,ENSXMAG00000001053	COG1,exoc3l1,exoc3
