GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0003883	0.0255334895769093	Inf	0.0255334895769088	1	1	CTP synthase activity	ENSXMAG00000012809	ctps1a
GO:0003975	0.0255334895769093	Inf	0.0255334895769088	1	1	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity	ENSXMAG00000005959	dpagt1
GO:0004014	0.0255334895769093	Inf	0.0255334895769088	1	1	adenosylmethionine decarboxylase activity	ENSXMAG00000005067	amd1
GO:0004370	0.0255334895769093	Inf	0.0255334895769088	1	1	glycerol kinase activity	ENSXMAG00000007505	zgc:172295
GO:0004618	0.0255334895769093	Inf	0.0255334895769088	1	1	phosphoglycerate kinase activity	ENSXMAG00000018938	pgk1
GO:0004675	0.042060565585552	6.99689578713969	0.331935364499815	2	13	transmembrane receptor protein serine/threonine kinase activity	ENSXMAG00000001635,ENSXMAG00000010594	bmpr1bb,ACVR2A
GO:0004888	0.0326703840573562	1.68344027918496	11.2602689034168	18	441	transmembrane signaling receptor activity	ENSXMAG00000000222,ENSXMAG00000001635,ENSXMAG00000001976,ENSXMAG00000005260,ENSXMAG00000005830,ENSXMAG00000013688,ENSXMAG00000005354,ENSXMAG00000010098,ENSXMAG00000010594,ENSXMAG00000012573,ENSXMAG00000014398,ENSXMAG00000019243,ENSXMAG00000009140,ENSXMAG00000018048,ENSXMAG00000007089,ENSXMAG00000008258,ENSXMAG00000016702,ENSXMAG00000017169	GRIN2A,bmpr1bb,pth2ra,ptger1a,pth1r,chrnb1l,gabrr1,drd3,ACVR2A,GABRA6,ret,abcc8,ALK,opn7c,TRHR,tlr2,gprc5c,UNC5C
GO:0004991	0.0255334895769093	Inf	0.0255334895769088	1	1	parathyroid hormone receptor activity	ENSXMAG00000005830	pth1r
GO:0005125	0.00594997897561319	9.66666666666667	0.383002343653633	3	15	cytokine activity	ENSXMAG00000007063,ENSXMAG00000017069,ENSXMAG00000005471	gpia,csf1b,il17a/f1
GO:0005252	0.0255334895769093	Inf	0.0255334895769088	1	1	open rectifier potassium channel activity	ENSXMAG00000017405	kcnk3a
GO:0005272	0.0482622712798888	6.4130081300813	0.357468854076724	2	14	sodium channel activity	ENSXMAG00000013864,ENSXMAG00000008283	scn1lab,asic2
GO:0005537	0.0255334895769093	Inf	0.0255334895769088	1	1	mannose binding	ENSXMAG00000005516	igf2r
GO:0008083	0.0335065885861415	3.51813703537841	1.22560749969162	4	48	growth factor activity	ENSXMAG00000017069,ENSXMAG00000010031,ENSXMAG00000001991,ENSXMAG00000005068	csf1b,bmp7a,fgf24,BMP10
GO:0016780	0.0482622712798888	6.4130081300813	0.357468854076724	2	14	phosphotransferase activity, for other substituted phosphate groups	ENSXMAG00000005959,ENSXMAG00000005988	dpagt1,cept1b
GO:0017147	0.0255334895769093	Inf	0.0255334895769088	1	1	Wnt-protein binding	ENSXMAG00000003993	wls
GO:0018478	0.0255334895769093	Inf	0.0255334895769088	1	1	malonate-semialdehyde dehydrogenase (acetylating) activity	ENSXMAG00000008426	ALDH6A1
