"","x"
"1","ENSXMAG00000000431"
"2","ENSXMAG00000000998"
"3","ENSXMAG00000002267"
"4","ENSXMAG00000005039"
"5","ENSXMAG00000005622"
"6","ENSXMAG00000006080"
"7","ENSXMAG00000006531"
"8","ENSXMAG00000007424"
"9","ENSXMAG00000007428"
"10","ENSXMAG00000007782"
"11","ENSXMAG00000007806"
"12","ENSXMAG00000007951"
"13","ENSXMAG00000008337"
"14","ENSXMAG00000008350"
"15","ENSXMAG00000009526"
"16","ENSXMAG00000010147"
"17","ENSXMAG00000011499"
"18","ENSXMAG00000012280"
"19","ENSXMAG00000012752"
"20","ENSXMAG00000013386"
"21","ENSXMAG00000014022"
"22","ENSXMAG00000014927"
"23","ENSXMAG00000015404"
"24","ENSXMAG00000016504"
"25","ENSXMAG00000017239"
"26","ENSXMAG00000019041"
"27","ENSXMAG00000019175"
"28","ENSXMAG00000019741"
"29","ENSXMAG00000019772"
"30","ENSXMAG00000019776"
"31","ENSXMAG00000019802"
"32","ENSXMAG00000020292"
