GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001726	0.0202246878359699	59.9912280701754	0.0203932993445011	1	20	ruffle	ENSXMAG00000007951	MYO6
GO:0005794	0.0266462169755925	10.1915057915058	0.266132556445739	2	261	Golgi apparatus	ENSXMAG00000007951,ENSXMAG00000019802	MYO6,b3gnt7
GO:0005902	0.0040733145727887	380.833333333333	0.00407865986890022	1	4	microvillus	ENSXMAG00000007951	MYO6
GO:0005905	0.0152016813215747	81.4761904761905	0.0152949745083758	1	15	clathrin-coated pit	ENSXMAG00000007951	MYO6
GO:0009331	0.0040733145727887	380.833333333333	0.00407865986890022	1	4	glycerol-3-phosphate dehydrogenase complex	ENSXMAG00000017239	gpd1a
GO:0016459	0.0351621714262882	33.4509803921569	0.0356882738528769	1	35	myosin complex	ENSXMAG00000007951	MYO6
GO:0030135	0.0440306230221602	26.4147286821705	0.0448652585579024	1	44	coated vesicle	ENSXMAG00000007951	MYO6
GO:0030136	0.0252257182765027	47.4583333333333	0.0254916241806264	1	25	clathrin-coated vesicle	ENSXMAG00000007951	MYO6
GO:0030175	0.0131863074098827	95.0833333333333	0.0132556445739257	1	13	filopodium	ENSXMAG00000007951	MYO6
GO:0031252	0.0391123724020199	29.9122807017544	0.0397669337217771	1	39	cell leading edge	ENSXMAG00000007951	MYO6
GO:0031253	0.0182181268570998	67.0686274509804	0.018353969410051	1	18	cell projection membrane	ENSXMAG00000007951	MYO6
GO:0031256	0.00610463305196973	228.433333333333	0.00611798980335033	1	6	leading edge membrane	ENSXMAG00000007951	MYO6
GO:0032587	0.0040733145727887	380.833333333333	0.00407865986890022	1	4	ruffle membrane	ENSXMAG00000007951	MYO6
GO:0098858	0.0182181268570998	67.0686274509804	0.018353969410051	1	18	actin-based cell projection	ENSXMAG00000007951	MYO6
GO:1990204	0.0252257182765027	47.4583333333333	0.0254916241806264	1	25	oxidoreductase complex	ENSXMAG00000017239	gpd1a
