"","x"
"1","ENSXMAG00000000120"
"2","ENSXMAG00000000646"
"3","ENSXMAG00000003017"
"4","ENSXMAG00000004213"
"5","ENSXMAG00000004455"
"6","ENSXMAG00000004500"
"7","ENSXMAG00000004826"
"8","ENSXMAG00000005760"
"9","ENSXMAG00000008188"
"10","ENSXMAG00000009087"
"11","ENSXMAG00000009334"
"12","ENSXMAG00000009792"
"13","ENSXMAG00000010099"
"14","ENSXMAG00000011571"
"15","ENSXMAG00000011729"
"16","ENSXMAG00000011811"
"17","ENSXMAG00000013668"
"18","ENSXMAG00000014406"
"19","ENSXMAG00000015517"
"20","ENSXMAG00000016981"
"21","ENSXMAG00000017769"
"22","ENSXMAG00000018179"
"23","ENSXMAG00000018481"
"24","ENSXMAG00000019345"
"25","ENSXMAG00000019362"
"26","ENSXMAG00000019546"
"27","ENSXMAG00000019600"
"28","ENSXMAG00000020124"
"29","ENSXMAG00000020141"
"30","ENSXMAG00000020197"
"31","ENSXMAG00000020427"
"32","ENSXMAG00000020611"
