GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001964	0.0067887458862318	213.30303030303	0.00680464984406011	1	4	startle response	ENSXMAG00000011811	atp1b2b
GO:0003008	0.0490825669239768	6.47488151658768	0.362347604196201	2	213	system process	ENSXMAG00000011811,ENSXMAG00000020197	atp1b2b,or70b1
GO:0005975	0.0328738659506081	8.13372781065089	0.29089878083357	2	171	carbohydrate metabolic process	ENSXMAG00000011729,ENSXMAG00000019362	aldoca,si:dkey-72l14.3
GO:0007606	0.0152152635639903	79.9318181818182	0.0153104621491352	1	9	sensory perception of chemical stimulus	ENSXMAG00000020197	or70b1
GO:0007608	0.013535221363644	91.3636363636364	0.0136092996881202	1	8	sensory perception of smell	ENSXMAG00000020197	or70b1
GO:0009593	0.0118525522316422	106.606060606061	0.0119081372271052	1	7	detection of chemical stimulus	ENSXMAG00000020197	or70b1
GO:0009913	0.0482701595495749	22.7727272727273	0.0493337113694358	1	29	epidermal cell differentiation	ENSXMAG00000011811	atp1b2b
GO:0035315	0.0482701595495749	22.7727272727273	0.0493337113694358	1	29	hair cell differentiation	ENSXMAG00000011811	atp1b2b
GO:0048840	0.0466418792408484	23.6195286195286	0.0476325489084208	1	28	otolith development	ENSXMAG00000011811	atp1b2b
GO:0048881	0.0498958902378885	21.9843260188088	0.0510348738304508	1	30	mechanosensory lateral line system development	ENSXMAG00000011811	atp1b2b
GO:0048886	0.0252405596802541	45.6363636363636	0.0255174369152254	1	15	neuromast hair cell differentiation	ENSXMAG00000011811	atp1b2b
GO:0048915	0.0498958902378885	21.9843260188088	0.0510348738304508	1	30	posterior lateral line system development	ENSXMAG00000011811	atp1b2b
GO:0048916	0.0450110456771837	24.5314685314685	0.0459313864474057	1	27	posterior lateral line development	ENSXMAG00000011811	atp1b2b
GO:0048919	0.0285614780826458	39.9204545454545	0.0289197618372555	1	17	posterior lateral line neuromast development	ENSXMAG00000011811	atp1b2b
GO:0048923	0.0152152635639903	79.9318181818182	0.0153104621491352	1	9	posterior lateral line neuromast hair cell differentiation	ENSXMAG00000011811	atp1b2b
GO:0050877	0.0169446976286591	11.735593220339	0.204139495321803	2	120	nervous system process	ENSXMAG00000011811,ENSXMAG00000020197	atp1b2b,or70b1
GO:0050905	0.0185674820801025	63.9272727272727	0.0187127870711653	1	11	neuromuscular process	ENSXMAG00000011811	atp1b2b
GO:0050906	0.0285614780826458	39.9204545454545	0.0289197618372555	1	17	detection of stimulus involved in sensory perception	ENSXMAG00000020197	or70b1
GO:0050907	0.0118525522316422	106.606060606061	0.0119081372271052	1	7	detection of chemical stimulus involved in sensory perception	ENSXMAG00000020197	or70b1
GO:0050911	0.0118525522316422	106.606060606061	0.0119081372271052	1	7	detection of chemical stimulus involved in sensory perception of smell	ENSXMAG00000020197	or70b1
GO:0071526	0.0202396658391596	58.1074380165289	0.0204139495321803	1	12	semaphorin-plexin signaling pathway	ENSXMAG00000017769	PLXNA2
