"","x"
"1","ENSXMAG00000000039"
"2","ENSXMAG00000001001"
"3","ENSXMAG00000001679"
"4","ENSXMAG00000003146"
"5","ENSXMAG00000003505"
"6","ENSXMAG00000004109"
"7","ENSXMAG00000004489"
"8","ENSXMAG00000004632"
"9","ENSXMAG00000004827"
"10","ENSXMAG00000005181"
"11","ENSXMAG00000005384"
"12","ENSXMAG00000006120"
"13","ENSXMAG00000006215"
"14","ENSXMAG00000006257"
"15","ENSXMAG00000007321"
"16","ENSXMAG00000007475"
"17","ENSXMAG00000009719"
"18","ENSXMAG00000010907"
"19","ENSXMAG00000011617"
"20","ENSXMAG00000012086"
"21","ENSXMAG00000012720"
"22","ENSXMAG00000013666"
"23","ENSXMAG00000014047"
"24","ENSXMAG00000014744"
"25","ENSXMAG00000015338"
"26","ENSXMAG00000015866"
"27","ENSXMAG00000016286"
"28","ENSXMAG00000016556"
"29","ENSXMAG00000017387"
"30","ENSXMAG00000017440"
"31","ENSXMAG00000017823"
"32","ENSXMAG00000017933"
"33","ENSXMAG00000018137"
"34","ENSXMAG00000018555"
"35","ENSXMAG00000019328"
