GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001966	0.0124134419423092	100.514285714286	0.0124751913807769	1	8	thigmotaxis	ENSXMAG00000016556	sap130a
GO:0003205	0.0185674820801026	63.9272727272727	0.0187127870711653	1	12	cardiac chamber development	ENSXMAG00000016556	sap130a
GO:0003231	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	cardiac ventricle development	ENSXMAG00000016556	sap130a
GO:0006139	0.0130622468576498	4.67324530924253	2.25333144315282	6	1445	nucleobase-containing compound metabolic process	ENSXMAG00000000039,ENSXMAG00000014047,ENSXMAG00000016556,ENSXMAG00000017823,ENSXMAG00000001679,ENSXMAG00000017933	pkma,gtf2f1,sap130a,exosc9,RBM26,ewsr1b
GO:0006352	0.047325847799751	23.3766666666667	0.0483413666005103	1	31	DNA-templated transcription, initiation	ENSXMAG00000014047	gtf2f1
GO:0006354	0.0231601112447389	50.2071428571429	0.0233909838389566	1	15	DNA-templated transcription, elongation	ENSXMAG00000014047	gtf2f1
GO:0006367	0.0185674820801026	63.9272727272727	0.0187127870711653	1	12	transcription initiation from RNA polymerase II promoter	ENSXMAG00000014047	gtf2f1
GO:0006368	0.0201005348629937	58.5916666666667	0.0202721859937624	1	13	transcription elongation from RNA polymerase II promoter	ENSXMAG00000014047	gtf2f1
GO:0006725	0.0158679881813303	4.44569138276553	2.34377658066345	6	1503	cellular aromatic compound metabolic process	ENSXMAG00000000039,ENSXMAG00000014047,ENSXMAG00000016556,ENSXMAG00000017823,ENSXMAG00000001679,ENSXMAG00000017933	pkma,gtf2f1,sap130a,exosc9,RBM26,ewsr1b
GO:0007418	0.00467156667193125	352.05	0.00467819676779132	1	3	ventral midline development	ENSXMAG00000016556	sap130a
GO:0008277	0.0201005348629937	58.5916666666667	0.0202721859937624	1	13	regulation of G protein-coupled receptor signaling pathway	ENSXMAG00000005181	pdcl
GO:0008345	0.00777491308889755	175.975	0.00779699461298554	1	5	larval locomotory behavior	ENSXMAG00000016556	sap130a
GO:0009966	0.0446112723065284	6.9244038559107	0.344627161893961	2	221	regulation of signal transduction	ENSXMAG00000005181,ENSXMAG00000003146	pdcl,dkk3a
GO:0010467	0.0322674638341861	3.84329349269588	1.96484264247236	5	1260	gene expression	ENSXMAG00000014047,ENSXMAG00000016556,ENSXMAG00000017823,ENSXMAG00000001679,ENSXMAG00000017933	gtf2f1,sap130a,exosc9,RBM26,ewsr1b
GO:0010646	0.0464595074690773	6.76488095238095	0.352424156506946	2	226	regulation of cell communication	ENSXMAG00000005181,ENSXMAG00000003146	pdcl,dkk3a
GO:0016070	0.0162446918569917	4.70361635220126	1.66075985256592	5	1065	RNA metabolic process	ENSXMAG00000014047,ENSXMAG00000016556,ENSXMAG00000017823,ENSXMAG00000001679,ENSXMAG00000017933	gtf2f1,sap130a,exosc9,RBM26,ewsr1b
GO:0021508	0.00311658687266836	704.2	0.00311879784519422	1	2	floor plate formation	ENSXMAG00000016556	sap130a
GO:0021915	0.0428366009256302	25.9851851851852	0.043663169832719	1	28	neural tube development	ENSXMAG00000016556	sap130a
GO:0023051	0.0483367622202928	6.61232411450752	0.360221151119932	2	231	regulation of signaling	ENSXMAG00000005181,ENSXMAG00000003146	pdcl,dkk3a
GO:0030178	0.0368210229972989	30.5217391304348	0.0374255741423306	1	24	negative regulation of Wnt signaling pathway	ENSXMAG00000003146	dkk3a
GO:0030537	0.00777491308889755	175.975	0.00779699461298554	1	5	larval behavior	ENSXMAG00000016556	sap130a
GO:0032784	0.00932328533404159	140.76	0.00935639353558265	1	6	regulation of DNA-templated transcription, elongation	ENSXMAG00000014047	gtf2f1
GO:0032786	0.00467156667193125	352.05	0.00467819676779132	1	3	positive regulation of DNA-templated transcription, elongation	ENSXMAG00000014047	gtf2f1
GO:0032968	0.00311658687266836	704.2	0.00311879784519422	1	2	positive regulation of transcription elongation from RNA polymerase II promoter	ENSXMAG00000014047	gtf2f1
GO:0033504	0.00311658687266836	704.2	0.00311879784519422	1	2	floor plate development	ENSXMAG00000016556	sap130a
GO:0033505	0.00311658687266836	704.2	0.00311879784519422	1	2	floor plate morphogenesis	ENSXMAG00000016556	sap130a
GO:0034243	0.00622434113890158	234.666666666667	0.00623759569038843	1	4	regulation of transcription elongation from RNA polymerase II promoter	ENSXMAG00000014047	gtf2f1
GO:0034641	0.0275159663817606	3.83671036948749	2.62602778565353	6	1684	cellular nitrogen compound metabolic process	ENSXMAG00000000039,ENSXMAG00000014047,ENSXMAG00000016556,ENSXMAG00000017823,ENSXMAG00000001679,ENSXMAG00000017933	pkma,gtf2f1,sap130a,exosc9,RBM26,ewsr1b
GO:0046483	0.0155075361561209	4.47221476510067	2.33286078820527	6	1496	heterocycle metabolic process	ENSXMAG00000000039,ENSXMAG00000014047,ENSXMAG00000016556,ENSXMAG00000017823,ENSXMAG00000001679,ENSXMAG00000017933	pkma,gtf2f1,sap130a,exosc9,RBM26,ewsr1b
GO:0090304	0.030169258392048	3.92287952458131	1.93209526509782	5	1239	nucleic acid metabolic process	ENSXMAG00000014047,ENSXMAG00000016556,ENSXMAG00000017823,ENSXMAG00000001679,ENSXMAG00000017933	gtf2f1,sap130a,exosc9,RBM26,ewsr1b
GO:1901360	0.0177079031588277	4.32031352057479	2.39679614403176	6	1537	organic cyclic compound metabolic process	ENSXMAG00000000039,ENSXMAG00000014047,ENSXMAG00000016556,ENSXMAG00000017823,ENSXMAG00000001679,ENSXMAG00000017933	pkma,gtf2f1,sap130a,exosc9,RBM26,ewsr1b
